Sub_Directory,Description_Type,LLM_GPT4.5_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02675,Description_Detailed,0.0,0.0,0.0,False,0.0892074927687645,0.0892074927687645,True,False,False,False,True
p02675,Description_Fewshot,0.0,0.0,0.0,False,0.11967453360557556,0.11967453360557556,True,False,False,False,True
p02675,Description_Reason,0.0,0.0,0.0,False,0.16816826164722443,0.16816826164722443,True,False,False,False,True
p02675,Description_Simple,0.0,0.0,0.0,False,0.09595730900764465,0.09595730900764465,True,False,False,False,True
p02675,Description_Vague,0.0,0.0,0.0,False,0.13324786722660065,0.13324786722660065,True,False,False,False,True
p02970,Description_Detailed,0.0,0.0,0.0,False,0.3227955102920532,0.3227955102920532,True,False,False,False,True
p02970,Description_Fewshot,0.0,0.0,0.0,False,0.2844054400920868,0.2844054400920868,True,False,False,False,True
p02970,Description_Reason,0.0,0.0,0.0,False,0.3115016222000122,0.3115016222000122,True,False,False,False,True
p02970,Description_Simple,0.0,0.0,0.0,False,0.1449805647134781,0.1449805647134781,True,False,False,False,True
p02970,Description_Vague,0.0,0.0,0.0,False,0.23546278476715088,0.23546278476715088,True,False,False,False,True
p03136,Description_Detailed,0.0,0.0,0.0,False,0.49365711212158203,0.49365711212158203,True,False,False,False,True
p03136,Description_Fewshot,0.0,0.0,0.0,False,0.012013716623187065,0.012013716623187065,True,False,False,False,True
p03136,Description_Reason,0.0,0.0,0.0,False,0.3577265739440918,0.3577265739440918,True,False,False,False,True
p03136,Description_Simple,0.0,0.0,0.0,False,0.15055091679096222,0.15055091679096222,True,False,False,False,True
p03136,Description_Vague,0.0,0.0,0.0,False,0.43604040145874023,0.43604040145874023,True,False,False,False,True
p03261,Description_Detailed,0.0,0.0,0.0,False,0.27931833267211914,0.27931833267211914,True,False,False,False,True
p03261,Description_Fewshot,0.0,0.0,0.0,False,-0.029952339828014374,0.029952339828014374,True,False,False,False,True
p03261,Description_Reason,0.0,0.4,0.2,False,0.17763696610927582,0.022363033890724193,True,False,False,False,True
p03261,Description_Simple,0.0,0.0,0.0,False,0.22867470979690552,0.22867470979690552,True,False,False,False,True
p03261,Description_Vague,0.4,0.0,0.2,False,0.3018892705440521,0.10188927054405211,True,False,False,False,True
p03416,Description_Detailed,0.0,0.0,0.0,False,0.3830678462982178,0.3830678462982178,True,False,False,False,True
p03416,Description_Fewshot,0.4,0.0,0.2,False,-0.011385479010641575,0.21138547901064159,True,False,False,False,True
p03416,Description_Reason,0.0,0.4,0.2,False,0.33590173721313477,0.13590173721313475,True,False,False,False,True
p03416,Description_Simple,0.0,0.0,0.0,False,0.2564012110233307,0.2564012110233307,True,False,False,False,True
p03416,Description_Vague,0.0,0.0,0.0,False,0.360891729593277,0.360891729593277,True,False,False,False,True
p02681,Description_Detailed,0.0,0.0,0.0,False,0.4646759629249573,0.4646759629249573,True,False,False,False,True
p02681,Description_Fewshot,0.0,0.0,0.0,False,0.21535754203796387,0.21535754203796387,True,False,False,False,True
p02681,Description_Reason,0.0,0.0,0.0,False,0.32186517119407654,0.32186517119407654,True,False,False,False,True
p02681,Description_Simple,0.0,0.0,0.0,False,0.061634164303541183,0.061634164303541183,True,False,False,False,True
p02681,Description_Vague,0.0,0.0,0.0,False,0.16499285399913788,0.16499285399913788,True,False,False,False,True
p02677,Description_Detailed,0.0,0.0,0.0,False,0.15710677206516266,0.15710677206516266,True,False,False,False,True
p02677,Description_Fewshot,0.0,0.0,0.0,False,0.04007363319396973,0.04007363319396973,True,False,False,False,True
p02677,Description_Reason,0.0,0.0,0.0,False,-0.019002443179488182,0.019002443179488182,True,False,False,False,True
p02677,Description_Simple,0.0,0.0,0.0,False,0.07943898439407349,0.07943898439407349,True,False,False,False,True
p02677,Description_Vague,0.0,0.0,0.0,False,0.5726333856582642,0.5726333856582642,False,False,True,False,False
p02759,Description_Detailed,0.1,0.0,0.05,False,0.2326371818780899,0.18263718187808992,True,False,False,False,True
