model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,53.8631,61.6998,71.3024,77.2627,61.2583,61.2583,68.2119,70.7506,69.2053,59.8234,73.2892,73.8411,77.5938,72.9581,68.2119
GPT-3.5,61.6998,46.468,71.1921,77.4834,57.3951,58.3885,67.8808,70.8609,68.4327,56.5121,72.9581,73.7307,77.5938,72.2958,67.1082
O4-mini,71.3024,71.1921,65.894,79.4702,71.0817,71.0817,73.8411,74.5033,74.7241,70.4194,76.1589,77.7042,79.2494,75.3863,73.2892
Gemini,77.2627,77.4834,79.4702,74.5033,76.9316,77.0419,79.4702,79.9117,79.5806,77.1523,80.6843,82.4503,82.0088,80.9051,79.4702
Llama-70B,61.2583,57.3951,71.0817,76.9316,47.6821,56.9536,67.2185,69.9779,67.5497,55.1876,71.8543,73.3996,77.3731,72.7373,65.7837
Mistral,61.2583,58.3885,71.0817,77.0419,56.9536,43.9294,66.5563,69.6468,66.8874,54.1943,71.7439,72.6269,76.1589,71.6336,65.011
DeepSeek-V3.1,68.2119,67.8808,73.8411,79.4702,67.2185,66.5563,60.8168,71.9647,69.2053,65.7837,73.2892,74.0618,76.9316,72.9581,69.8675
DeepSeek-R1,70.7506,70.8609,74.5033,79.9117,69.9779,69.6468,71.9647,62.2517,72.4062,68.2119,74.0618,75.7174,77.0419,73.0684,71.0817
DeepSeek-V4-Pro,69.2053,68.4327,74.7241,79.5806,67.5497,66.8874,69.2053,72.4062,58.9404,65.894,74.1722,72.9581,76.8212,73.6203,70.3091
QwenCoder,59.8234,56.5121,70.4194,77.1523,55.1876,54.1943,65.7837,68.2119,65.894,43.3775,71.0817,71.7439,75.6071,69.8675,64.3488
Qwen3.7,73.2892,72.9581,76.1589,80.6843,71.8543,71.7439,73.2892,74.0618,74.1722,71.0817,66.6667,76.6004,77.3731,74.8344,72.1854
Claude-5,73.8411,73.7307,77.7042,82.4503,73.3996,72.6269,74.0618,75.7174,72.9581,71.7439,76.6004,68.9845,79.3598,76.6004,74.1722
GLM-5,77.5938,77.5938,79.2494,82.0088,77.3731,76.1589,76.9316,77.0419,76.8212,75.6071,77.3731,79.3598,72.4062,78.0353,76.7108
Kimi-K2.7,72.9581,72.2958,75.3863,80.9051,72.7373,71.6336,72.9581,73.0684,73.6203,69.8675,74.8344,76.6004,78.0353,65.2318,72.7373
GPT-5,68.2119,67.1082,73.2892,79.4702,65.7837,65.011,69.8675,71.0817,70.3091,64.3488,72.1854,74.1722,76.7108,72.7373,57.3951
