model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,1,0.750355,0.809004,0.799736,0.733427,0.701299,0.748626,0.748641,0.731241,0.731988,0.729084,0.746684,0.769852,0.760602,0.742779
GPT-3.5,0.750355,1,0.715054,0.709091,0.736377,0.677563,0.71049,0.676152,0.688366,0.714286,0.658278,0.69385,0.679947,0.678426,0.676309
O4-mini,0.809004,0.715054,1,0.842932,0.726902,0.670315,0.755674,0.774366,0.743351,0.683356,0.759162,0.771838,0.78084,0.779116,0.759409
Gemini,0.799736,0.709091,0.842932,1,0.718218,0.679095,0.76893,0.784876,0.761408,0.687254,0.785806,0.789003,0.80491,0.789542,0.761097
Llama-70B,0.733427,0.736377,0.726902,0.718218,1,0.700454,0.717913,0.687671,0.695531,0.72741,0.687415,0.712347,0.705007,0.701657,0.690377
Mistral,0.701299,0.677563,0.670315,0.679095,0.700454,1,0.707602,0.674221,0.686957,0.73851,0.6625,0.688022,0.682893,0.683761,0.676768
DeepSeek-V3.1,0.748626,0.71049,0.755674,0.76893,0.717913,0.707602,1,0.804809,0.794579,0.713669,0.795549,0.786594,0.826331,0.809929,0.779037
DeepSeek-R1,0.748641,0.676152,0.774366,0.784876,0.687671,0.674221,0.804809,1,0.806818,0.678273,0.820084,0.823204,0.833102,0.834993,0.796322
DeepSeek-V4-Pro,0.731241,0.688366,0.743351,0.761408,0.695531,0.686957,0.794579,0.806818,1,0.695714,0.775172,0.793388,0.79558,0.809388,0.773371
QwenCoder,0.731988,0.714286,0.683356,0.687254,0.72741,0.73851,0.713669,0.678273,0.695714,1,0.687414,0.705801,0.70069,0.714083,0.709957
Qwen3.7,0.729084,0.658278,0.759162,0.785806,0.687415,0.6625,0.795549,0.820084,0.775172,0.687414,1,0.789544,0.823529,0.825175,0.79219
Claude-5,0.746684,0.69385,0.771838,0.789003,0.712347,0.688022,0.786594,0.823204,0.793388,0.705801,0.789544,1,0.816712,0.803279,0.790634
GLM-5,0.769852,0.679947,0.78084,0.80491,0.705007,0.682893,0.826331,0.833102,0.79558,0.70069,0.823529,0.816712,1,0.858956,0.810321
Kimi-K2.7,0.760602,0.678426,0.779116,0.789542,0.701657,0.683761,0.809929,0.834993,0.809388,0.714083,0.825175,0.803279,0.858956,1,0.827338
GPT-5,0.742779,0.676309,0.759409,0.761097,0.690377,0.676768,0.779037,0.796322,0.773371,0.709957,0.79219,0.790634,0.810321,0.827338,1
