model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,0,15.4525,12.0309,14.3488,15.894,18.3223,16.9978,17.9912,16.9978,17.1082,19.3157,17.66,15.1214,17.66,18.7638
GPT-3.5,15.4525,0,18.8742,19.426,18.543,21.6336,20.3091,23.5099,21.4128,21.5232,22.4062,22.5166,19.3157,21.1921,23.1788
O4-mini,12.0309,18.8742,0,12.9139,19.0949,18.8742,17.3289,18.1015,16.8874,20.3091,18.7638,15.7837,15.4525,15.3422,17.7704
Gemini,14.3488,19.426,12.9139,0,20.7506,20.9713,16.3355,17.9912,17.8808,21.9647,16.4459,16.3355,15.3422,16.1148,18.3223
Llama-70B,15.894,18.543,19.0949,20.7506,0,20.9713,21.4128,23.7307,21.8543,20.8609,22.4062,20.7506,20.1987,20.7506,22.5166
Mistral,18.3223,21.6336,18.8742,20.9713,20.9713,0,19.426,21.0817,19.6468,17.3289,19.3157,19.6468,18.6534,18.9845,19.6468
DeepSeek-V3.1,16.9978,20.3091,17.3289,16.3355,21.4128,19.426,0,14.0177,15.011,19.0949,14.6799,14.5695,11.5894,13.9073,14.7903
DeepSeek-R1,17.9912,23.5099,18.1015,17.9912,23.7307,21.0817,14.0177,0,13.7969,16.3355,14.7903,12.6932,12.5828,12.0309,12.9139
DeepSeek-V4-Pro,16.9978,21.4128,16.8874,17.8808,21.8543,19.6468,15.011,13.7969,0,15.7837,14.2384,13.9073,11.5894,10.8168,11.9205
QwenCoder,17.1082,21.5232,20.3091,21.9647,20.8609,17.3289,19.0949,16.3355,15.7837,0,18.7638,16.6667,15.894,17.7704,17.9912
Qwen3.7,19.3157,22.4062,18.7638,16.4459,22.4062,19.3157,14.6799,14.7903,14.2384,18.7638,0,14.2384,11.479,12.0309,14.2384
Claude-5,17.66,22.5166,15.7837,16.3355,20.7506,19.6468,14.5695,12.6932,13.9073,16.6667,14.2384,0,11.5894,12.8035,13.4658
GLM-5,15.1214,19.3157,15.4525,15.3422,20.1987,18.6534,11.5894,12.5828,11.5894,15.894,11.479,11.5894,0,11.3687,13.7969
Kimi-K2.7,17.66,21.1921,15.3422,16.1148,20.7506,18.9845,13.9073,12.0309,10.8168,17.7704,12.0309,12.8035,11.3687,0,10.8168
GPT-5,18.7638,23.1788,17.7704,18.3223,22.5166,19.6468,14.7903,12.9139,11.9205,17.9912,14.2384,13.4658,13.7969,10.8168,0
