model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,74.8344,82.6711,83.8852,85.6512,80.4636,80.1325,81.6777,82.4503,81.7881,80.2428,83.1126,82.4503,83.5359,83.7748,82.7815
GPT-3.5,82.6711,72.0751,84.8786,86.3135,79.3598,79.6909,82.2296,83.4437,83.3333,80.3532,84.2163,83.7748,85.0829,84.5475,83.9956
O4-mini,83.8852,84.8786,78.1457,85.872,83.8852,82.34,83.223,84.106,84.4371,82.4503,85.0993,84.6578,84.9724,84.106,84.2163
Gemini,85.6512,86.3135,85.872,81.1258,85.2097,84.8786,85.6512,85.0993,84.7682,86.0927,85.4305,85.872,85.4144,85.6512,85.6512
Llama-70B,80.4636,79.3598,83.8852,85.2097,68.1015,77.0419,80.6843,81.457,81.457,78.6976,82.2296,81.6777,82.6519,82.1192,80.574
Mistral,80.1325,79.6909,82.34,84.8786,77.0419,63.5762,78.5872,79.3598,79.6909,74.7241,80.9051,79.9117,80.9945,80.4636,78.5872
DeepSeek-V3.1,81.6777,82.2296,83.223,85.6512,80.6843,78.5872,72.4062,79.2494,79.4702,78.2561,79.9117,80.2428,80.221,80.1325,79.2494
DeepSeek-R1,82.4503,83.4437,84.106,85.0993,81.457,79.3598,79.2494,71.9647,78.2561,78.5872,79.0287,79.6909,79.6685,78.2561,78.6976
DeepSeek-V4-Pro,81.7881,83.3333,84.4371,84.7682,81.457,79.6909,79.4702,78.2561,72.4062,79.0287,80.4636,79.2494,80.1105,79.3598,78.9183
QwenCoder,80.2428,80.3532,82.4503,86.0927,78.6976,74.7241,78.2561,78.5872,79.0287,67.4393,80.0221,80.3532,80.7735,80.0221,78.2561
Qwen3.7,83.1126,84.2163,85.0993,85.4305,82.2296,80.9051,79.9117,79.0287,80.4636,80.0221,73.2892,81.0155,80.221,80.1325,80.0221
Claude-5,82.4503,83.7748,84.6578,85.872,81.6777,79.9117,80.2428,79.6909,79.2494,80.3532,81.0155,74.8344,81.2155,80.2428,79.3598
GLM-5,83.5359,85.0829,84.9724,85.4144,82.6519,80.9945,80.221,79.6685,80.1105,80.7735,80.221,81.2155,75.3591,80,79.558
Kimi-K2.7,83.7748,84.5475,84.106,85.6512,82.1192,80.4636,80.1325,78.2561,79.3598,80.0221,80.1325,80.2428,80,73.8411,79.0287
GPT-5,82.7815,83.9956,84.2163,85.6512,80.574,78.5872,79.2494,78.6976,78.9183,78.2561,80.0221,79.3598,79.558,79.0287,71.8543
