model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,1,0.728571,0.794483,0.783198,0.687861,0.675595,0.751404,0.73743,0.758815,0.719219,0.733607,0.751049,0.756393,0.740385,0.746818
GPT-3.5,0.728571,1,0.702667,0.7,0.677419,0.657143,0.675342,0.673525,0.693906,0.655835,0.671141,0.673025,0.696689,0.672948,0.674965
O4-mini,0.794483,0.702667,1,0.822134,0.673442,0.629781,0.775676,0.776423,0.773279,0.651226,0.793289,0.780027,0.802891,0.788204,0.766621
Gemini,0.783198,0.7,0.822134,1,0.680108,0.643537,0.744094,0.77036,0.750988,0.673943,0.772966,0.783422,0.82021,0.784392,0.758344
Llama-70B,0.687861,0.677419,0.673442,0.680108,1,0.677215,0.687143,0.670922,0.687143,0.715421,0.670833,0.704023,0.68114,0.670376,0.679598
Mistral,0.675595,0.657143,0.629781,0.643537,0.677215,1,0.667643,0.648766,0.675,0.719735,0.663324,0.670073,0.644231,0.658083,0.674591
DeepSeek-V3.1,0.751404,0.675342,0.775676,0.744094,0.687143,0.667643,1,0.795714,0.818182,0.702941,0.793007,0.786723,0.800546,0.785216,0.777778
DeepSeek-R1,0.73743,0.673525,0.776423,0.77036,0.670922,0.648766,0.795714,1,0.803443,0.691069,0.832378,0.808023,0.828929,0.829513,0.82284
DeepSeek-V4-Pro,0.758815,0.693906,0.773279,0.750988,0.687143,0.675,0.818182,0.803443,1,0.713018,0.790503,0.791785,0.805479,0.818182,0.795683
QwenCoder,0.719219,0.655835,0.651226,0.673943,0.715421,0.719735,0.702941,0.691069,0.713018,1,0.688126,0.715339,0.686546,0.692529,0.692762
Qwen3.7,0.733607,0.671141,0.793289,0.772966,0.670833,0.663324,0.793007,0.832378,0.790503,0.688126,1,0.820368,0.843191,0.833803,0.798867
Claude-5,0.751049,0.673025,0.780027,0.783422,0.704023,0.670073,0.786723,0.808023,0.791785,0.715339,0.820368,1,0.834951,0.820113,0.802878
GLM-5,0.756393,0.696689,0.802891,0.82021,0.68114,0.644231,0.800546,0.828929,0.805479,0.686546,0.843191,0.834951,1,0.835391,0.808864
Kimi-K2.7,0.740385,0.672948,0.788204,0.784392,0.670376,0.658083,0.785216,0.829513,0.818182,0.692529,0.833803,0.820113,0.835391,1,0.829726
GPT-5,0.746818,0.674965,0.766621,0.758344,0.679598,0.674591,0.777778,0.82284,0.795683,0.692762,0.798867,0.802878,0.808864,0.829726,1
