model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,0,18.4327,14.7903,15.3422,17.9912,21.8543,16.1148,18.1015,16.3355,18.2119,18.1015,15.2318,16.7956,18.8742,18.8742
GPT-3.5,18.4327,0,19.5364,19.426,18.543,23.7307,19.9779,22.8477,22.1854,21.1921,23.0684,20.6402,22.6519,23.1788,24.0618
O4-mini,14.7903,19.5364,0,12.4724,21.5232,22.9581,15.894,18.1015,18.3223,19.3157,18.7638,16.3355,16.3536,16.2252,18.4327
Gemini,15.3422,19.426,12.4724,0,21.1921,25.0552,17.7704,17.1082,16.0044,23.6203,16.4459,15.7837,14.2541,16.3355,18.3223
Llama-70B,17.9912,18.543,21.5232,21.1921,0,22.4062,20.8609,22.8477,22.4062,21.8543,23.0684,20.4194,21.768,22.2958,21.1921
Mistral,21.8543,23.7307,22.9581,25.0552,22.4062,0,21.1921,23.1788,23.3996,18.4327,24.9448,21.4128,22.9834,23.5099,21.7439
DeepSeek-V3.1,16.1148,19.9779,15.894,17.7704,20.8609,21.1921,0,14.128,14.128,16.6667,14.128,13.245,12.5967,14.0177,14.2384
DeepSeek-R1,18.1015,22.8477,18.1015,17.1082,22.8477,23.1788,14.128,0,12.1413,17.7704,12.8035,12.5828,11.9337,10.7064,13.5762
DeepSeek-V4-Pro,16.3355,22.1854,18.3223,16.0044,22.4062,23.3996,14.128,12.1413,0,18.2119,15.2318,11.2583,12.3757,12.4724,13.5762
QwenCoder,18.2119,21.1921,19.3157,23.6203,21.8543,18.4327,16.6667,17.7704,18.2119,0,19.3157,18.4327,18.674,18.7638,17.2185
Qwen3.7,18.1015,23.0684,18.7638,16.4459,23.0684,24.9448,14.128,12.8035,15.2318,19.3157,0,13.9073,11.7127,13.1347,14.9007
Claude-5,15.2318,20.6402,16.3355,15.7837,20.4194,21.4128,13.245,12.5828,11.2583,18.4327,13.9073,0,12.1547,11.8102,12.0309
GLM-5,16.7956,22.6519,16.3536,14.2541,21.768,22.9834,12.5967,11.9337,12.3757,18.674,11.7127,12.1547,0,10.7182,11.8232
Kimi-K2.7,18.8742,23.1788,16.2252,16.3355,22.2958,23.5099,14.0177,10.7064,12.4724,18.7638,13.1347,11.8102,10.7182,0,12.362
GPT-5,18.8742,24.0618,18.4327,18.3223,21.1921,21.7439,14.2384,13.5762,13.5762,17.2185,14.9007,12.0309,11.8232,12.362,0
