rank,model1,model2,model1_key,model2_key,n_valid,union_pct,both_pct,only1_pct,only2_pct,single1_pct,single2_pct,both,only1,only2
1,Gemini,Claude-5,gemini,claude_sonnet_5,906,82.4503,61.0375,13.4658,7.9470,74.5033,68.9845,553,122,72
2,Gemini,GLM-5,gemini,glm5,906,82.0088,64.9007,9.6026,7.5055,74.5033,72.4062,588,87,68
3,Gemini,Kimi-K2.7,gemini,kimi_k25,906,80.9051,58.8300,15.6733,6.4018,74.5033,65.2318,533,142,58
4,Gemini,Qwen3.7,gemini,qwen37_plus,906,80.6843,60.4857,14.0177,6.1810,74.5033,66.6667,548,127,56
5,Gemini,DeepSeek-R1,gemini,deepseek_r1,906,79.9117,56.8433,17.6600,5.4084,74.5033,62.2517,515,160,49
6,Gemini,DeepSeek-V4-Pro,gemini,deepseek_v4_pro,906,79.5806,53.8631,20.6402,5.0773,74.5033,58.9404,488,187,46
7,O4-mini,Gemini,o4mini,gemini,906,79.4702,60.9272,4.9669,13.5762,65.8940,74.5033,552,45,123
8,Gemini,DeepSeek-V3.1,gemini,deepseek_v31,906,79.4702,55.8499,18.6534,4.9669,74.5033,60.8168,506,169,45
9,Gemini,GPT-5,gemini,gpt5,906,79.4702,52.4283,22.0751,4.9669,74.5033,57.3951,475,200,45
10,Claude-5,GLM-5,claude_sonnet_5,glm5,906,79.3598,62.0309,6.9536,10.3753,68.9845,72.4062,562,63,94
11,O4-mini,GLM-5,o4mini,glm5,906,79.2494,59.0508,6.8433,13.3554,65.8940,72.4062,535,62,121
12,GLM-5,Kimi-K2.7,glm5,kimi_k25,906,78.0353,59.6026,12.8035,5.6291,72.4062,65.2318,540,116,51
13,O4-mini,Claude-5,o4mini,claude_sonnet_5,906,77.7042,57.1744,8.7196,11.8102,65.8940,68.9845,518,79,107
