model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,0,23.0684,22.8477,26.1589,20.9713,24.7241,21.7439,25.3863,25.6071,22.4062,26.0486,24.8344,28.9183,26.8212,25.1656
GPT-3.5,23.0684,0,30.0221,33.9956,20.6402,26.3797,28.4768,33.0022,31.457,23.1788,32.7815,32.0088,36.3135,32.8918,30.3532
O4-mini,22.8477,30.0221,0,18.543,28.5872,32.34,20.9713,20.8609,24.6137,31.5673,19.7572,20.5298,20.1987,19.6468,23.2892
Gemini,26.1589,33.9956,18.543,0,31.6777,35.6512,23.6203,23.0684,25.7174,36.4238,20.1987,21.4128,17.1082,22.0751,27.0419
Llama-70B,20.9713,20.6402,28.5872,31.6777,0,22.2958,25.9382,30.0221,28.4768,19.3157,29.3598,30.1325,34.6578,32.5607,26.4901
Mistral,24.7241,26.3797,32.34,35.6512,22.2958,0,28.3664,33.1126,30.9051,21.0817,32.8918,32.34,35.9823,34.106,28.6976
DeepSeek-V3.1,21.7439,28.4768,20.9713,23.6203,25.9382,28.3664,0,20.8609,18.6534,27.3731,19.0949,18.3223,20.6402,19.8675,21.5232
DeepSeek-R1,25.3863,33.0022,20.8609,23.0684,30.0221,33.1126,20.8609,0,23.6203,30.7947,19.2053,20.1987,19.426,18.6534,22.5166
DeepSeek-V4-Pro,25.6071,31.457,24.6137,25.7174,28.4768,30.9051,18.6534,23.6203,0,29.4702,22.7373,17.9912,22.2958,23.0684,24.2826
QwenCoder,22.4062,23.1788,31.5673,36.4238,19.3157,21.0817,27.3731,30.7947,29.4702,0,32.1192,31.1258,35.4305,31.1258,27.9249
Qwen3.7,26.0486,32.7815,19.7572,20.1987,29.3598,32.8918,19.0949,19.2053,22.7373,32.1192,0,17.5497,15.6733,17.7704,20.3091
Claude-5,24.8344,32.0088,20.5298,21.4128,30.1325,32.34,18.3223,20.1987,17.9912,31.1258,17.5497,0,17.3289,18.9845,21.9647
GLM-5,28.9183,36.3135,20.1987,17.1082,34.6578,35.9823,20.6402,19.426,22.2958,35.4305,15.6733,17.3289,0,18.4327,23.6203
Kimi-K2.7,26.8212,32.8918,19.6468,22.0751,32.5607,34.106,19.8675,18.6534,23.0684,31.1258,17.7704,18.9845,18.4327,0,22.8477
GPT-5,25.1656,30.3532,23.2892,27.0419,26.4901,28.6976,21.5232,22.5166,24.2826,27.9249,20.3091,21.9647,23.6203,22.8477,0
