rank,model1,model2,model1_key,model2_key,n_valid,union_pct,both_pct,only1_pct,only2_pct,single1_pct,single2_pct,both,only1,only2
1,Gemini,Claude-5,gemini,claude_sonnet_5,906,86.3135,68.1015,11.8102,6.4018,79.9117,74.5033,617,107,58
2,Gemini,Qwen3.7,gemini,qwen37_plus,906,85.5408,67.2185,12.6932,5.6291,79.9117,72.8477,609,115,51
3,Gemini,GLM-5,gemini,glm5,906,85.4305,68.7638,11.1479,5.5188,79.9117,74.2826,623,101,50
4,GPT-3.5,Gemini,gpt35,gemini,906,84.9890,60.2649,5.0773,19.6468,65.3422,79.9117,546,46,178
5,O4-mini,Claude-5,o4mini,claude_sonnet_5,906,84.6578,65.3422,10.1545,9.1611,75.4967,74.5033,592,92,83
6,Gemini,DeepSeek-R1,gemini,deepseek_r1,906,84.6578,66.4459,13.4658,4.7461,79.9117,71.1921,602,122,43
7,Gemini,DeepSeek-V4-Pro,gemini,deepseek_v4_pro,906,84.6578,64.4592,15.4525,4.7461,79.9117,69.2053,584,140,43
8,Gemini,DeepSeek-V3.1,gemini,deepseek_v31,906,84.5475,65.0110,14.9007,4.6358,79.9117,69.6468,589,135,42
9,Gemini,GPT-5,gemini,gpt5,906,84.5475,64.3488,15.5629,4.6358,79.9117,68.9845,583,141,42
10,Gemini,Kimi-K2.7,gemini,kimi_k25,906,84.4371,66.6667,13.2450,4.5254,79.9117,71.1921,604,120,41
11,O4-mini,Gemini,o4mini,gemini,906,84.3267,71.0817,4.4150,8.8300,75.4967,79.9117,644,40,80
12,O4-mini,Qwen3.7,o4mini,qwen37_plus,906,84.3267,64.0177,11.4790,8.8300,75.4967,72.8477,580,104,80
13,Gemini,Llama-70B,gemini,llama70b,906,84.2163,60.4857,19.4260,4.3046,79.9117,64.7903,548,176,39
