model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,70.8609,77.8146,80.9051,83.7748,78.2561,76.4901,80.3532,81.2362,80.9051,76.6004,83.1126,83.223,82.0088,80.6843,80.2428
GPT-3.5,77.8146,65.3422,82.1192,84.989,74.9448,74.2826,78.9183,81.457,79.6909,74.1722,83.3333,82.5607,83.1126,81.3466,80.1325
O4-mini,80.9051,82.1192,75.4967,84.3267,81.2362,80.6843,82.6711,82.6711,83.0022,81.5673,84.3267,84.6578,84.106,82.4503,82.1192
Gemini,83.7748,84.989,84.3267,79.9117,84.2163,82.8918,84.5475,84.6578,84.6578,83.9956,85.5408,86.3135,85.4305,84.4371,84.5475
Llama-70B,78.2561,74.9448,81.2362,84.2163,64.7903,72.9581,78.2561,80.574,79.0287,73.2892,81.5673,81.3466,81.5673,79.9117,79.1391
Mistral,76.4901,74.2826,80.6843,82.8918,72.9581,59.2715,75.4967,77.9249,76.1589,69.6468,79.4702,79.2494,79.3598,77.4834,76.4901
DeepSeek-V3.1,80.3532,78.9183,82.6711,84.5475,78.2561,75.4967,69.6468,78.0353,77.3731,76.7108,79.3598,80.6843,78.8079,77.8146,77.9249
DeepSeek-R1,81.2362,81.457,82.6711,84.6578,80.574,77.9249,78.0353,71.1921,77.7042,79.2494,79.1391,79.9117,79.3598,77.5938,78.0353
DeepSeek-V4-Pro,80.9051,79.6909,83.0022,84.6578,79.0287,76.1589,77.3731,77.7042,69.2053,77.2627,80.0221,80.1325,79.9117,77.5938,77.9249
QwenCoder,76.6004,74.1722,81.5673,83.9956,73.2892,69.6468,76.7108,79.2494,77.2627,61.8102,79.8013,79.9117,80.0221,77.5938,76.4901
Qwen3.7,83.1126,83.3333,84.3267,85.5408,81.5673,79.4702,79.3598,79.1391,80.0221,79.8013,72.8477,82.34,80.6843,78.9183,79.1391
Claude-5,83.223,82.5607,84.6578,86.3135,81.3466,79.2494,80.6843,79.9117,80.1325,79.9117,82.34,74.5033,81.8985,80.7947,80.1325
GLM-5,82.0088,83.1126,84.106,85.4305,81.5673,79.3598,78.8079,79.3598,79.9117,80.0221,80.6843,81.8985,74.2826,78.2561,79.1391
Kimi-K2.7,80.6843,81.3466,82.4503,84.4371,79.9117,77.4834,77.8146,77.5938,77.5938,77.5938,78.9183,80.7947,78.2561,71.1921,76.7108
GPT-5,80.2428,80.1325,82.1192,84.5475,79.1391,76.4901,77.9249,78.0353,77.9249,76.4901,79.1391,80.1325,79.1391,76.7108,68.9845
