rank,model1,model2,model1_key,model2_key,n_valid,union_pct,both_pct,only1_pct,only2_pct,single1_pct,single2_pct,both,only1,only2
1,Gemini,Llama-70B,gemini,llama70b,906,86.4238,65.6733,15.7837,4.9669,81.4570,70.6402,595,143,45
2,GPT-3.5,Gemini,gpt35,gemini,906,86.3135,66.8874,4.8565,14.5695,71.7439,81.4570,606,44,132
3,Gemini,Mistral,gemini,mistral,906,86.3135,65.3422,16.1148,4.8565,81.4570,70.1987,592,146,44
4,O4-mini,Gemini,o4mini,gemini,906,86.2031,73.2892,4.7461,8.1678,78.0353,81.4570,664,43,74
5,Gemini,DeepSeek-V3.1,gemini,deepseek_v31,906,86.2031,69.8675,11.5894,4.7461,81.4570,74.6137,633,105,43
6,Gemini,QwenCoder,gemini,qwencoder32b,906,85.8720,63.9073,17.5497,4.4150,81.4570,68.3223,579,159,40
7,Gemini,GPT-5,gemini,gpt5,906,85.8720,67.5497,13.9073,4.4150,81.4570,71.9647,612,126,40
8,Gemini,DeepSeek-V4-Pro,gemini,deepseek_v4_pro,906,85.7616,67.8808,13.5762,4.3046,81.4570,72.1854,615,123,39
9,Gemini,GLM-5,gemini,glm5,906,85.7616,70.4194,11.0375,4.3046,81.4570,74.7241,638,100,39
10,GPT-4o,Gemini,gpt4o,gemini,906,85.6512,71.3024,4.1943,10.1545,75.4967,81.4570,646,38,92
11,Gemini,Qwen3.7,gemini,qwen37_plus,906,85.6512,69.2053,12.2517,4.1943,81.4570,73.3996,627,111,38
12,Gemini,Claude-5,gemini,claude_sonnet_5,906,85.5408,69.2053,12.2517,4.0839,81.4570,73.2892,627,111,37
13,Gemini,DeepSeek-R1,gemini,deepseek_r1,906,85.3201,67.3289,14.1280,3.8631,81.4570,71.1921,610,128,35
