model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,68.1015,77.2627,80.0221,81.457,76.3797,74.1722,78.5872,79.0287,78.2561,73.5099,80.7947,78.9183,82.0088,80.3532,78.0353
GPT-3.5,77.2627,65.4525,82.7815,83.8852,75.2759,73.3996,80.574,80.4636,79.6909,74.7241,82.2296,81.0155,83.3333,82.0088,79.8013
O4-mini,80.0221,82.7815,75.4967,83.7748,81.457,80.7947,81.6777,81.457,81.7881,81.0155,82.2296,81.7881,83.9956,82.34,81.3466
Gemini,81.457,83.8852,83.7748,77.1523,82.1192,81.1258,84.106,82.6711,83.7748,80.9051,84.106,82.5607,84.106,83.4437,82.6711
Llama-70B,76.3797,75.2759,81.457,82.1192,60.8168,69.7572,77.2627,77.8146,77.2627,69.426,79.4702,76.8212,81.3466,79.3598,76.8212
Mistral,74.1722,73.3996,80.7947,81.1258,69.7572,56.181,75.3863,76.0486,75.0552,66.5563,77.0419,75.6071,80.3532,77.1523,74.2826
DeepSeek-V3.1,78.5872,80.574,81.6777,84.106,77.2627,75.3863,69.5364,77.2627,76.4901,75.0552,78.9183,78.1457,80.7947,79.1391,77.4834
DeepSeek-R1,79.0287,80.4636,81.457,82.6711,77.8146,76.0486,77.2627,69.2053,76.9316,75.3863,77.0419,77.0419,79.3598,77.0419,75.3863
DeepSeek-V4-Pro,78.2561,79.6909,81.7881,83.7748,77.2627,75.0552,76.4901,76.9316,69.5364,74.6137,79.0287,77.9249,80.574,77.7042,76.7108
QwenCoder,73.5099,74.7241,81.0155,80.9051,69.426,66.5563,75.0552,75.3863,74.6137,58.2781,77.1523,74.8344,79.5806,76.8212,74.7241
Qwen3.7,80.7947,82.2296,82.2296,84.106,79.4702,77.0419,78.9183,77.0419,79.0287,77.1523,71.9647,78.0353,80.2428,78.3664,77.9249
Claude-5,78.9183,81.0155,81.7881,82.5607,76.8212,75.6071,78.1457,77.0419,77.9249,74.8344,78.0353,70.0883,79.5806,77.9249,76.7108
GLM-5,82.0088,83.3333,83.9956,84.106,81.3466,80.3532,80.7947,79.3598,80.574,79.5806,80.2428,79.5806,75.9382,80.4636,79.6909
Kimi-K2.7,80.3532,82.0088,82.34,83.4437,79.3598,77.1523,79.1391,77.0419,77.7042,76.8212,78.3664,77.9249,80.4636,71.7439,76.4901
GPT-5,78.0353,79.8013,81.3466,82.6711,76.8212,74.2826,77.4834,75.3863,76.7108,74.7241,77.9249,76.7108,79.6909,76.4901,68.2119
