model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,1,0.810041,0.854667,0.832474,0.803815,0.776581,0.796565,0.781501,0.793566,0.78738,0.770341,0.787798,0.817089,0.786382,0.774236
GPT-3.5,0.810041,1,0.776178,0.774936,0.769547,0.735493,0.756291,0.717507,0.740988,0.733607,0.732543,0.731225,0.766977,0.743316,0.722222
O4-mini,0.854667,0.776178,1,0.850192,0.772368,0.774108,0.796104,0.783641,0.797886,0.756291,0.779507,0.811096,0.816273,0.814667,0.788158
Gemini,0.832474,0.774936,0.850192,1,0.759898,0.757033,0.810499,0.789133,0.791506,0.744216,0.80799,0.809032,0.821107,0.810143,0.786632
Llama-70B,0.803815,0.769547,0.772368,0.759898,1,0.740791,0.743046,0.713333,0.734584,0.73895,0.730769,0.747989,0.756,0.746289,0.727273
Mistral,0.776581,0.735493,0.774108,0.757033,0.740791,1,0.763441,0.740489,0.757493,0.77762,0.762873,0.759134,0.77193,0.764706,0.757162
DeepSeek-V3.1,0.796565,0.756291,0.796104,0.810499,0.743046,0.763441,1,0.824586,0.814461,0.764305,0.819539,0.820652,0.855967,0.826923,0.816689
DeepSeek-R1,0.781501,0.717507,0.783641,0.789133,0.713333,0.740489,0.824586,1,0.824438,0.790368,0.814404,0.838483,0.841226,0.84517,0.834512
DeepSeek-V4-Pro,0.793566,0.740988,0.797886,0.791506,0.734584,0.757493,0.814461,0.824438,1,0.798023,0.821823,0.825485,0.85376,0.860597,0.847242
QwenCoder,0.78738,0.733607,0.756291,0.744216,0.73895,0.77762,0.764305,0.790368,0.798023,1,0.766162,0.7894,0.8,0.775453,0.772664
Qwen3.7,0.770341,0.732543,0.779507,0.80799,0.730769,0.762873,0.819539,0.814404,0.821823,0.766162,1,0.823045,0.856155,0.847339,0.821577
Claude-5,0.787798,0.731225,0.811096,0.809032,0.747989,0.759134,0.820652,0.838483,0.825485,0.7894,0.823045,1,0.854772,0.838215,0.83032
GLM-5,0.817089,0.766977,0.816273,0.821107,0.756,0.77193,0.855967,0.841226,0.85376,0.8,0.856155,0.854772,1,0.856346,0.828061
Kimi-K2.7,0.786382,0.743316,0.814667,0.810143,0.746289,0.764706,0.826923,0.84517,0.860597,0.775453,0.847339,0.838215,0.856346,1,0.860399
GPT-5,0.774236,0.722222,0.788158,0.786632,0.727273,0.757162,0.816689,0.834512,0.847242,0.772664,0.821577,0.83032,0.828061,0.860399,1
