rank,model1,model2,model1_key,model2_key,n_valid,union_pct,both_pct,only1_pct,only2_pct,single1_pct,single2_pct,both,only1,only2
1,Gemini,DeepSeek-V3.1,gemini,deepseek_v31,906,84.1060,62.5828,14.5695,6.9536,77.1523,69.5364,567,132,63
2,Gemini,Qwen3.7,gemini,qwen37_plus,906,84.1060,65.0110,12.1413,6.9536,77.1523,71.9647,589,110,63
3,Gemini,GLM-5,gemini,glm5,906,84.1060,68.9845,8.1678,6.9536,77.1523,75.9382,625,74,63
4,O4-mini,GLM-5,o4mini,glm5,906,83.9956,67.4393,8.0574,8.4989,75.4967,75.9382,611,73,77
5,GPT-3.5,Gemini,gpt35,gemini,906,83.8852,58.7196,6.7329,18.4327,65.4525,77.1523,532,61,167
6,O4-mini,Gemini,o4mini,gemini,906,83.7748,68.8742,6.6225,8.2781,75.4967,77.1523,624,60,75
7,Gemini,DeepSeek-V4-Pro,gemini,deepseek_v4_pro,906,83.7748,62.9139,14.2384,6.6225,77.1523,69.5364,570,129,60
8,Gemini,Kimi-K2.7,gemini,kimi_k25,906,83.4437,65.4525,11.6998,6.2914,77.1523,71.7439,593,106,57
9,GPT-3.5,GLM-5,gpt35,glm5,906,83.3333,58.0574,7.3951,17.8808,65.4525,75.9382,526,67,162
10,GPT-3.5,O4-mini,gpt35,o4mini,906,82.7815,58.1678,7.2848,17.3289,65.4525,75.4967,527,66,157
11,Gemini,DeepSeek-R1,gemini,deepseek_r1,906,82.6711,63.6865,13.4658,5.5188,77.1523,69.2053,577,122,50
12,Gemini,GPT-5,gemini,gpt5,906,82.6711,62.6932,14.4592,5.5188,77.1523,68.2119,568,131,50
13,Gemini,Claude-5,gemini,claude_sonnet_5,906,82.5607,64.6799,12.4724,5.4084,77.1523,70.0883,586,113,49
