rank,model1,model2,model1_key,model2_key,n_valid,union_pct,both_pct,only1_pct,only2_pct,single1_pct,single2_pct,both,only1,only2
1,GPT-3.5,Gemini,gpt35,gemini,906,86.3135,66.8874,5.1876,14.2384,72.0751,81.1258,606,47,129
2,Gemini,QwenCoder,gemini,qwencoder32b,906,86.0927,62.4724,18.6534,4.9669,81.1258,67.4393,566,169,45
3,O4-mini,Gemini,o4mini,gemini,906,85.8720,73.3996,4.7461,7.7263,78.1457,81.1258,665,43,70
4,Gemini,Claude-5,gemini,claude_sonnet_5,906,85.8720,70.0883,11.0375,4.7461,81.1258,74.8344,635,100,43
5,GPT-4o,Gemini,gpt4o,gemini,906,85.6512,70.3091,4.5254,10.8168,74.8344,81.1258,637,41,98
6,Gemini,DeepSeek-V3.1,gemini,deepseek_v31,906,85.6512,67.8808,13.2450,4.5254,81.1258,72.4062,615,120,41
7,Gemini,Kimi-K2.7,gemini,kimi_k25,906,85.6512,69.3157,11.8102,4.5254,81.1258,73.8411,628,107,41
8,Gemini,GPT-5,gemini,gpt5,906,85.6512,67.3289,13.7969,4.5254,81.1258,71.8543,610,125,41
9,Gemini,Qwen3.7,gemini,qwen37_plus,906,85.4305,68.9845,12.1413,4.3046,81.1258,73.2892,625,110,39
10,Gemini,GLM-5,gemini,glm5,905,85.4144,71.1602,10.0552,4.1989,81.2155,75.3591,644,91,38
11,Gemini,Llama-70B,gemini,llama70b,906,85.2097,64.0177,17.1082,4.0839,81.1258,68.1015,580,155,37
12,O4-mini,Qwen3.7,o4mini,qwen37_plus,906,85.0993,66.3355,11.8102,6.9536,78.1457,73.2892,601,107,63
13,Gemini,DeepSeek-R1,gemini,deepseek_r1,906,85.0993,67.9912,13.1347,3.9735,81.1258,71.9647,616,119,36
