model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,75.4967,81.3466,82.7815,85.6512,81.0155,82.0088,83.5541,82.34,82.34,80.4636,84.106,83.223,82.6711,82.6711,83.1126
GPT-3.5,81.3466,71.7439,84.3267,86.3135,80.4636,81.7881,83.3333,83.223,82.6711,80.7947,83.7748,83.7748,82.8918,82.5607,83.4437
O4-mini,82.7815,84.3267,78.0353,86.2031,83.8852,83.5541,84.989,83.6645,83.5541,83.3333,85.0993,83.5541,84.106,82.7815,83.8852
Gemini,85.6512,86.3135,86.2031,81.457,86.4238,86.3135,86.2031,85.3201,85.7616,85.872,85.6512,85.5408,85.7616,84.8786,85.872
Llama-70B,81.0155,80.4636,83.8852,86.4238,70.6402,80.9051,83.3333,82.7815,82.34,79.9117,83.223,82.34,82.7815,81.7881,82.5607
Mistral,82.0088,81.7881,83.5541,86.3135,80.9051,70.1987,82.1192,81.2362,81.0155,77.9249,81.457,81.5673,81.7881,80.6843,80.9051
DeepSeek-V3.1,83.5541,83.3333,84.989,86.2031,83.3333,82.1192,74.6137,79.9117,80.9051,81.0155,81.3466,81.2362,80.4636,80.3532,80.6843
DeepSeek-R1,82.34,83.223,83.6645,85.3201,82.7815,81.2362,79.9117,71.1921,78.5872,77.9249,79.6909,78.5872,79.2494,77.7042,78.0353
DeepSeek-V4-Pro,82.34,82.6711,83.5541,85.7616,82.34,81.0155,80.9051,78.5872,72.1854,78.1457,79.9117,79.6909,79.2494,77.5938,78.0353
QwenCoder,80.4636,80.7947,83.3333,85.872,79.9117,77.9249,81.0155,77.9249,78.1457,68.3223,80.2428,79.1391,79.4702,79.1391,79.1391
Qwen3.7,84.106,83.7748,85.0993,85.6512,83.223,81.457,81.3466,79.6909,79.9117,80.2428,73.3996,80.4636,79.8013,78.8079,79.8013
Claude-5,83.223,83.7748,83.5541,85.5408,82.34,81.5673,81.2362,78.5872,79.6909,79.1391,80.4636,73.2892,79.8013,79.1391,79.3598
GLM-5,82.6711,82.8918,84.106,85.7616,82.7815,81.7881,80.4636,79.2494,79.2494,79.4702,79.8013,79.8013,74.7241,79.1391,80.2428
Kimi-K2.7,82.6711,82.5607,82.7815,84.8786,81.7881,80.6843,80.3532,77.7042,77.5938,79.1391,78.8079,79.1391,79.1391,72.1854,77.4834
GPT-5,83.1126,83.4437,83.8852,85.872,82.5607,80.9051,80.6843,78.0353,78.0353,79.1391,79.8013,79.3598,80.2428,77.4834,71.9647
