model,Description_Detailed,Description_Fewshot,Description_Reason,Description_Simple,Description_Vague
GPT3.5,0.3165,0.4286,0.4036,0.4274,0.298
GPT4o,0.3698,0.4825,0.4125,0.4595,0.3011
Gemini,0.4353,0.557,0.502,0.5341,0.3993
LlamaVL,0.1727,0.1747,0.2082,0.1525,0.1704
O4-mini,0.4348,0.4928,0.5162,0.5232,0.3402
Qwen3VL,0.2827,0.3476,0.3698,0.3824,0.2694
codellama,0.2358,0.2029,0.1712,0.3255,0.3062
deepseek-r1,0.4965,0.5516,0.518,0.5346,0.4488
deepseek-v3.1,0.5191,0.5509,0.5143,0.5372,0.3599
llama70B,0.3798,0.4384,0.4353,0.4237,0.3002
mistral,0.3243,0.3941,0.367,0.4146,0.2822
qwencoder32B,0.3777,0.4424,0.3292,0.4483,0.3813
starchat,0.3435,0.417,0.2521,0.4448,0.3798
starcoder,0.3814,0.1117,0.1351,0.1383,0.4195
