model_key,model,p00001,p00002,p00003,p00005,p00006,p00007,p00011,p02255,p02256,p02257,p02258,p02259,p02260,p02263,p02264,p02268,p02381,p02388,p02389,p02390,p02391,p02392,p02393,p02394,p02396,p02397,p02398,p02399,p02400,p02401,p02402,p02403,p02404,p02405,p02406,p02407,p02408,p02409,p02410,p02411,p02412,p02413,p02414,p02415,p02416,p02417,p02418,p02419,p02420,p02421,p02547,p02552,p02553,p02570,p02571,p02576,p02577,p02578,p02582,p02595,p02612,p02613,p02621,p02622,p02627,p02628,p02629,p02639,p02640,p02641,p02657,p02658,p02659,p02675,p02676,p02677,p02681,p02682,p02687,p02688,p02693,p02694,p02699,p02700,p02701,p02705,p02706,p02707,p02711,p02712,p02713,p02717,p02718,p02719,p02723,p02724,p02725,p02729,p02730,p02731,p02753,p02754,p02755,p02759,p02766,p02767,p02771,p02772,p02773,p02777,p02778,p02779,p02783,p02784,p02785,p02786,p02790,p02791,p02801,p02802,p02812,p02818,p02819,p02829,p02830,p02831,p02832,p02835,p02836,p02847,p02848,p02860,p02879,p02880,p02881,p02886,p02887,p02897,p02898,p02899,p02909,p02910,p02911,p02916,p02917,p02921,p02922,p02923,p02934,p02935,p02945,p02946,p02947,p02951,p02952,p02953,p02957,p02958,p02959,p02970,p02971,p02981,p02982,p02983,p02987,p02988,p02989,p02993,p02994,p02995,p03000,p03001,p03011,p03012,p03013,p03035,p03037,p03041,p03042,p03043,p03059,p03060,p03071,p03072,p03073,p03075,p03076,p03086,p03087,p03102,p03106,p03107,p03109,p03126,p03136,p03146,p03147,p03160,p03161,p03220,p03239,p03242,p03243,p03261,p03281,p03282,p03285,p03289,p03292,p03293,p03308,p03315,p03316,p03324,p03325,p03352,p03360,p03370,p03371,p03378,p03416,p03434,p03435,p03448,p03449,p03455,p03456,p03457,p03469,p03470,p03471,p03474,p03478,p03493,p03494,p03545,p03632,p03644,p03680,p03695,p03720,p03775,p03814,p03835,p03854,p03998,p04012,p04030,p04043,p04044
gpt4o,GPT-4o,0.75,0.9,0.9,0.6,0.9,0.3,0.2,0.9,0.9,0.6,0.9,0.6,0.9,0.9,0.8,0.6,0.8,0.9,0.175,0.2,0.9,0.9,0.9,0.6,0.6,0.1,0.65,0.6,0.9,0.6,0.9,0.9,0.6,0.6,0.9,0.6,0.2,0.575,0.9,0.9,0.6,0.6,0.9,0.9,0.875,0.9,0.9,0.875,0.2,0.9,0.6,0.85,0.8,0.9,0.6,0.6,0.9,0.9,0.1,0.6,0,0.6,0.35,0.2,0.9,0.65,0.9,0.2,0.2,0.6,0.3,0.9,0.6,0.2,0.9,0.2,0.9,0.9,0,0.9,0.6,0.9,0.75,0.9,0.9,0.6,0.575,0.9,0.2,0.2,0.9,0,0.9,0.6,0.9,0.2,0.6,0.6,0.2,0,0.175,0.6,0.2,0.2,0.9,0.6,0.9,0.9,0.5,0.2,0.9,0.2,0.175,0.275,0.175,0.6,0.6,0.6,0.9,0,0.6,0,0.75,0.9,0.6,0.9,0.75,0.9,0.4,0.6,0.9,0.9,0.9,0.6,0.6,0.2,0.6,0.1,0.375,0.6,0.275,0.6,0.2,0.6,0.65,0.6,0.9,0.6,0.1,0.9,0.2,0.9,0.9,0.175,0.85,0.6,0.5,0.9,0.275,0.9,0.2,0,0.9,0.6,0.6,0.6,0.575,0.6,0.1,0.9,0.6,0.2,0.1,0.6,0.5,0.2,0.6,0.9,0.6,0.1,0.9,0.6,0.1,0.6,0.2,0.9,0.2,0.9,0.9,0.6,0.7,0,0.2,0.6,0.875,0.6,0.2,0.9,0.9,0.1,0.2,0,0.2,0.9,0.6,0.2,0.2,0.7,0.4,0.9,0.5,0.4,0.6,0.2,0.275,0.6,0.9,0,0.625,0.6,0.6,0.9,0.2,0.9,0.2,0.6,0.9,0.9,0.6,0.9,0.6,0.6,0.6,0.6,0.6,0.6,0.9,0.175,0.6,0.9,0.2,0.6,0.9,0.6,0.6,0.875,0.9,0.6,0.6,0.3
gpt35,GPT-3.5,0.6,0.85,0.9,0.9,0.6,0.2,0.2,0.9,0.4,0.2,0.6,0.6,0.9,0.6,0.6,0.6,0.6,0.9,0.075,0.175,0.625,0.9,0.9,0.9,0.6,0.2,0.9,0.6,0.85,0.9,0.9,0.8,0.8,0.6,0.9,0.2,0.2,0.6,0.9,0.9,0.6,0.6,0.9,0.6,0.625,0.9,0.85,0.9,0.15,0.9,0.3,0.1,0.6,0.9,0.4,0.4,0.9,0.6,0.1,0.9,0,0.9,0.075,0.1,0.9,0.2,0.9,0.6,0.6,0.9,0.2,0.9,0.3,0.2,0.9,0.4,0.6,0.9,0,0.6,0.3,0.9,0.75,0.6,0.9,0.6,0.6,0.625,0.2,0.2,0.9,0,0.9,0.6,0.9,0,0.6,0.2,0.2,0.1,0.2,0.6,0.2,0,0.6,0.1,0.6,0.2,0.6,0.2,0.75,0.2,0,0.2,0,0.025,0.1,0.6,0.75,0.2,0.6,0,0.9,0.9,0.6,0.6,0.2,0.6,0.275,0.6,0.75,0.9,0.6,0.3,0.2,0.05,0.55,0,0.9,0.6,0.1,0.6,0.175,0.4,0.6,0.6,0.6,0.6,0.2,0.6,0.2,0.9,0.6,0.5,0.9,0.9,0.7,0.875,0.1,0.6,0.35,0.55,0.9,0.6,0.6,0.75,0.6,0.9,0.2,0.8,0.2,0.1,0.1,0.175,0.5,0.2,0.6,0.6,0.6,0,0.6,0.225,0.4,0.9,0.6,0.6,0.2,0.9,0.9,0.9,0.65,0.1,0.6,0.6,0.6,0.575,0.2,0.7,0.9,0.2,0.2,0,0.75,0.6,0.9,0.1,0.2,0.9,0.6,0.6,0.6,0.175,0.9,0.5,0.4,0.6,0.6,0.2,0.6,0.6,0.2,0.9,0.2,0.65,0.15,0.3,0.9,0.9,0.6,0.6,0.6,0.6,0.3,0.9,0.6,0.3,0.9,0.25,0.6,0.475,0.6,0.75,0.9,0.375,0.6,0.2,0.9,0.6,0.6,0.45
o4mini,O4-mini,0.9,0.9,0.9,0.9,0.9,0.6,0.2,0.9,0.575,0.6,0.9,0.9,0.9,0.9,0.8,0.55,0.875,0.9,0.1,0.6,0.85,0.9,0.9,0.6,0.6,0.3,0.9,0.9,0.9,0.9,0.9,0.9,0.6,0.6,0.9,0.6,0.2,0.6,0.9,0.9,0.6,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.6,0.9,0.9,0.85,0.6,0.9,0.9,0.9,0.9,0.9,0.2,0.6,0.75,0.6,0.9,0.6,0.9,0.6,0.2,0.9,0.4,0.875,0.6,0.4,0.6,0.6,0.6,0.9,0,0.9,0.6,0.6,0.6,0.85,0.9,0.9,0.6,0.9,0.3,0.45,0.9,0.075,0.9,0.65,0.6,0.2,0.6,0.6,0.3,0.075,0.3,0.9,0.6,0.6,0.625,0.6,0.7,0.6,0.9,0.625,0.9,0.575,0.2,0.6,0.05,0.9,0.55,0.75,0.9,0.1,0.9,0.6,0.9,0.9,0.9,0.9,0.6,0.9,0.2,0.6,0.9,0.9,0.9,0.6,0.35,0.6,0.6,0.1,0.8,0.425,0.275,0.7,0.6,0.9,0.6,0.1,0.9,0.6,0.85,0.75,0.9,0.9,0.85,0.9,0.9,0.9,0.6,0.9,0.75,0.6,0.6,0.2,0.8,0.225,0.9,0.6,0.6,0.9,0.7,0.9,0.2,0.4,0.3,0.6,0.6,0.75,0.5,0.9,0.9,0.2,0.6,0.4,0.9,0.9,0.6,0.9,0,0.9,0.9,0.75,0.9,0,0.6,0.6,0.875,0.9,0.2,0.6,0.9,0.2,0.6,0,0.3,0.9,0.275,0.1,0.3,0.9,0.6,0.9,0.6,0.9,0.6,0.2,0.6,0.6,0.9,0.2,0.6,0.6,0.6,0.9,0.6,0.9,0.2,0.6,0.9,0.9,0.6,0.9,0.9,0.9,0.9,0.9,0.9,0.6,0.9,0.75,0.6,0.9,0.9,0.9,0.9,0.9,0.2,0.6,0.9,0.6,0.9,0.625
gemini,Gemini,0.8,0.9,0.9,0.6,0.9,0.4,0.2,0.9,0.325,0.6,0.9,0.9,0.9,0.9,0.8,0.6,0.9,0.9,0.9,0.6,0.6,0.9,0.9,0.6,0.6,0.175,0.875,0.9,0.9,0.9,0.9,0.9,0.6,0.9,0.9,0.6,0.6,0.5,0.9,0.9,0.9,0.9,0.9,0.6,0.6,0.9,0.9,0.6,0.6,0.9,0.6,0.9,0.9,0.6,0.8,0.9,0.9,0.6,0.9,0.9,0.2,0.6,0,0.6,0.9,0.9,0.9,0.9,0.275,0.6,0.3,0.9,0.9,0.9,0.9,0.5,0.6,0.9,0,0.6,0.8,0.6,0.375,0.9,0.9,0.9,0.9,0.6,0.2,0.6,0.6,0.55,0.9,0.6,0.9,0.2,0.6,0.1,0.6,0.9,0.5,0.6,0.6,0.275,0.9,0.6,0.9,0.6,0.8,0.3,0.9,0.6,0.025,0.3,0.4,0.9,0.2,0.75,0.6,0.2,0.6,0.2,0.9,0.9,0.9,0.9,0.6,0.9,0.575,0.75,0.9,0.9,0.9,0.8,0.55,0.9,0.6,0.55,0.8,0.6,0.6,0.6,0.875,0.9,0.9,0.4,0.9,0.9,0.9,0.8,0.2,0.9,0.9,0.9,0.9,0.875,0.875,0.9,0.6,0.6,0.6,0.35,0.9,0.5,0.6,0.6,0.6,0.9,0.6,0.9,0.575,0.55,0.9,0.1,0.6,0.5,0.6,0.9,0.75,0.6,0.6,0.85,0.9,0.9,0.6,0.8,0.2,0.6,0.9,0.9,0.875,0.075,0.6,0.6,0.5,0.6,0.2,0.6,0.9,0.2,0.275,0,0.9,0.8,0.6,0.6,0.6,0.9,0.6,0.6,0.6,0.1,0.6,0.8,0.2,0.75,0.9,0.2,0.9,0.5,0.6,0.9,0.6,0.8,0.05,0.9,0.9,0.9,0.6,0.9,0.6,0.6,0.65,0.9,0.75,0.6,0.9,0.9,0.6,0.9,0.9,0.9,0.9,0.6,0.5,0.6,0.6,0.9,0.6,0.6
llama70b,Llama-70B,0.9,0.9,0.9,0.7,0.9,0.275,0.6,0.6,0.55,0.4,0.6,0.6,0.9,0.65,0.575,0.6,0.6,0.9,0.2,0.6,0.875,0.625,0.9,0.35,0.4,0.2,0.9,0.6,0.7,0.6,0.9,0.9,0.9,0.175,0.6,0.6,0.2,0.3,0.9,0.9,0.9,0.9,0.9,0.6,0.9,0.6,0.45,0.65,0.2,0.9,0.6,0.6,0.9,0.6,0.6,0,0.9,0.2,0.6,0.75,0,0.6,0,0.1,0.9,0.6,0.9,0.2,0.35,0.6,0,0.6,0.025,0.5,0.6,0.6,0.4,0.9,0,0.6,0,0.6,0.2,0.9,0.6,0.75,0.1,0.4,0.1,0.15,0.6,0,0.9,0.15,0.9,0.2,0.6,0.625,0.2,0.1,0.2,0.2,0.2,0.2,0.425,0.6,0.625,0.5,0.5,0.225,0,0.5,0.2,0.375,0,0.25,0.1,0.2,0.9,0,0.9,0.2,0.9,0.75,0.9,0.9,0.2,0.6,0.2,0.6,0.9,0.5,0.6,0.85,0.275,0,0.6,0,0.575,0.2,0.025,0.6,0.35,0.2,0.025,0.6,0.55,0.75,0.4,0.6,0.6,0.1,0.6,0,0.6,0.6,0.6,0.9,0.2,0,0.2,0.1,0.9,0.2,0.2,0.5,0.6,0.75,0.2,0.9,0.475,0.275,0.2,0.75,0.6,0.1,0.5,0.875,0.7,0,0.2,0.2,0.1,0.175,0.2,0.9,0.175,0.9,0.9,0,0.6,0.2,0.2,0.6,0.45,0.5,0.2,0.9,0.6,0,0.2,0,0,0.325,0.6,0,0.35,0.9,0.6,0.7,0.6,0.9,0.375,0.1,0.325,0.2,0.9,0.4,0.6,0.575,0.2,0.6,0.275,0.9,0,0.3,0.6,0.9,0.075,0.2,0.6,0.85,0.6,0.9,0.2,0.45,0.9,0,0.2,0.6,0,0.75,0.6,0.3,0.2,0.6,0.9,0.1,0.2,0.4
mistral,Mistral,0.5,0.8,0.925,0.75,0.5,0.4,0.5,0.625,0.8,0.425,0,1,1,1,0.025,0.5,0.7,0.9,0.75,0,0.5,0,0.5,0.25,0.425,0.475,0.5,0.575,0.85,0.5,0.575,0.4,0.45,0.5,0.9,0.5,0.925,0.55,0.925,0.5,0.925,0.425,0.925,0.425,0.575,0.475,0.2,1,0.35,0.35,0.275,1,1,0.75,0.025,1,0.5,1,0.65,0.925,0,0.9,0,1,1,1,0.75,0,0,0,0.35,0.425,0.925,0,0.5,0.75,0.4,0.6,0,1,0,0.5,0.55,0.4,1,0.925,1,0.75,0.5,0,0,0,0.475,0.85,0.5,0.075,0.15,0.15,0.4,0,0,0.25,0,0.9,0.5,0.925,0.5,0,1,0.5,0.575,0.175,0,1,0.5,0,0,0.5,0.575,1,0.8,0.75,1,0.75,0.575,0,0,1,0.7,0.5,0.95,1,0.475,1,1,1,0.25,0.45,1,0.45,0.85,1,0.35,0.35,1,0.5,0.15,0.25,1,0,0.7,0.575,1,1,1,0.2,1,0,0.45,0,0,0.925,1,0.25,0,0.75,0,0.75,0,0.95,0.575,0,0.9,1,0.5125,0.55,0.9,1,0.5,0,1,1,0,0.2,1,0.1,0,0.9375,0.075,0.1,0,0,0.2,1,1,0.875,0,0.65,0.55,0,0,0,0.85,0.7,0,0,0,0,1,0.925,1,0.275,0.875,0.15,0.7,0,1,0.45,0,1,0.5,0.35,0,0.925,0.45,0.65,1,0.65,0.35,1,0.6,0.425,1,0.75,0.925,0.5,0.925,0,1,0.5,1,1,0.7,1,0.25,0.55,1,0.2,0.4,0
deepseek_v31,DeepSeek-V3.1,0.7,0.4,1,0.4,0.7,0.2,0.4,0.725,0.4,0.4,0.9,0.9,0.9,0.575,1,0.4,0.6,0.9,1,0.4,0.6,1,1,0.25,0.4,0.2,0,0.7,0.8,0.8,0.75,0.5,0.5,0.575,0.9,0.1,0.2,0.9,0.8,1,0.8,0.6,0.9,0.5,0.575,0.8,1,1,0.85,0.925,0.275,1,1,0.425,1,1,1,1,0.5,1,0.575,0.925,0,1,0.9,1,0.3,0.425,1,0.85,0.1,0.6,0.8,0,0.6,0.75,0.2,1,0,1,0.6,0.2,1,0.5,1,1,1,1,0.475,0.7,1,1,0.8,1,0.4,0.8,0.9,0.75,0.8,0,0,1,0.4,0.7,1,0.9,1,0.925,1,0.6,0.6,0.1,1,0.2,1,1,0,0.1,0.925,0,1,0.2,0.7,1,0.875,1,0.2,0.4,0.875,0.5,1,0.9,0.5,0.9,1,1,1,0.875,1,0.8,0.8,1,1,1,1,0.5,1,1,1,0,0.925,0.4,1,1,0.9,0.4,0.4,0.7,1,1,0.2,1,1,0.2,0.725,0.85,0.5,0.575,0.65,1,0.9,0,0.9,0.6,0.2,0.55,1,1,1,0.4,1,1,0,1,1,0.4,0,0,1,1,1,0.45,0.875,1,1,0.925,0.425,1,1,0.2,1,0,0.6,0.7,0.3,0,0.2,0.9,0.4,1,1,0.4,1,0,0.2,0.2,1,0.8,0.6,1,0.2,1,0.7,1,0,0.4,0.925,1,0.2,1,0.7,0.9,0.8,0.875,1,0.3,0.8,1,0,0.6,1,1,0.2,1,0.5,0.9,1,0,0.8,0.2
deepseek_r1,DeepSeek-R1,0.8,0.7,0.9,0.4,0.8,0,0.2,0.7,0.4,0.3,0.9,1,1,0.8,1,0.4,0.8,0.8,0.9,0.1,0.4,1,1,0.2,0.7,0.1,0,0.7,0.7,0.8,0.9,0.7,0.4,0.5,0.7,0.4,0.2,0.9,0.9,0.8,0.9,0.6,1,0.4,0.4,0.9,0.9,0.5,0.4,0.4,0.3,0.8,1,1,1,1,1,0.4,1,0.9,0.1,0,0.8,1,0.9,1,0.2,0.2,0.8,1,0.2,0.5,0.8,0.4,0.4,0.4,0.7,1,0,1,0.6,0.2,0.2,0.4,1,0.9,1,1,0.2,0.6,1,1,0.6,1,0.4,0,0,0,0,1,0,1,0.3,0.6,1,0.9,1,0.7,0.4,0.6,0.6,0.1,1,0.4,0,1,0.2,0.2,0.7,0.8,0.7,0.6,0.7,1,1,1,0.5,0.6,0.2,0.4,1,1,0.6,1,1,1,1,0.9,1,0.2,0.9,0.4,1,0.3,0.1,0.5,0.4,1,1,0,1,0.4,1,0.4,1,0.4,1,1,0.2,1,0.2,1,1,0.4,0.9,1,0,0.4,0,1,0.9,0.1,0.8,1,0.3,0.6,0.9,0.9,0.9,0.2,0.9,1,1,1,0.4,0.4,0,0.9,0.6,1,1,0,0.3,1,1,0.9,0.2,1,1,0.2,0.7,0,0.7,0.9,0.2,0,0.4,0.9,0,0.9,1,0.4,0.8,0,0,0.4,0.4,1,0.9,1,0.3,1,0,1,0.4,0.9,1,1,0.2,1,0.4,0.8,0.9,0.9,1,0.3,1,1,0.2,0.9,1,1,0.3,1,0.1,0.9,0.7,0,0.2,0.1
deepseek_v4_pro,DeepSeek-V4-Pro,0.6,0.6,1,0.8,0.5,0.2,0.4,0.9,0.1,0.3,0.8,0.9,1,0.6,1,0.4,0.7,0.8,1,0.9,0.4,1,1,0,0.4,0.1,0,0.6,0.6,0.7,1,0.3,0.4,0.4,0.8,0.2,0.2,0.8,0.9,0.9,1,0.4,0.9,0.5,0.4,0.9,0.8,0.6,0.9,0.4,0.1,0.9,1,1,0.2,1,1,0.2,1,0.9,0.1,0,0.7,1,1,0.9,0.8,0,0.8,0,0.1,0.7,0.4,0,0.6,0.4,0.7,1,0,1,0.6,0.2,0.4,0.2,0.9,1,1,1,0,0.8,1,1,0.6,0.8,0.4,0,0,0,1,1,0,1,0.4,0.2,0.9,0.9,1,1,0.6,0.7,0.6,0,1,0.2,0,1,0.2,0,0.7,0,0.8,1,0.6,1,0.9,1,0.8,0.7,0.2,0.8,1,1,0.6,1,1,1,1,0.6,1,0.1,0.7,1,1,0.7,0.2,0.2,0.4,1,1,0.2,0.9,0.4,1,1,0.9,0.4,1,1,1,1,0.2,0.9,1,0.2,0.9,1,0,0.4,0.2,1,1,0,0.8,1,0.3,0.4,0.9,1,0.4,0.4,1,1,1,1,1,0.4,0,0.6,0.6,1,1,0,0.4,1,1,1,0.8,1,1,0.1,0.7,0,0.4,0.9,0.2,0.2,0.4,1,0,0.7,1,0.4,0.7,0,0,0.2,1,1,0.8,0.9,0.2,1,0,1,0.1,1,1,1,0.3,1,0.7,0.8,0.9,0.6,1,0.3,0.7,1,0,0.9,1,1,0.4,1,0.3,0.1,0.9,0,1,0
qwencoder32b,QwenCoder,0.8,0,1,0.2,0.8,0,0.2,0.9,0.2,0.3,0.1,0.8,0.3,0.8,0.2,0.6,0.9,0.8,0,0,0.4,0.3,1,0,0.3,0.2,0,0.7,0.6,0.7,0.8,0.3,0.4,0.2,0.1,0.2,0,1,0.8,0.4,1,0.7,0.6,0.3,0.2,0.9,0.2,0.5,0.2,0,0.3,1,1,1,0,1,1,0,1,1,0,0,0.1,0.9,1,1,0.2,0,0.2,0,0.2,0.5,0,0.2,0.4,0.4,0,1,0,1,0.7,0.2,0.2,0.2,1,0.9,0.9,1,0.1,0.2,0.4,0.7,0,0.9,0.4,0,0,0,0,0,0,0.2,0,0,1,0.4,1,0,0,0,0.6,0,1,0,0,0.2,0.4,0,0.2,0.2,0.9,0.9,0.6,1,0.9,1,0.3,0.8,0.2,0.3,1,0,0.6,0.2,1,1,1,0,0.9,0.2,0.8,0.1,0,0.2,0.2,0.4,0.4,1,1,0,0.2,0.4,1,0.4,1,0.2,1,0.4,1,1,0,0.7,1,0.2,0,1,0.1,0.4,0,0.2,0.7,0,0.4,0.4,0.5,0.8,1,1,0.3,0,1,1,0,0.4,1,0,0,1,0.7,0.6,1,0,0,0.2,1,0.6,0.9,1,1,0.2,0.7,0,0.8,0.3,0.1,0,0,0.2,0.8,0.9,1,0,0.8,0,0,0,1,0.1,0.9,1,0.2,0.9,0,1,0,1,0.9,1,0.2,1,0.9,0.8,0.4,0.9,0.4,0,0.9,1,0,1,1,0,0.3,1,1,0.9,0.4,0,0,0
