Sub_Directory,Description_Type,LLM_GPT4o_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p04030,Description_Detailed,0.4,0.6,0.5,True,0.36701446771621704,0.13298553228378296,False,True,False,False,False
p04030,Description_Fewshot,0.0,0.1,0.05,False,0.6941214799880981,0.6441214799880981,False,False,True,False,False
p04030,Description_Reason,0.6,0.0,0.3,False,0.37185603380203247,0.07185603380203248,True,False,False,False,True
p04030,Description_Simple,0.0,0.1,0.05,False,0.6838432550430298,0.6338432550430297,False,False,True,False,False
p04030,Description_Vague,0.3,0.9,0.6,True,0.27634552121162415,0.32365447878837583,False,True,False,False,False
p03449,Description_Detailed,0.4,0.8,0.6000000000000001,True,0.4823206663131714,0.1176793336868287,False,True,False,False,False
p03449,Description_Fewshot,0.4,0.9,0.65,True,0.5351254940032959,0.11487450599670412,True,True,True,True,False
p03449,Description_Reason,0.0,0.2,0.1,False,0.5498179197311401,0.44981791973114016,False,False,True,False,False
p03449,Description_Simple,1.0,0.6,0.8,True,0.5451904535293579,0.25480954647064213,True,True,True,True,False
p03449,Description_Vague,0.9,0.0,0.45,False,0.49105072021484375,0.04105072021484374,True,False,False,False,True
p02571,Description_Detailed,0.0,0.0,0.0,False,0.30711501836776733,0.30711501836776733,True,False,False,False,True
p02571,Description_Fewshot,0.0,0.6,0.3,False,0.5173894166946411,0.21738941669464112,False,False,True,False,False
p02571,Description_Reason,1.0,0.6,0.8,True,0.3792012929916382,0.42079870700836186,False,True,False,False,False
p02571,Description_Simple,0.9,0.6,0.75,True,0.4652065336704254,0.2847934663295746,False,True,False,False,False
p02571,Description_Vague,0.9,0.1,0.5,True,0.45115339756011963,0.04884660243988037,False,True,False,False,False
p02388,Description_Detailed,1.0,0.9,0.95,True,0.6014312505722046,0.34856874942779537,True,True,True,True,False
p02388,Description_Fewshot,1.0,0.9,0.95,True,0.7619997262954712,0.18800027370452876,True,True,True,True,False
p02388,Description_Reason,1.0,0.6,0.8,True,0.7048754096031189,0.09512459039688115,True,True,True,True,False
p02388,Description_Simple,1.0,0.1,0.55,True,0.6557213068008423,0.10572130680084224,True,True,True,True,False
p02388,Description_Vague,0.4,0.3,0.35,False,0.6736162900924683,0.3236162900924683,False,False,True,False,False
p02993,Description_Detailed,1.0,0.9,0.95,True,0.29207587242126465,0.6579241275787353,False,True,False,False,False
p02993,Description_Fewshot,1.0,0.9,0.95,True,0.5020232200622559,0.4479767799377441,True,True,True,True,False
p02993,Description_Reason,1.0,0.0,0.5,True,0.4053593575954437,0.09464064240455627,False,True,False,False,False
p02993,Description_Simple,0.9,0.9,0.9,True,0.36111924052238464,0.5388807594776154,False,True,False,False,False
p02993,Description_Vague,0.9,0.6,0.75,True,0.24004843831062317,0.5099515616893768,False,True,False,False,False
p02951,Description_Detailed,0.4,0.9,0.65,True,0.1181006133556366,0.5318993866443634,False,True,False,False,False
p02951,Description_Fewshot,1.0,0.9,0.95,True,0.6178716421127319,0.332128357887268,True,True,True,True,False
p02951,Description_Reason,0.0,0.9,0.45,False,0.5225659608840942,0.07256596088409423,False,False,True,False,False
p02951,Description_Simple,1.0,0.9,0.95,True,0.21562954783439636,0.7343704521656036,False,True,False,False,False
p02951,Description_Vague,0.6,0.9,0.75,True,0.08789539337158203,0.662104606628418,False,True,False,False,False
p02578,Description_Detailed,1.0,0.9,0.95,True,0.20183244347572327,0.7481675565242767,False,True,False,False,False
p02578,Description_Fewshot,1.0,0.8,0.9,True,0.4631604552268982,0.43683954477310183,False,True,False,False,False
p02578,Description_Reason,1.0,0.9,0.95,True,0.4099307060241699,0.54006929397583,False,True,False,False,False
p02578,Description_Simple,1.0,0.9,0.95,True,0.43266552686691284,0.5173344731330871,False,True,False,False,False
p02578,Description_Vague,1.0,0.6,0.8,True,0.17879775166511536,0.6212022483348847,False,True,False,False,False
p03720,Description_Detailed,1.0,0.2,0.6,True,0.24780182540416718,0.3521981745958328,False,True,False,False,False
p03720,Description_Fewshot,1.0,0.6,0.8,True,0.41866517066955566,0.3813348293304444,False,True,False,False,False
p03720,Description_Reason,1.0,0.4,0.7,True,0.3289604187011719,0.3710395812988281,False,True,False,False,False
p03720,Description_Simple,1.0,0.9,0.95,True,0.388085275888443,0.561914724111557,False,True,False,False,False
p03720,Description_Vague,1.0,0.9,0.95,True,0.3154325783252716,0.6345674216747283,False,True,False,False,False
p02629,Description_Detailed,1.0,0.9,0.95,True,0.5125538110733032,0.43744618892669673,True,True,True,True,False
p02629,Description_Fewshot,1.0,0.6,0.8,True,0.548648476600647,0.25135152339935307,True,True,True,True,False
p02629,Description_Reason,1.0,0.0,0.5,True,0.4561472237110138,0.043852776288986206,False,True,False,False,False
p02629,Description_Simple,1.0,0.9,0.95,True,0.5798431038856506,0.3701568961143493,True,True,True,True,False
p02629,Description_Vague,1.0,0.9,0.95,True,0.5075971484184265,0.44240285158157344,True,True,True,True,False
p02860,Description_Detailed,1.0,0.9,0.95,True,0.4976098835468292,0.45239011645317073,False,True,False,False,False
p02860,Description_Fewshot,1.0,0.9,0.95,True,0.5579298734664917,0.39207012653350826,True,True,True,True,False
p02860,Description_Reason,1.0,0.1,0.55,True,0.4141310155391693,0.13586898446083073,False,True,False,False,False
p02860,Description_Simple,1.0,0.9,0.95,True,0.44884052872657776,0.5011594712734222,False,True,False,False,False
