Sub_Directory,Description_Type,LLM_GPT4o_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p03146,Description_Fewshot,0.9,0.9,0.9,True,0.46129870414733887,0.43870129585266116,False,True,False,False,False
p03146,Description_Reason,0.9,0.9,0.9,True,0.5122188925743103,0.3877811074256897,True,True,True,True,False
p03146,Description_Simple,0.0,0.1,0.05,False,0.44916069507598877,0.3991606950759888,True,False,False,False,True
p02622,Description_Fewshot,0.1,0.9,0.5,True,0.37664270401000977,0.12335729598999023,False,True,False,False,False
p02622,Description_Reason,0.8,0.1,0.45,False,0.4053328037261963,0.04466719627380372,True,False,False,False,True
p02622,Description_Simple,0.9,0.9,0.9,True,0.43402305245399475,0.46597694754600527,False,True,False,False,False
p02263,Description_Fewshot,0.8,0.8,0.8,True,0.8105611801147461,0.01056118011474605,True,True,True,True,False
p02263,Description_Reason,0.9,0.9,0.9,True,0.7667903304100037,0.13320966958999636,True,True,True,True,False
p02263,Description_Simple,0.9,0.9,0.9,True,0.8190158009529114,0.08098419904708865,True,True,True,True,False
p02707,Description_Fewshot,0.9,0.9,0.9,True,0.6633927226066589,0.2366072773933411,True,True,True,True,False
p02707,Description_Reason,0.9,0.9,0.9,True,0.41345906257629395,0.4865409374237061,False,True,False,False,False
p02707,Description_Simple,0.9,0.9,0.9,True,0.4819733202457428,0.4180266797542572,False,True,False,False,False
p03814,Description_Fewshot,0.9,0.9,0.9,True,0.6532261371612549,0.24677386283874514,True,True,True,True,False
p03814,Description_Reason,0.9,0.9,0.9,True,0.6320223808288574,0.2679776191711426,True,True,True,True,False
p03814,Description_Simple,0.9,0.9,0.9,True,0.5720735788345337,0.32792642116546633,True,True,True,True,False
p02981,Description_Fewshot,0.9,0.9,0.9,True,0.40729236602783203,0.492707633972168,False,True,False,False,False
p02981,Description_Reason,0.1,0.9,0.5,True,0.3385111689567566,0.1614888310432434,False,True,False,False,False
p02981,Description_Simple,0.1,0.9,0.5,True,0.32392609119415283,0.17607390880584717,False,True,False,False,False
p00003,Description_Fewshot,0.1,0.9,0.5,True,0.6106298565864563,0.1106298565864563,True,True,True,True,False
p00003,Description_Reason,0.9,0.9,0.9,True,0.7369893193244934,0.16301068067550661,True,True,True,True,False
p00003,Description_Simple,0.9,0.1,0.5,True,0.7581703066825867,0.25817030668258667,True,True,True,True,False
p02879,Description_Fewshot,0.0,0.9,0.45,False,0.4821082055568695,0.032108205556869496,True,False,False,False,True
p02879,Description_Reason,0.0,0.1,0.05,False,0.5025556087493896,0.45255560874938966,False,False,True,False,False
p02879,Description_Simple,0.9,0.0,0.45,False,0.4464825987815857,0.0035174012184143177,True,False,False,False,True
p02753,Description_Fewshot,0.9,0.0,0.45,False,0.5824112892150879,0.13241128921508788,False,False,True,False,False
p02753,Description_Reason,0.9,0.9,0.9,True,0.276264488697052,0.623735511302948,False,True,False,False,False
p02753,Description_Simple,0.9,0.0,0.45,False,0.46554601192474365,0.015546011924743641,True,False,False,False,True
p02847,Description_Fewshot,0.9,0.3,0.6,True,0.6224068403244019,0.022406840324401878,True,True,True,True,False
p02847,Description_Reason,0.9,0.9,0.9,True,0.6313519477844238,0.2686480522155762,True,True,True,True,False
p02847,Description_Simple,0.0,0.9,0.45,False,0.6317699551582336,0.18176995515823363,False,False,True,False,False
p02688,Description_Fewshot,0.9,0.9,0.9,True,0.5821292996406555,0.3178707003593445,True,True,True,True,False
p02688,Description_Reason,0.8,0.6,0.7,True,0.5715675354003906,0.12843246459960933,True,True,True,True,False
p02688,Description_Simple,0.6,0.9,0.75,True,0.3053939640522003,0.4446060359477997,False,True,False,False,False
p02699,Description_Fewshot,0.9,0.6,0.75,True,0.6469339728355408,0.10306602716445923,True,True,True,True,False
p02699,Description_Reason,0.9,0.6,0.75,True,0.6479394435882568,0.10206055641174316,True,True,True,True,False
p02699,Description_Simple,0.2,0.3,0.25,False,0.749981164932251,0.499981164932251,False,False,True,False,False
p02713,Description_Fewshot,0.9,0.9,0.9,True,0.7438008189201355,0.15619918107986452,True,True,True,True,False
p02713,Description_Reason,0.9,0.8,0.8500000000000001,True,0.7513312697410583,0.09866873025894174,True,True,True,True,False
p02713,Description_Simple,0.6,0.9,0.75,True,0.7740415334701538,0.02404153347015381,True,True,True,True,False
p03455,Description_Fewshot,0.9,0.9,0.9,True,0.8013497591018677,0.09865024089813235,True,True,True,True,False
p03455,Description_Reason,0.6,0.2,0.4,False,0.8028331995010376,0.4028331995010376,False,False,True,False,False
p03455,Description_Simple,0.6,0.2,0.4,False,0.8388510942459106,0.4388510942459106,False,False,True,False,False
