Sub_Directory,Description_Type,LLM_GPT4o_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p03146,Description_Detailed,0.9,0.9,0.9,True,0.4645700454711914,0.4354299545288086,False,True,False,False,False
p03146,Description_Fewshot,0.6,0.6,0.6,True,0.46926411986351013,0.13073588013648985,False,True,False,False,False
p03146,Description_Reason,0.9,0.9,0.9,True,0.4572959542274475,0.4427040457725525,False,True,False,False,False
p03146,Description_Simple,0.6,0.4,0.5,True,0.4376371502876282,0.062362849712371826,False,True,False,False,False
p03146,Description_Vague,0.8,0.9,0.8500000000000001,True,0.4464551508426666,0.40354484915733346,False,True,False,False,False
p02622,Description_Detailed,0.1,0.9,0.5,True,0.3890621066093445,0.11093789339065552,False,True,False,False,False
p02622,Description_Fewshot,0.9,0.9,0.9,True,0.4247669279575348,0.47523307204246523,False,True,False,False,False
p02622,Description_Reason,0.9,0.9,0.9,True,0.417166531085968,0.482833468914032,False,True,False,False,False
p02622,Description_Simple,0.9,0.9,0.9,True,0.4491496682167053,0.4508503317832947,False,True,False,False,False
p02622,Description_Vague,0.8,0.3,0.55,True,0.3657678961753845,0.18423210382461552,False,True,False,False,False
p02263,Description_Detailed,0.9,0.9,0.9,True,0.7801528573036194,0.11984714269638064,True,True,True,True,False
p02263,Description_Fewshot,0.9,0.8,0.8500000000000001,True,0.8074482679367065,0.042551732063293546,True,True,True,True,False
p02263,Description_Reason,0.9,0.9,0.9,True,0.7866004705429077,0.11339952945709231,True,True,True,True,False
p02263,Description_Simple,0.8,0.9,0.8500000000000001,True,0.7708892822265625,0.07911071777343759,True,True,True,True,False
p02263,Description_Vague,0.9,0.9,0.9,True,0.8203303813934326,0.0796696186065674,True,True,True,True,False
p02707,Description_Detailed,0.9,0.9,0.9,True,0.36585402488708496,0.5341459751129151,False,True,False,False,False
p02707,Description_Fewshot,0.9,0.9,0.9,True,0.3507382869720459,0.5492617130279541,False,True,False,False,False
p02707,Description_Reason,0.7,0.4,0.55,True,0.4163331091403961,0.13366689085960393,False,True,False,False,False
p02707,Description_Simple,0.9,0.9,0.9,True,0.46253007650375366,0.43746992349624636,False,True,False,False,False
p02707,Description_Vague,0.9,0.9,0.9,True,0.3966900706291199,0.5033099293708801,False,True,False,False,False
