model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,1,0.810811,0.863469,0.855596,0.816029,0.839851,0.863806,0.843462,0.86803,0.886827,0.840951,0.871087,0.869725,0.844607,0.852941
GPT-3.5,0.810811,1,0.803249,0.81932,0.809174,0.799263,0.822878,0.787004,0.78777,0.832423,0.794595,0.814079,0.80322,0.801444,0.777184
O4-mini,0.863469,0.803249,1,0.858182,0.801818,0.85283,0.870056,0.849442,0.84658,0.886194,0.833333,0.863469,0.869004,0.874766,0.862454
Gemini,0.855596,0.81932,0.858182,1,0.824593,0.838235,0.848263,0.858716,0.869485,0.847397,0.862888,0.872495,0.895221,0.873394,0.861314
Llama-70B,0.816029,0.809174,0.801818,0.824593,1,0.811215,0.801471,0.785455,0.792727,0.817851,0.783394,0.812727,0.811594,0.806569,0.821363
Mistral,0.839851,0.799263,0.85283,0.838235,0.811215,1,0.846008,0.822097,0.812616,0.848598,0.812963,0.864151,0.842007,0.826816,0.849057
DeepSeek-V3.1,0.863806,0.822878,0.870056,0.848263,0.801471,0.846008,1,0.825603,0.839851,0.862197,0.836735,0.84658,0.852126,0.840445,0.842007
DeepSeek-R1,0.843462,0.787004,0.849442,0.858716,0.785455,0.822097,0.825603,1,0.864407,0.841912,0.843866,0.86406,0.862709,0.87194,0.83549
DeepSeek-V4-Pro,0.86803,0.78777,0.84658,0.869485,0.792727,0.812616,0.839851,0.864407,1,0.839122,0.830882,0.882022,0.863216,0.87242,0.85316
QwenCoder,0.886827,0.832423,0.886194,0.847397,0.817851,0.848598,0.862197,0.841912,0.839122,1,0.836066,0.852459,0.861314,0.836364,0.851376
Qwen3.7,0.840951,0.794595,0.833333,0.862888,0.783394,0.812963,0.836735,0.843866,0.830882,0.836066,1,0.847706,0.87037,0.845018,0.839779
Claude-5,0.871087,0.814079,0.863469,0.872495,0.812727,0.864151,0.84658,0.86406,0.882022,0.852459,0.847706,1,0.8663,0.882463,0.880597
GLM-5,0.869725,0.80322,0.869004,0.895221,0.811594,0.842007,0.852126,0.862709,0.863216,0.861314,0.87037,0.8663,1,0.881041,0.879182
Kimi-K2.7,0.844607,0.801444,0.874766,0.873394,0.806569,0.826816,0.840445,0.87194,0.87242,0.836364,0.845018,0.882463,0.881041,1,0.867537
GPT-5,0.852941,0.777184,0.862454,0.861314,0.821363,0.849057,0.842007,0.83549,0.85316,0.851376,0.839779,0.880597,0.879182,0.867537,1
