model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,71.9512,79.878,78.5061,82.4695,79.4207,78.2012,78.811,78.2012,78.5061,77.439,80.7927,79.7256,81.8598,79.5732,78.2012
GPT-3.5,79.878,70.4268,81.5549,85.2134,78.9634,78.811,81.8598,81.25,81.0976,80.3354,82.9268,82.4695,83.689,81.8598,80.3354
O4-mini,78.5061,81.5549,72.8659,81.8598,80.1829,79.4207,79.1159,78.2012,78.9634,79.5732,79.2683,79.2683,81.4024,78.9634,78.3537
Gemini,82.4695,85.2134,81.8598,79.4207,83.2317,82.9268,83.5366,81.5549,83.2317,82.1646,82.622,81.8598,82.9268,81.8598,82.0122
Llama-70B,79.4207,78.9634,80.1829,83.2317,69.9695,78.0488,80.0305,79.5732,80.1829,78.2012,81.7073,80.4878,83.3841,80.9451,79.5732
Mistral,78.2012,78.811,79.4207,82.9268,78.0488,68.5976,78.811,79.2683,78.811,77.1341,80.0305,79.5732,82.3171,78.9634,78.3537
DeepSeek-V3.1,78.811,81.8598,79.1159,83.5366,80.0305,78.811,72.4085,79.4207,79.2683,79.1159,81.25,80.4878,82.3171,80.3354,79.5732
DeepSeek-R1,78.2012,81.25,78.2012,81.5549,79.5732,79.2683,79.4207,71.6463,79.2683,78.9634,78.9634,78.6585,80.3354,77.5915,77.2866
DeepSeek-V4-Pro,78.5061,81.0976,78.9634,83.2317,80.1829,78.811,79.2683,79.2683,73.0183,78.9634,81.0976,80.6402,82.4695,79.7256,79.4207
QwenCoder,77.439,80.3354,79.5732,82.1646,78.2012,77.1341,79.1159,78.9634,78.9634,71.3415,80.6402,79.5732,82.3171,79.4207,78.811
Qwen3.7,80.7927,82.9268,79.2683,82.622,81.7073,80.0305,81.25,78.9634,81.0976,80.6402,74.3902,80.1829,82.0122,79.5732,80.0305
Claude-5,79.7256,82.4695,79.2683,81.8598,80.4878,79.5732,80.4878,78.6585,80.6402,79.5732,80.1829,74.3902,81.4024,79.878,79.2683
GLM-5,81.8598,83.689,81.4024,82.9268,83.3841,82.3171,82.3171,80.3354,82.4695,82.3171,82.0122,81.4024,78.0488,81.4024,80.7927
Kimi-K2.7,79.5732,81.8598,78.9634,81.8598,80.9451,78.9634,80.3354,77.5915,79.7256,79.4207,79.5732,79.878,81.4024,73.1707,77.7439
GPT-5,78.2012,80.3354,78.3537,82.0122,79.5732,78.3537,79.5732,77.2866,79.4207,78.811,80.0305,79.2683,80.7927,77.7439,71.9512
