model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,1,0.817518,0.877095,0.854054,0.846154,0.851024,0.850554,0.847866,0.867537,0.906015,0.834545,0.857671,0.878229,0.849442,0.846296
GPT-3.5,0.817518,1,0.803636,0.79929,0.813528,0.807763,0.807692,0.781818,0.807339,0.821168,0.798913,0.791667,0.821818,0.809612,0.793419
O4-mini,0.877095,0.803636,1,0.860254,0.822142,0.843575,0.839779,0.850746,0.860075,0.87037,0.840659,0.874532,0.877778,0.876894,0.856075
Gemini,0.854054,0.79929,0.860254,1,0.827094,0.831522,0.85118,0.858716,0.84755,0.84767,0.872263,0.868373,0.878403,0.874074,0.843636
Llama-70B,0.846154,0.813528,0.822142,0.827094,1,0.816514,0.816364,0.787387,0.812727,0.836364,0.810811,0.833333,0.833635,0.828413,0.822018
Mistral,0.851024,0.807763,0.843575,0.831522,0.816514,1,0.837687,0.804428,0.83054,0.858209,0.825046,0.834572,0.831502,0.85389,0.829907
DeepSeek-V3.1,0.850554,0.807692,0.839779,0.85118,0.816364,0.837687,1,0.858757,0.843866,0.844037,0.845018,0.861682,0.885981,0.849906,0.839851
DeepSeek-R1,0.847866,0.781818,0.850746,0.858716,0.787387,0.804428,0.858757,1,0.827458,0.841328,0.825368,0.859023,0.862454,0.861217,0.850943
DeepSeek-V4-Pro,0.867537,0.807339,0.860075,0.84755,0.812727,0.83054,0.843866,0.827458,1,0.853974,0.827839,0.851024,0.864815,0.877863,0.853383
QwenCoder,0.906015,0.821168,0.87037,0.84767,0.836364,0.858209,0.844037,0.841328,0.853974,1,0.818345,0.857934,0.868132,0.849722,0.836397
Qwen3.7,0.834545,0.798913,0.840659,0.872263,0.810811,0.825046,0.845018,0.825368,0.827839,0.818345,1,0.852126,0.87963,0.857678,0.833948
Claude-5,0.857671,0.791667,0.874532,0.868373,0.833333,0.834572,0.861682,0.859023,0.851024,0.857934,0.852126,1,0.879182,0.871212,0.864407
GLM-5,0.878229,0.821818,0.877778,0.878403,0.833635,0.831502,0.885981,0.862454,0.864815,0.868132,0.87963,0.879182,1,0.874532,0.840367
Kimi-K2.7,0.849442,0.809612,0.876894,0.874074,0.828413,0.85389,0.849906,0.861217,0.877863,0.849722,0.857678,0.871212,0.874532,1,0.891892
GPT-5,0.846296,0.793419,0.856075,0.843636,0.822018,0.829907,0.839851,0.850943,0.853383,0.836397,0.833948,0.864407,0.840367,0.891892,1
