model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,0,15.2439,10.061,12.3476,12.8049,12.1951,12.3476,12.5,10.8232,7.62195,13.872,11.7378,10.061,12.3476,12.6524
GPT-3.5,15.2439,0,16.4634,17.2256,15.5488,15.8537,16.0061,18.2927,16.0061,14.939,16.9207,17.5305,14.939,15.7012,17.2256
O4-mini,10.061,16.4634,0,11.7378,14.939,12.8049,13.2622,12.1951,11.4329,10.6707,13.2622,10.2134,10.061,9.90854,11.7378
Gemini,12.3476,17.2256,11.7378,0,14.7866,14.1768,12.5,11.7378,12.8049,12.9573,10.6707,10.9756,10.2134,10.3659,13.1098
Llama-70B,12.8049,15.5488,14.939,14.7866,0,15.2439,15.3963,17.9878,15.7012,13.7195,16.0061,13.872,14.0244,14.1768,14.7866
Mistral,12.1951,15.8537,12.8049,14.1768,15.2439,0,13.2622,16.1585,13.872,11.5854,14.4817,13.5671,14.0244,11.7378,13.872
DeepSeek-V3.1,12.3476,16.0061,13.2622,12.5,15.3963,13.2622,0,11.4329,12.8049,12.9573,12.8049,11.2805,9.29878,12.1951,13.1098
DeepSeek-R1,12.5,18.2927,12.1951,11.7378,17.9878,16.1585,11.4329,0,14.1768,13.1098,14.4817,11.4329,11.2805,11.128,12.0427
DeepSeek-V4-Pro,10.8232,16.0061,11.4329,12.8049,15.7012,13.872,12.8049,14.1768,0,12.0427,14.3293,12.1951,11.128,9.7561,11.8902
QwenCoder,7.62195,14.939,10.6707,12.9573,13.7195,11.5854,12.9573,13.1098,12.0427,0,15.3963,11.7378,10.9756,12.3476,13.5671
Qwen3.7,13.872,16.9207,13.2622,10.6707,16.0061,14.4817,12.8049,14.4817,14.3293,15.3963,0,12.1951,9.90854,11.5854,13.7195
Claude-5,11.7378,17.5305,10.2134,10.9756,13.872,13.5671,11.2805,11.4329,12.1951,11.7378,12.1951,0,9.90854,10.3659,10.9756
GLM-5,10.061,14.939,10.061,10.2134,14.0244,14.0244,9.29878,11.2805,11.128,10.9756,9.90854,9.90854,0,10.2134,13.2622
Kimi-K2.7,12.3476,15.7012,9.90854,10.3659,14.1768,11.7378,12.1951,11.128,9.7561,12.3476,11.5854,10.3659,10.2134,0,8.53659
GPT-5,12.6524,17.2256,11.7378,13.1098,14.7866,13.872,13.1098,12.0427,11.8902,13.5671,13.7195,10.9756,13.2622,8.53659,0
