model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,0,24.2378,16.7683,19.8171,20.5793,24.5427,16.6159,19.6646,21.4939,21.4939,18.5976,18.75,20.122,20.122,19.3598
GPT-3.5,24.2378,0,25.1524,30.9451,20.7317,26.5244,26.2195,29.5732,29.878,22.561,28.811,28.0488,30.9451,28.2012,27.7439
O4-mini,16.7683,25.1524,0,15.2439,21.7988,27.2866,16.311,16.9207,21.4939,24.2378,14.6341,16.6159,17.0732,15.2439,17.8354
Gemini,19.8171,30.9451,15.2439,0,25.4573,30.6402,19.0549,19.6646,21.7988,29.7256,14.3293,15.0915,12.8049,16.7683,23.628
Llama-70B,20.5793,20.7317,21.7988,25.4573,0,23.4756,21.6463,24.3902,24.6951,18.5976,22.7134,24.3902,26.0671,26.9817,21.9512
Mistral,24.5427,26.5244,27.2866,30.6402,23.4756,0,24.3902,28.9634,27.439,22.561,27.5915,27.439,28.811,28.5061,25.3049
DeepSeek-V3.1,16.6159,26.2195,16.311,19.0549,21.6463,24.3902,0,21.9512,18.9024,23.7805,18.1402,16.4634,17.8354,18.4451,20.7317
DeepSeek-R1,19.6646,29.5732,16.9207,19.6646,24.3902,28.9634,21.9512,0,24.0854,25.6098,17.8354,19.8171,18.4451,17.5305,23.1707
DeepSeek-V4-Pro,21.4939,29.878,21.4939,21.7988,24.6951,27.439,18.9024,24.0854,0,26.2195,22.4085,17.9878,20.5793,22.4085,25
QwenCoder,21.4939,22.561,24.2378,29.7256,18.5976,22.561,23.7805,25.6098,26.2195,0,26.0671,26.8293,27.8963,25.7622,24.0854
Qwen3.7,18.5976,28.811,14.6341,14.3293,22.7134,27.5915,18.1402,17.8354,22.4085,26.0671,0,14.1768,13.7195,16.7683,17.8354
Claude-5,18.75,28.0488,16.6159,15.0915,24.3902,27.439,16.4634,19.8171,17.9878,26.8293,14.1768,0,14.4817,18.1402,21.0366
GLM-5,20.122,30.9451,17.0732,12.8049,26.0671,28.811,17.8354,18.4451,20.5793,27.8963,13.7195,14.4817,0,17.6829,23.0183
Kimi-K2.7,20.122,28.2012,15.2439,16.7683,26.9817,28.5061,18.4451,17.5305,22.4085,25.7622,16.7683,18.1402,17.6829,0,22.4085
GPT-5,19.3598,27.7439,17.8354,23.628,21.9512,25.3049,20.7317,23.1707,25,24.0854,17.8354,21.0366,23.0183,22.4085,0
