model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,65.8537,73.0183,75.7622,82.7744,72.7134,72.2561,74.6951,75.6098,75.4573,71.3415,77.7439,79.5732,80.4878,77.2866,73.4756
GPT-3.5,73.0183,55.9451,75,83.3841,67.8354,68.2927,74.5427,75.6098,74.6951,66.9207,77.8963,79.2683,80.9451,76.372,72.7134
O4-mini,75.7622,75,68.9024,82.0122,74.8476,75.1524,76.0671,75.7622,76.9817,74.2378,77.2866,80.0305,80.4878,76.372,74.2378
Gemini,82.7744,83.3841,82.0122,79.878,82.1646,82.3171,82.9268,82.622,82.622,82.4695,82.622,84.7561,83.8415,82.622,82.622
Llama-70B,72.7134,67.8354,74.8476,82.1646,58.9939,68.2927,73.7805,74.5427,73.628,66.4634,76.372,78.9634,80.0305,77.2866,71.3415
Mistral,72.2561,68.2927,75.1524,82.3171,68.2927,54.1159,72.7134,74.3902,72.561,66.0061,76.372,78.0488,78.9634,75.6098,70.5793
DeepSeek-V3.1,74.6951,74.5427,76.0671,82.9268,73.7805,72.7134,66.9207,77.2866,74.6951,73.0183,78.0488,78.9634,79.878,76.9817,74.6951
DeepSeek-R1,75.6098,75.6098,75.7622,82.622,74.5427,74.3902,77.2866,65.7012,76.6768,73.3232,77.2866,80.0305,79.5732,75.9146,75.3049
DeepSeek-V4-Pro,75.4573,74.6951,76.9817,82.622,73.628,72.561,74.6951,76.6768,63.5671,72.561,78.5061,78.0488,79.5732,77.2866,75.1524
QwenCoder,71.3415,66.9207,74.2378,82.4695,66.4634,66.0061,73.0183,73.3232,72.561,55.3354,76.2195,78.3537,79.1159,74.8476,70.5793
Qwen3.7,77.7439,77.8963,77.2866,82.622,76.372,76.372,78.0488,77.2866,78.5061,76.2195,71.0366,79.878,79.878,78.2012,75.3049
Claude-5,79.5732,79.2683,80.0305,84.7561,78.9634,78.0488,78.9634,80.0305,78.0488,78.3537,79.878,74.5427,82.0122,80.6402,78.6585
GLM-5,80.4878,80.9451,80.4878,83.8415,80.0305,78.9634,79.878,79.5732,79.5732,79.1159,79.878,82.0122,75,80.6402,79.878
Kimi-K2.7,77.2866,76.372,76.372,82.622,77.2866,75.6098,76.9817,75.9146,77.2866,74.8476,78.2012,80.6402,80.6402,68.5976,76.372
GPT-5,73.4756,72.7134,74.2378,82.622,71.3415,70.5793,74.6951,75.3049,75.1524,70.5793,75.3049,78.6585,79.878,76.372,61.7378
