model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,0,17.378,12.1951,13.5671,16.9207,15.8537,13.2622,12.8049,12.0427,11.5854,15.2439,13.1098,13.7195,14.0244,12.5
GPT-3.5,17.378,0,19.8171,20.5793,17.5305,18.5976,20.8841,20.4268,18.75,18.9024,21.0366,20.122,18.9024,20.122,18.2927
O4-mini,12.1951,19.8171,0,11.4329,17.5305,17.378,12.9573,11.8902,12.0427,14.939,11.2805,11.2805,11.8902,11.8902,11.8902
Gemini,13.5671,20.5793,11.4329,0,17.0732,17.8354,15.2439,12.0427,14.0244,13.5671,11.4329,9.90854,8.38415,11.128,12.6524
Llama-70B,16.9207,17.5305,17.5305,17.0732,0,17.5305,17.6829,17.5305,17.378,15.0915,19.0549,16.6159,18.75,18.75,17.2256
Mistral,15.8537,18.5976,17.378,17.8354,17.5305,0,16.6159,18.2927,16.0061,14.3293,17.0732,16.1585,17.9878,16.1585,16.1585
DeepSeek-V3.1,13.2622,20.8841,12.9573,15.2439,17.6829,16.6159,0,14.7866,13.1098,14.4817,15.7012,14.1768,14.1768,15.0915,14.7866
DeepSeek-R1,12.8049,20.4268,11.8902,12.0427,17.5305,18.2927,14.7866,0,13.872,14.939,11.8902,11.2805,10.9756,10.3659,10.9756
DeepSeek-V4-Pro,12.0427,18.75,12.0427,14.0244,17.378,16.0061,13.1098,13.872,0,13.5671,14.7866,13.872,13.872,13.2622,13.872
QwenCoder,11.5854,18.9024,14.939,13.5671,15.0915,14.3293,14.4817,14.939,13.5671,0,15.5488,13.4146,15.2439,14.3293,14.3293
Qwen3.7,15.2439,21.0366,11.2805,11.4329,19.0549,17.0732,15.7012,11.8902,14.7866,15.5488,0,11.5854,11.5854,11.5854,13.7195
Claude-5,13.1098,20.122,11.2805,9.90854,16.6159,16.1585,14.1768,11.2805,13.872,13.4146,11.5854,0,10.3659,12.1951,12.1951
GLM-5,13.7195,18.9024,11.8902,8.38415,18.75,17.9878,14.1768,10.9756,13.872,15.2439,11.5854,10.3659,0,11.5854,11.5854
Kimi-K2.7,14.0244,20.122,11.8902,11.128,18.75,16.1585,15.0915,10.3659,13.2622,14.3293,11.5854,12.1951,11.5854,0,10.3659
GPT-5,12.5,18.2927,11.8902,12.6524,17.2256,16.1585,14.7866,10.9756,13.872,14.3293,13.7195,12.1951,11.5854,10.3659,0
