rank,model1,model2,model1_key,model2_key,n_valid,union_pct,both_pct,only1_pct,only2_pct,single1_pct,single2_pct,both,only1,only2
1,QwenCoder,Claude-5,qwencoder32b,claude_sonnet_5,656,85.9756,70.1220,5.7927,10.0610,75.9146,80.1829,460,38,66
2,GPT-3.5,Claude-5,gpt35,claude_sonnet_5,656,85.6707,66.0061,5.4878,14.1768,71.4939,80.1829,433,36,93
3,Gemini,Claude-5,gemini,claude_sonnet_5,656,85.6707,74.3902,5.4878,5.7927,79.8780,80.1829,488,36,38
4,Qwen3.7,Claude-5,qwen37_plus,claude_sonnet_5,656,85.5183,71.0366,5.3354,9.1463,76.3720,80.1829,466,35,60
5,GPT-3.5,Gemini,gpt35,gemini,656,85.3659,66.0061,5.4878,13.8720,71.4939,79.8780,433,36,91
6,Gemini,QwenCoder,gemini,qwencoder32b,656,85.0610,70.7317,9.1463,5.1829,79.8780,75.9146,464,60,34
7,Llama-70B,Claude-5,llama70b,claude_sonnet_5,656,85.0610,67.8354,4.8780,12.3476,72.7134,80.1829,445,32,81
8,GPT-3.5,Qwen3.7,gpt35,qwen37_plus,656,84.9085,62.9573,8.5366,13.4146,71.4939,76.3720,413,56,88
9,Gemini,Llama-70B,gemini,llama70b,656,84.7561,67.8354,12.0427,4.8780,79.8780,72.7134,445,79,32
10,QwenCoder,Qwen3.7,qwencoder32b,qwen37_plus,656,84.6037,67.6829,8.2317,8.6890,75.9146,76.3720,444,54,57
11,Claude-5,GLM-5,claude_sonnet_5,glm5,656,84.6037,73.4756,6.7073,4.4207,80.1829,77.8963,482,44,29
12,DeepSeek-V3.1,Claude-5,deepseek_v31,claude_sonnet_5,656,84.2988,70.4268,4.1159,9.7561,74.5427,80.1829,462,27,64
13,GPT-4o,Claude-5,gpt4o,claude_sonnet_5,656,84.1463,71.0366,3.9634,9.1463,75.0000,80.1829,466,26,60
