model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,1,0.782443,0.84466,0.83549,0.786948,0.797271,0.831721,0.836257,0.846602,0.850394,0.811321,0.835564,0.832402,0.823755,0.840156
GPT-3.5,0.782443,1,0.757009,0.758497,0.777992,0.764023,0.744879,0.748593,0.768797,0.764706,0.746324,0.756007,0.774135,0.75419,0.772296
O4-mini,0.84466,0.757009,1,0.860335,0.781369,0.78119,0.836224,0.847953,0.84749,0.812261,0.857692,0.857692,0.853933,0.849421,0.848249
Gemini,0.83549,0.758497,0.860335,1,0.794872,0.784926,0.817518,0.852336,0.831502,0.834879,0.861624,0.878957,0.898897,0.86406,0.845725
Llama-70B,0.786948,0.777992,0.781369,0.794872,1,0.775391,0.779048,0.779693,0.78327,0.807018,0.766791,0.793561,0.775137,0.768362,0.783525
Mistral,0.797271,0.764023,0.78119,0.784926,0.775391,1,0.789168,0.769231,0.796905,0.814229,0.786667,0.796935,0.781481,0.795367,0.793774
DeepSeek-V3.1,0.831721,0.744879,0.836224,0.817518,0.779048,0.789168,1,0.81382,0.834615,0.816956,0.806754,0.823864,0.827778,0.812144,0.814176
DeepSeek-R1,0.836257,0.748593,0.847953,0.852336,0.779693,0.769231,0.81382,1,0.825,0.810811,0.849421,0.856589,0.863378,0.866405,0.857988
DeepSeek-V4-Pro,0.846602,0.768797,0.84749,0.831502,0.78327,0.796905,0.834615,0.825,1,0.828185,0.817669,0.827977,0.831793,0.833652,0.825336
QwenCoder,0.850394,0.764706,0.812261,0.834879,0.807018,0.814229,0.816956,0.810811,0.828185,1,0.807183,0.831418,0.814815,0.819578,0.818182
Qwen3.7,0.811321,0.746324,0.857692,0.861624,0.766791,0.786667,0.806754,0.849421,0.817669,0.807183,1,0.855513,0.858736,0.854406,0.828571
Claude-5,0.835564,0.756007,0.857692,0.878957,0.793561,0.796935,0.823864,0.856589,0.827977,0.831418,0.855513,1,0.872659,0.847328,0.846154
GLM-5,0.832402,0.774135,0.853933,0.898897,0.775137,0.781481,0.827778,0.863378,0.831793,0.814815,0.858736,0.872659,1,0.857678,0.856604
Kimi-K2.7,0.823755,0.75419,0.849421,0.86406,0.768362,0.795367,0.812144,0.866405,0.833652,0.819578,0.854406,0.847328,0.857678,1,0.866667
GPT-5,0.840156,0.772296,0.848249,0.845725,0.783525,0.793774,0.814176,0.857988,0.825336,0.818182,0.828571,0.846154,0.856604,0.866667,1
