model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,1,0.668058,0.778672,0.760589,0.716981,0.660338,0.777551,0.739919,0.715152,0.698718,0.760784,0.764368,0.75,0.739645,0.736515
GPT-3.5,0.668058,1,0.664634,0.628885,0.694382,0.611607,0.648262,0.608871,0.6,0.66287,0.630137,0.646154,0.617702,0.630739,0.618449
O4-mini,0.778672,0.664634,1,0.814126,0.708758,0.636917,0.785571,0.77666,0.720792,0.673511,0.810651,0.792381,0.787879,0.800399,0.759754
Gemini,0.760589,0.628885,0.814126,1,0.690167,0.627778,0.770221,0.761993,0.736162,0.639556,0.826568,0.821942,0.847273,0.797048,0.714022
Llama-70B,0.716981,0.694382,0.708758,0.690167,1,0.65625,0.706612,0.672802,0.664596,0.720183,0.702595,0.69112,0.674286,0.650888,0.692308
Mistral,0.660338,0.611607,0.636917,0.627778,0.65625,1,0.66457,0.610656,0.621849,0.658199,0.638723,0.648438,0.635135,0.622984,0.641469
DeepSeek-V3.1,0.777551,0.648262,0.785571,0.770221,0.706612,0.66457,1,0.715976,0.746939,0.674322,0.767578,0.791506,0.776718,0.760396,0.722449
DeepSeek-R1,0.739919,0.608871,0.77666,0.761993,0.672802,0.610656,0.715976,1,0.685885,0.650728,0.769231,0.752381,0.768199,0.769076,0.692308
DeepSeek-V4-Pro,0.715152,0.6,0.720792,0.736162,0.664596,0.621849,0.746939,0.685885,1,0.638655,0.714563,0.769531,0.741379,0.710059,0.667343
QwenCoder,0.698718,0.66287,0.673511,0.639556,0.720183,0.658199,0.674322,0.650728,0.638655,1,0.658,0.657588,0.647399,0.655804,0.658747
Qwen3.7,0.760784,0.630137,0.810651,0.826568,0.702595,0.638723,0.767578,0.769231,0.714563,0.658,1,0.822519,0.828244,0.785575,0.763158
Claude-5,0.764368,0.646154,0.792381,0.821942,0.69112,0.648438,0.791506,0.752381,0.769531,0.657588,0.822519,1,0.82342,0.775047,0.732558
GLM-5,0.75,0.617702,0.787879,0.847273,0.674286,0.635135,0.776718,0.768199,0.741379,0.647399,0.828244,0.82342,1,0.780718,0.711832
Kimi-K2.7,0.739645,0.630739,0.800399,0.797048,0.650888,0.622984,0.760396,0.769076,0.710059,0.655804,0.785575,0.775047,0.780718,1,0.706587
GPT-5,0.736515,0.618449,0.759754,0.714022,0.692308,0.641469,0.722449,0.692308,0.667343,0.658747,0.763158,0.732558,0.711832,0.706587,1
