rank,model1,model2,model1_key,model2_key,n_valid,union_pct,both_pct,only1_pct,only2_pct,single1_pct,single2_pct,both,only1,only2
1,Gemini,Claude-5,gemini,claude_sonnet_5,656,84.7561,69.6646,10.2134,4.8780,79.8780,74.5427,457,67,32
2,Gemini,GLM-5,gemini,glm5,656,83.8415,71.0366,8.8415,3.9634,79.8780,75.0000,466,58,26
3,GPT-3.5,Gemini,gpt35,gemini,656,83.3841,52.4390,3.5061,27.4390,55.9451,79.8780,344,23,180
4,Gemini,DeepSeek-V3.1,gemini,deepseek_v31,656,82.9268,63.8720,16.0061,3.0488,79.8780,66.9207,419,105,20
5,GPT-4o,Gemini,gpt4o,gemini,656,82.7744,62.9573,2.8963,16.9207,65.8537,79.8780,413,19,111
6,Gemini,DeepSeek-R1,gemini,deepseek_r1,656,82.6220,62.9573,16.9207,2.7439,79.8780,65.7012,413,111,18
7,Gemini,DeepSeek-V4-Pro,gemini,deepseek_v4_pro,656,82.6220,60.8232,19.0549,2.7439,79.8780,63.5671,399,125,18
8,Gemini,Qwen3.7,gemini,qwen37_plus,656,82.6220,68.2927,11.5854,2.7439,79.8780,71.0366,448,76,18
9,Gemini,Kimi-K2.7,gemini,kimi_k25,656,82.6220,65.8537,14.0244,2.7439,79.8780,68.5976,432,92,18
10,Gemini,GPT-5,gemini,gpt5,656,82.6220,58.9939,20.8841,2.7439,79.8780,61.7378,387,137,18
11,Gemini,QwenCoder,gemini,qwencoder32b,656,82.4695,52.7439,27.1341,2.5915,79.8780,55.3354,346,178,17
12,Gemini,Mistral,gemini,mistral,656,82.3171,51.6768,28.2012,2.4390,79.8780,54.1159,339,185,16
13,Gemini,Llama-70B,gemini,llama70b,656,82.1646,56.7073,23.1707,2.2866,79.8780,58.9939,372,152,15
