model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,75,81.25,80.6402,83.2317,82.3171,80.6402,81.0976,81.5549,81.4024,80.7927,83.689,84.1463,81.7073,80.3354,80.9451
GPT-3.5,81.25,71.4939,82.3171,85.3659,80.7927,81.0976,81.25,82.9268,82.3171,81.0976,84.9085,85.6707,84.1463,82.4695,82.7744
O4-mini,80.6402,82.3171,75.1524,82.622,82.4695,81.0976,81.7073,80.3354,81.25,82.7744,82.4695,83.5366,82.1646,80.0305,80.7927
Gemini,83.2317,85.3659,82.622,79.878,84.7561,82.9268,83.5366,83.3841,83.8415,85.061,83.9939,85.6707,83.9939,82.4695,83.5366
Llama-70B,82.3171,80.7927,82.4695,84.7561,72.7134,80.6402,81.5549,82.622,82.0122,81.25,83.8415,85.061,83.0793,81.8598,82.3171
Mistral,80.6402,81.0976,81.0976,82.9268,80.6402,72.561,80.0305,81.0976,80.1829,81.5549,82.9268,83.689,82.0122,80.7927,82.0122
DeepSeek-V3.1,81.0976,81.25,81.7073,83.5366,81.5549,80.0305,74.5427,80.7927,80.6402,82.3171,82.1646,84.2988,81.0976,80.6402,81.8598
DeepSeek-R1,81.5549,82.9268,80.3354,83.3841,82.622,81.0976,80.7927,74.0854,81.0976,83.689,82.0122,83.0793,82.1646,80.3354,81.4024
DeepSeek-V4-Pro,81.4024,82.3171,81.25,83.8415,82.0122,80.1829,80.6402,81.0976,73.3232,82.7744,82.9268,84.1463,82.4695,80.7927,81.7073
QwenCoder,80.7927,81.0976,82.7744,85.061,81.25,81.5549,82.3171,83.689,82.7744,75.9146,84.6037,85.9756,84.1463,81.5549,82.4695
Qwen3.7,83.689,84.9085,82.4695,83.9939,83.8415,82.9268,82.1646,82.0122,82.9268,84.6037,76.372,85.5183,83.5366,81.8598,83.0793
Claude-5,84.1463,85.6707,83.5366,85.6707,85.061,83.689,84.2988,83.0793,84.1463,85.9756,85.5183,80.1829,84.6037,84.1463,83.8415
GLM-5,81.7073,84.1463,82.1646,83.9939,83.0793,82.0122,81.0976,82.1646,82.4695,84.1463,83.5366,84.6037,77.8963,80.6402,82.4695
Kimi-K2.7,80.3354,82.4695,80.0305,82.4695,81.8598,80.7927,80.6402,80.3354,80.7927,81.5549,81.8598,84.1463,80.6402,74.3902,80.0305
GPT-5,80.9451,82.7744,80.7927,83.5366,82.3171,82.0122,81.8598,81.4024,81.7073,82.4695,83.0793,83.8415,82.4695,80.0305,74.2378
