model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,77.439,84.6037,82.622,84.4512,83.689,81.8598,81.7073,82.7744,82.0122,82.1646,83.3841,82.7744,83.2061,83.3841,82.9268
GPT-3.5,84.6037,75.7622,84.4512,85.2134,83.0793,82.7744,82.622,84.4512,84.7561,83.689,84.6037,84.4512,85.3435,84.4512,85.5183
O4-mini,82.622,84.4512,76.5244,83.8415,83.8415,80.7927,80.9451,82.0122,82.4695,81.7073,83.2317,82.622,82.7481,81.5549,82.0122
Gemini,84.4512,85.2134,83.8415,79.2683,84.2988,82.9268,83.3841,83.0793,82.9268,84.9085,83.3841,83.689,83.0534,83.0793,83.5366
Llama-70B,83.689,83.0793,83.8415,84.2988,74.5427,81.5549,82.9268,83.8415,83.8415,83.689,84.4512,83.8415,84.2748,83.5366,82.7744
Mistral,81.8598,82.7744,80.7927,82.9268,81.5549,73.1707,80.1829,81.4024,82.1646,81.5549,82.3171,80.7927,82.1374,81.8598,80.7927
DeepSeek-V3.1,81.7073,82.622,80.9451,83.3841,82.9268,80.1829,74.8476,82.1646,81.8598,81.8598,82.1646,82.4695,82.5954,82.1646,82.0122
DeepSeek-R1,82.7744,84.4512,82.0122,83.0793,83.8415,81.4024,82.1646,75.1524,80.9451,82.9268,82.0122,81.8598,82.2901,80.9451,82.4695
DeepSeek-V4-Pro,82.0122,84.7561,82.4695,82.9268,83.8415,82.1646,81.8598,80.9451,75.7622,83.3841,82.9268,81.4024,82.5954,81.25,82.0122
QwenCoder,82.1646,83.689,81.7073,84.9085,83.689,81.5549,81.8598,82.9268,83.3841,77.5915,83.689,83.689,83.6641,83.8415,83.0793
Qwen3.7,83.3841,84.6037,83.2317,83.3841,84.4512,82.3171,82.1646,82.0122,82.9268,83.689,76.0671,83.0793,82.4427,82.622,82.7744
Claude-5,82.7744,84.4512,82.622,83.689,83.8415,80.7927,82.4695,81.8598,81.4024,83.689,83.0793,77.439,83.3588,81.7073,81.7073
GLM-5,83.2061,85.3435,82.7481,83.0534,84.2748,82.1374,82.5954,82.2901,82.5954,83.6641,82.4427,83.3588,78.0153,82.1374,82.1374
Kimi-K2.7,83.3841,84.4512,81.5549,83.0793,83.5366,81.8598,82.1646,80.9451,81.25,83.8415,82.622,81.7073,82.1374,76.372,81.7073
GPT-5,82.9268,85.5183,82.0122,83.5366,82.7744,80.7927,82.0122,82.4695,82.0122,83.0793,82.7744,81.7073,82.1374,81.7073,76.2195
