,DeepseekV3.1,GPT3.5,GPT4o,Gemini,LlamaVL,O4-mini,Qwen3VL,codellama,deepseek-r1,mistral,qwencoder32B,starchat,starcoder,Llama70B
DeepseekV3.1,1.0,0.788,0.992,0.996,0.004,0.98,0.40816326530612246,0.040160642570281124,1.0,0.744,0.96,0.368,0.008,0.724
GPT3.5,0.788,1.0,0.7871485943775101,0.7911646586345381,0.005076142131979695,0.7894736842105263,0.4504950495049505,0.05102040816326531,0.788,0.7252252252252253,0.7692307692307693,0.3632075471698113,0.005050505050505051,0.68
GPT4o,0.992,0.7871485943775101,1.0,0.988,0.004032258064516129,0.972,0.4057377049180328,0.04048582995951417,0.992,0.75,0.952,0.3709677419354839,0.008064516129032258,0.716
Gemini,0.996,0.7911646586345381,0.988,1.0,0.004016064257028112,0.976,0.4098360655737705,0.04032258064516129,0.996,0.74,0.956,0.36947791164658633,0.008032128514056224,0.72
LlamaVL,0.004,0.005076142131979695,0.004032258064516129,0.004016064257028112,1.0,0.004081632653061225,0.01,0.1,0.004,0.005376344086021506,0.004166666666666667,0.010869565217391304,0.0,0.0055248618784530384
O4-mini,0.98,0.7894736842105263,0.972,0.976,0.004081632653061225,1.0,0.4149377593360996,0.040983606557377046,0.98,0.7379032258064516,0.9477911646586346,0.3643724696356275,0.00816326530612245,0.7246963562753036
Qwen3VL,0.40816326530612246,0.4504950495049505,0.4057377049180328,0.4098360655737705,0.01,0.4149377593360996,1.0,0.047619047619047616,0.40816326530612246,0.4221105527638191,0.3958333333333333,0.2751677852348993,0.0,0.4256410256410256
codellama,0.040160642570281124,0.05102040816326531,0.04048582995951417,0.04032258064516129,0.1,0.040983606557377046,0.047619047619047616,1.0,0.040160642570281124,0.0481283422459893,0.04184100418410042,0.030303030303030304,0.09090909090909091,0.03804347826086957
deepseek-r1,1.0,0.788,0.992,0.996,0.004,0.98,0.40816326530612246,0.040160642570281124,1.0,0.744,0.96,0.368,0.008,0.724
mistral,0.744,0.7252252252252253,0.75,0.74,0.005376344086021506,0.7379032258064516,0.4221105527638191,0.0481283422459893,0.744,1.0,0.7317073170731707,0.35609756097560974,0.0053475935828877,0.6238938053097345
qwencoder32B,0.96,0.7692307692307693,0.952,0.956,0.004166666666666667,0.9477911646586346,0.3958333333333333,0.04184100418410042,0.96,0.7317073170731707,1.0,0.3662551440329218,0.008333333333333333,0.7183673469387755
starchat,0.368,0.3632075471698113,0.3709677419354839,0.36947791164658633,0.010869565217391304,0.3643724696356275,0.2751677852348993,0.030303030303030304,0.368,0.35609756097560974,0.3662551440329218,1.0,0.010752688172043012,0.3448275862068966
starcoder,0.008,0.005050505050505051,0.008064516129032258,0.008032128514056224,0.0,0.00816326530612245,0.0,0.09090909090909091,0.008,0.0053475935828877,0.008333333333333333,0.010752688172043012,1.0,0.011049723756906077
Llama70B,0.724,0.68,0.716,0.72,0.0055248618784530384,0.7246963562753036,0.4256410256410256,0.03804347826086957,0.724,0.6238938053097345,0.7183673469387755,0.3448275862068966,0.011049723756906077,1.0
