,DeepseekV3.1,GPT3.5,GPT4o,Gemini,LlamaVL,O4-mini,Qwen3VL,codellama,deepseek-r1,mistral,qwencoder32B,starchat,starcoder,Llama70B
DeepseekV3.1,95.6,98.0,100.0,99.6,95.6,99.2,96.73469387755102,95.6,100.0,98.0,98.8,96.39999999999999,95.58232931726907,97.6
GPT3.5,98.0,72.8,98.4,98.4,72.8,98.8,76.32653061224491,73.6,100.0,85.2,96.0,78.4,72.69076305220884,84.39999999999999
GPT4o,100.0,98.4,96.39999999999999,99.6,96.39999999999999,100.0,97.14285714285714,96.39999999999999,99.6,98.4,98.8,96.8,96.78714859437751,98.4
Gemini,99.6,98.4,99.6,92.4,92.4,99.2,95.10204081632652,92.4,99.2,96.39999999999999,98.8,94.8,92.3694779116466,96.39999999999999
LlamaVL,95.6,72.8,96.39999999999999,92.4,0.4,98.0,24.897959183673468,6.0,98.4,66.4,93.60000000000001,31.2,1.2048192771084338,63.6
O4-mini,99.2,98.8,100.0,99.2,98.0,98.0,97.95918367346938,98.0,100.0,99.2,99.6,98.0,97.99196787148594,98.8
Qwen3VL,96.73469387755102,76.32653061224491,97.14285714285714,95.10204081632652,24.897959183673468,97.95918367346938,24.489795918367346,28.57142857142857,99.59183673469387,73.87755102040816,93.87755102040816,46.53061224489796,24.59016393442623,71.0204081632653
codellama,95.6,73.6,96.39999999999999,92.4,6.0,98.0,28.57142857142857,5.6000000000000005,98.4,68.8,93.60000000000001,34.8,6.425702811244979,64.4
deepseek-r1,100.0,100.0,99.6,99.2,98.4,100.0,99.59183673469387,98.4,98.4,98.4,99.2,98.8,98.39357429718876,99.2
mistral,98.0,85.2,98.4,96.39999999999999,66.4,99.2,73.87755102040816,68.8,98.4,66.4,97.2,73.2,66.66666666666666,84.0
qwencoder32B,98.8,96.0,98.8,98.8,93.60000000000001,99.6,93.87755102040816,93.60000000000001,99.2,97.2,93.60000000000001,95.6,93.57429718875501,96.0
starchat,96.39999999999999,78.4,96.8,94.8,31.2,98.0,46.53061224489796,34.8,98.8,73.2,95.6,30.8,31.72690763052209,74.0
starcoder,95.58232931726907,72.69076305220884,96.78714859437751,92.3694779116466,1.2048192771084338,97.99196787148594,24.59016393442623,6.425702811244979,98.39357429718876,66.66666666666666,93.57429718875501,31.72690763052209,0.8032128514056224,63.45381526104418
Llama70B,97.6,84.39999999999999,98.4,96.39999999999999,63.6,98.8,71.0204081632653,64.4,99.2,84.0,96.0,74.0,63.45381526104418,63.6
