Sub_Directory,Description_Type,LLM_GPT4o_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02994,Description_Detailed,0.0,0.9,0.45,False,0.26834094524383545,0.18165905475616456,True,False,False,False,True
p02994,Description_Fewshot,0.1,0.1,0.1,False,0.49555450677871704,0.39555450677871706,True,False,False,False,True
p02994,Description_Reason,0.1,0.1,0.1,False,0.35347437858581543,0.25347437858581545,True,False,False,False,True
p02994,Description_Simple,0.0,0.0,0.0,False,0.4337320923805237,0.4337320923805237,True,False,False,False,True
p02994,Description_Vague,0.2,0.2,0.2,False,0.3512290120124817,0.15122901201248168,True,False,False,False,True
p02922,Description_Detailed,0.1,0.6,0.35,False,0.3623660206794739,0.0123660206794739,True,False,False,False,True
p02922,Description_Fewshot,0.9,0.1,0.5,True,0.537054181098938,0.03705418109893799,True,True,True,True,False
p02922,Description_Reason,0.0,0.5,0.25,False,0.29728686809539795,0.04728686809539795,True,False,False,False,True
p02922,Description_Simple,0.1,0.1,0.1,False,0.45035240054130554,0.35035240054130556,True,False,False,False,True
p02922,Description_Vague,0.1,0.0,0.05,False,0.37280839681625366,0.3228083968162537,True,False,False,False,True
p02414,Description_Detailed,0.9,0.1,0.5,True,0.4507913589477539,0.049208641052246094,False,True,False,False,False
p02414,Description_Fewshot,0.2,0.1,0.15000000000000002,False,0.5348707437515259,0.38487074375152586,False,False,True,False,False
p02414,Description_Reason,0.0,0.0,0.0,False,0.5361387133598328,0.5361387133598328,False,False,True,False,False
p02414,Description_Simple,0.1,0.0,0.05,False,0.5032974481582642,0.45329744815826417,False,False,True,False,False
p02414,Description_Vague,0.0,0.0,0.0,False,0.41780605912208557,0.41780605912208557,True,False,False,False,True
p03854,Description_Detailed,0.0,0.2,0.1,False,0.2292904555797577,0.12929045557975768,True,False,False,False,True
p03854,Description_Fewshot,0.2,0.0,0.1,False,0.3255372941493988,0.2255372941493988,True,False,False,False,True
p03854,Description_Reason,0.0,0.0,0.0,False,0.26529812812805176,0.26529812812805176,True,False,False,False,True
p03854,Description_Simple,0.0,0.1,0.05,False,0.2700609862804413,0.2200609862804413,True,False,False,False,True
p03854,Description_Vague,0.2,0.0,0.1,False,0.14997498691082,0.04997498691082,True,False,False,False,True
