model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,39.6,40,80.8,51.6,41.6,43.2,66.4,78.8,66,47.6,75.6,72,85.6,82,45.2
GPT-3.5,40,8,76,26.8,16.8,24,57.2,72.8,58.8,32,71.6,63.6,84,78.4,30
O4-mini,80.8,76,76,78.4,76.8,77.2,83.6,85.2,82,78.8,83.2,83.6,88,85.2,78
Gemini,51.6,26.8,78.4,20.8,30.4,37.2,64.4,76.4,64.4,46,76,68.4,86.4,80,42.4
Llama-70B,41.6,16.8,76.8,30.4,14,26.4,59.2,74,60,34.8,72.4,64.8,84.4,79.6,32.4
Mistral,43.2,24,77.2,37.2,26.4,22,58.8,72.8,60,36,72.8,66,84,79.2,34
DeepSeek-V3.1,66.4,57.2,83.6,64.4,59.2,58.8,56.8,76.8,70.8,62,78.8,73.2,86.4,82.4,60
DeepSeek-R1,78.8,72.8,85.2,76.4,74,72.8,76.8,72.4,78,75.2,83.6,82.4,86.8,84.8,75.2
DeepSeek-V4-Pro,66,58.8,82,64.4,60,60,70.8,78,58.4,63.6,79.6,77.2,87.2,83.2,60
QwenCoder,47.6,32,78.8,46,34.8,36,62,75.2,63.6,32,74,68,85.2,81.6,41.2
Qwen3.7,75.6,71.6,83.2,76,72.4,72.8,78.8,83.6,79.6,74,71.6,81.6,86.8,84.4,74.8
Claude-5,72,63.6,83.6,68.4,64.8,66,73.2,82.4,77.2,68,81.6,63.2,87.6,86,69.2
GLM-5,85.6,84,88,86.4,84.4,84,86.4,86.8,87.2,85.2,86.8,87.6,84,88,85.2
Kimi-K2.7,82,78.4,85.2,80,79.6,79.2,82.4,84.8,83.2,81.6,84.4,86,88,78.4,79.6
GPT-5,45.2,30,78,42.4,32.4,34,60,75.2,60,41.2,74.8,69.2,85.2,79.6,28.4
