model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,0,29.6,18,60.4,26.8,21.6,19.6,20.8,18,17.2,18.4,17.2,18.4,16.8,17.2
GPT-3.5,29.6,0,41.2,47.6,23.6,36,40.4,44.8,38.8,33.2,41.6,40.4,44,43.2,35.6
O4-mini,18,41.2,0,68,36,22,13.6,14,10.4,18.4,11.6,10.4,9.2,8.4,17.6
Gemini,60.4,47.6,68,0,46.4,54.8,64.8,71.6,66.4,60,67.6,64.8,70.8,70,63.2
Llama-70B,26.8,23.6,36,46.4,0,27.6,31.2,41.2,33.6,28,35.6,32.8,38,36.4,28.8
Mistral,21.6,36,22,54.8,27.6,0,18.8,26.4,20.4,20.4,23.2,21.2,23.2,22.4,20.4
DeepSeek-V3.1,19.6,40.4,13.6,64.8,31.2,18.8,0,18,12,16.8,13.2,12,14,12.4,16
DeepSeek-R1,20.8,44.8,14,71.6,41.2,26.4,18,0,14.8,23.6,14.4,15.6,11.2,12.8,19.6
DeepSeek-V4-Pro,18,38.8,10.4,66.4,33.6,20.4,12,14.8,0,16.8,15.6,12.8,12.4,11.6,18.4
QwenCoder,17.2,33.2,18.4,60,28,20.4,16.8,23.6,16.8,0,18.8,17.6,18.8,18,19.2
Qwen3.7,18.4,41.6,11.6,67.6,35.6,23.2,13.2,14.4,15.6,18.8,0,14,8.8,6.4,18.8
Claude-5,17.2,40.4,10.4,64.8,32.8,21.2,12,15.6,12.8,17.6,14,0,12.4,10.8,17.6
GLM-5,18.4,44,9.2,70.8,38,23.2,14,11.2,12.4,18.8,8.8,12.4,0,8,17.2
Kimi-K2.7,16.8,43.2,8.4,70,36.4,22.4,12.4,12.8,11.6,18,6.4,10.8,8,0,16.4
GPT-5,17.2,35.6,17.6,63.2,28.8,20.4,16,19.6,18.4,19.2,18.8,17.6,17.2,16.4,0
