rank,model1,model2,model1_key,model2_key,n_valid,union_pct,both_pct,only1_pct,only2_pct,single1_pct,single2_pct,both,only1,only2
1,Qwen3.7,GLM-5,qwen37_plus,glm5,250,96.8000,80.4000,6.0000,10.4000,86.4000,90.8000,201,15,26
2,Qwen3.7,Kimi-K2.7,qwen37_plus,kimi_k25,250,95.6000,81.2000,5.2000,9.2000,86.4000,90.4000,203,13,23
3,GLM-5,Kimi-K2.7,glm5,kimi_k25,250,95.6000,85.6000,5.2000,4.8000,90.8000,90.4000,214,13,12
4,O4-mini,Qwen3.7,o4mini,qwen37_plus,250,95.2000,76.0000,8.8000,10.4000,84.8000,86.4000,190,22,26
5,DeepSeek-V3.1,Qwen3.7,deepseek_v31,qwen37_plus,250,95.2000,72.8000,8.8000,13.6000,81.6000,86.4000,182,22,34
6,DeepSeek-R1,GLM-5,deepseek_r1,glm5,250,95.2000,80.4000,4.4000,10.4000,84.8000,90.8000,201,11,26
7,Qwen3.7,Claude-5,qwen37_plus,claude_sonnet_5,250,95.2000,75.2000,11.2000,8.8000,86.4000,84.0000,188,28,22
8,DeepSeek-V3.1,GLM-5,deepseek_v31,glm5,250,94.8000,77.6000,4.0000,13.2000,81.6000,90.8000,194,10,33
9,DeepSeek-R1,Kimi-K2.7,deepseek_r1,kimi_k25,250,94.8000,80.4000,4.4000,10.0000,84.8000,90.4000,201,11,25
10,DeepSeek-V4-Pro,GLM-5,deepseek_v4_pro,glm5,250,94.8000,74.8000,4.0000,16.0000,78.8000,90.8000,187,10,40
11,Claude-5,GLM-5,claude_sonnet_5,glm5,250,94.8000,80.0000,4.0000,10.8000,84.0000,90.8000,200,10,27
12,Claude-5,Kimi-K2.7,claude_sonnet_5,kimi_k25,250,94.8000,79.6000,4.4000,10.8000,84.0000,90.4000,199,11,27
13,O4-mini,Kimi-K2.7,o4mini,kimi_k25,250,94.4000,80.8000,4.0000,9.6000,84.8000,90.4000,202,10,24
