model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,78.4,81.6,91.2,83.2,82.8,83.6,89.6,92.8,91.2,84.8,92.8,92,94.4,94.8,86.8
GPT-3.5,81.6,51.2,90.4,64.8,67.6,78.4,86.8,91.2,87.6,80.8,91.2,87.6,93.2,94,81.6
O4-mini,91.2,90.4,88.4,90.8,90.4,90.4,92.8,94,94,90.8,94,93.6,96,95.6,92.4
Gemini,83.2,64.8,90.8,28.8,67.6,80,86.4,89.2,88,80.8,91.2,88.4,93.6,94.4,81.2
Llama-70B,82.8,67.6,90.4,67.6,59.2,79.2,88.8,91.2,89.2,82,90.4,89.6,92.8,93.6,82.4
Mistral,83.6,78.4,90.4,80,79.2,72,89.2,92.8,90.4,83.2,91.2,88.8,94,94.8,84.4
DeepSeek-V3.1,89.6,86.8,92.8,86.4,88.8,89.2,83.6,93.2,90,89.2,94.8,92.4,94.8,95.6,89.2
DeepSeek-R1,92.8,91.2,94,89.2,91.2,92.8,93.2,87.2,93.6,93.2,94.4,94.4,96,95.2,94.4
DeepSeek-V4-Pro,91.2,87.6,94,88,89.2,90.4,90,93.6,85.6,89.6,96,93.2,94.8,95.6,91.6
QwenCoder,84.8,80.8,90.8,80.8,82,83.2,89.2,93.2,89.6,75.6,91.6,91.2,94.8,94,86
Qwen3.7,92.8,91.2,94,91.2,90.4,91.2,94.8,94.4,96,91.6,89.2,94,96,96.4,92.8
Claude-5,92,87.6,93.6,88.4,89.6,88.8,92.4,94.4,93.2,91.2,94,85.2,95.6,96.8,93.6
GLM-5,94.4,93.2,96,93.6,92.8,94,94.8,96,94.8,94.8,96,95.6,92.4,96,93.6
Kimi-K2.7,94.8,94,95.6,94.4,93.6,94.8,95.6,95.2,95.6,94,96.4,96.8,96,92,94.8
GPT-5,86.8,81.6,92.4,81.2,82.4,84.4,89.2,94.4,91.6,86,92.8,93.6,93.6,94.8,77.2
