model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,0,32,39.6,49.2,33.2,26,27.2,40,32.4,21.2,37.2,37.2,39.6,39.6,28.4
GPT-3.5,32,0,63.6,28.4,14.8,23.6,51.2,65.6,54,24.4,62,59.6,69.2,69.2,26.8
O4-mini,39.6,63.6,0,70.4,65.6,51.2,26,16.4,21.6,46.4,20,22.4,16,16,49.6
Gemini,49.2,28.4,70.4,0,26.4,41.6,59.6,70.8,61.6,43.2,68,64,76.8,74.4,41.6
Llama-70B,33.2,14.8,65.6,26.4,0,25.6,50.8,64.4,55.2,24.8,61.6,59.2,68.8,68.8,29.6
Mistral,26,23.6,51.2,41.6,25.6,0,39.6,50.8,40.8,24,48,47.2,52.8,54.4,31.2
DeepSeek-V3.1,27.2,51.2,26,59.6,50.8,39.6,0,28,25.2,34,26.8,26.8,25.2,26.8,42.8
DeepSeek-R1,40,65.6,16.4,70.8,64.4,50.8,28,0,22,49.2,14,19.6,16.4,14.8,50.8
DeepSeek-V4-Pro,32.4,54,21.6,61.6,55.2,40.8,25.2,22,0,39.2,23.2,17.6,24.8,23.2,43.2
QwenCoder,21.2,24.4,46.4,43.2,24.8,24,34,49.2,39.2,0,46.4,44,48.8,49.6,25.6
Qwen3.7,37.2,62,20,68,61.6,48,26.8,14,23.2,46.4,0,19.2,18.4,13.6,49.6
Claude-5,37.2,59.6,22.4,64,59.2,47.2,26.8,19.6,17.6,44,19.2,0,19.2,18.4,44.8
GLM-5,39.6,69.2,16,76.8,68.8,52.8,25.2,16.4,24.8,48.8,18.4,19.2,0,10.4,53.6
Kimi-K2.7,39.6,69.2,16,74.4,68.8,54.4,26.8,14.8,23.2,49.6,13.6,18.4,10.4,0,53.6
GPT-5,28.4,26.8,49.6,41.6,29.6,31.2,42.8,50.8,43.2,25.6,49.6,44.8,53.6,53.6,0
