model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,0,37.2,24.8,60.4,37.2,31.2,21.6,26.4,22,20.8,27.2,24.8,26.8,26.4,28
GPT-3.5,37.2,0,48.4,40,20.8,31.6,47.6,53.2,47.2,37.2,52.4,48.4,54.4,56.4,42.8
O4-mini,24.8,48.4,0,74.8,49.2,35.2,15.2,13.6,21.2,22.4,19.2,16,12.4,13.6,29.6
Gemini,60.4,40,74.8,0,36.8,50.8,71.6,75.6,69.6,59.6,77.2,72.4,80,79.6,56.4
Llama-70B,37.2,20.8,49.2,36.8,0,33.2,50,53.2,48,38.8,54,50.8,56.8,56.4,42
Mistral,31.2,31.6,35.2,50.8,33.2,0,36,37.6,38.8,31.2,40.8,36,37.2,39.2,33.6
DeepSeek-V3.1,21.6,47.6,15.2,71.6,50,36,0,18.4,15.6,24.8,22.4,15.2,17.2,16,27.2
DeepSeek-R1,26.4,53.2,13.6,75.6,53.2,37.6,18.4,0,16.4,26.4,15.2,19.2,14.8,14.4,29.6
DeepSeek-V4-Pro,22,47.2,21.2,69.6,48,38.8,15.6,16.4,0,22.8,19.6,18.8,20,19.6,28.4
QwenCoder,20.8,37.2,22.4,59.6,38.8,31.2,24.8,26.4,22.8,0,28.8,29.6,27.6,28,31.2
Qwen3.7,27.2,52.4,19.2,77.2,54,40.8,22.4,15.2,19.6,28.8,0,20,16.4,14.4,36
Claude-5,24.8,48.4,16,72.4,50.8,36,15.2,19.2,18.8,29.6,20,0,14.8,15.2,32
GLM-5,26.8,54.4,12.4,80,56.8,37.2,17.2,14.8,20,27.6,16.4,14.8,0,10,34
Kimi-K2.7,26.4,56.4,13.6,79.6,56.4,39.2,16,14.4,19.6,28,14.4,15.2,10,0,32.8
GPT-5,28,42.8,29.6,56.4,42,33.6,27.2,29.6,28.4,31.2,36,32,34,32.8,0
