model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,1,0.19,0.430693,0.170543,0.288462,0.425926,0.451807,0.42132,0.484848,0.504202,0.470899,0.427778,0.443925,0.439024,0.504425
GPT-3.5,0.19,1,0.105263,0.0746269,0.309524,0.25,0.132867,0.104396,0.129252,0.25,0.111732,0.119497,0.0952381,0.102041,0.213333
O4-mini,0.430693,0.105263,1,0.234694,0.171875,0.26943,0.588517,0.741784,0.639024,0.370558,0.774038,0.665072,0.818182,0.812207,0.338462
Gemini,0.170543,0.0746269,0.234694,1,0.144737,0.150538,0.204969,0.219895,0.229814,0.147826,0.215789,0.22807,0.212963,0.24,0.160377
Llama-70B,0.288462,0.309524,0.171875,0.144737,1,0.363636,0.195946,0.167568,0.206667,0.321839,0.18232,0.191358,0.161137,0.160804,0.308642
Mistral,0.425926,0.25,0.26943,0.150538,0.363636,1,0.340136,0.296703,0.34,0.5,0.285714,0.290909,0.261905,0.267677,0.482353
DeepSeek-V3.1,0.451807,0.132867,0.588517,0.204969,0.195946,0.340136,1,0.682292,0.627119,0.432258,0.629442,0.639344,0.62963,0.640777,0.42
DeepSeek-R1,0.42132,0.104396,0.741784,0.219895,0.167568,0.296703,0.682292,1,0.676923,0.388298,0.722488,0.645631,0.801843,0.778302,0.340426
DeepSeek-V4-Pro,0.484848,0.129252,0.639024,0.229814,0.206667,0.34,0.627119,0.676923,1,0.421384,0.633166,0.57513,0.633028,0.644231,0.446667
QwenCoder,0.504202,0.25,0.370558,0.147826,0.321839,0.5,0.432258,0.388298,0.421384,1,0.4,0.4,0.361502,0.352941,0.466019
Qwen3.7,0.470899,0.111732,0.774038,0.215789,0.18232,0.285714,0.629442,0.722488,0.633166,0.4,1,0.651961,0.792627,0.777251,0.336898
Claude-5,0.427778,0.119497,0.665072,0.22807,0.191358,0.290909,0.639344,0.645631,0.57513,0.4,0.651961,1,0.680365,0.646512,0.323699
GLM-5,0.443925,0.0952381,0.818182,0.212963,0.161137,0.261905,0.62963,0.801843,0.633028,0.361502,0.792627,0.680365,1,0.845455,0.319249
Kimi-K2.7,0.439024,0.102041,0.812207,0.24,0.160804,0.267677,0.640777,0.778302,0.644231,0.352941,0.777251,0.646512,0.845455,1,0.341709
GPT-5,0.504425,0.213333,0.338462,0.160377,0.308642,0.482353,0.42,0.340426,0.446667,0.466019,0.336898,0.323699,0.319249,0.341709,1
