model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,1,0.628141,0.804348,0.259804,0.668317,0.752294,0.784141,0.779661,0.801762,0.800926,0.802575,0.810573,0.804255,0.820513,0.80543
GPT-3.5,0.628141,1,0.544248,0.232258,0.642424,0.55665,0.540909,0.519313,0.559091,0.591133,0.545852,0.547085,0.529915,0.538462,0.578199
O4-mini,0.804348,0.544248,1,0.247788,0.60177,0.761905,0.853448,0.854167,0.886957,0.8,0.877637,0.887446,0.902542,0.911017,0.811966
Gemini,0.259804,0.232258,0.247788,1,0.275,0.290155,0.253456,0.23176,0.248869,0.261084,0.258772,0.263636,0.24359,0.252137,0.254717
Llama-70B,0.668317,0.642424,0.60177,0.275,1,0.653266,0.637209,0.561702,0.618182,0.655172,0.609649,0.627273,0.592275,0.607759,0.655502
Mistral,0.752294,0.55665,0.761905,0.290155,0.653266,1,0.788288,0.723849,0.774336,0.763889,0.753191,0.767544,0.755274,0.763713,0.769231
DeepSeek-V3.1,0.784141,0.540909,0.853448,0.253456,0.637209,0.788288,1,0.8125,0.867841,0.811659,0.858974,0.868421,0.852321,0.868644,0.823789
DeepSeek-R1,0.779661,0.519313,0.854167,0.23176,0.561702,0.723849,0.8125,1,0.844538,0.753138,0.851852,0.8375,0.883817,0.868852,0.794979
DeepSeek-V4-Pro,0.801762,0.559091,0.886957,0.248869,0.618182,0.774336,0.867841,0.844538,1,0.813333,0.83682,0.861472,0.869198,0.877637,0.801724
QwenCoder,0.800926,0.591133,0.8,0.261084,0.655172,0.763889,0.811659,0.753138,0.813333,1,0.798283,0.806167,0.8,0.808511,0.784753
Qwen3.7,0.802575,0.545852,0.877637,0.258772,0.609649,0.753191,0.858974,0.851852,0.83682,0.798283,1,0.852941,0.907563,0.932203,0.802521
Claude-5,0.810573,0.547085,0.887446,0.263636,0.627273,0.767544,0.868421,0.8375,0.861472,0.806167,0.852941,1,0.869748,0.886076,0.810345
GLM-5,0.804255,0.529915,0.902542,0.24359,0.592275,0.755274,0.852321,0.883817,0.869198,0.8,0.907563,0.869748,1,0.916667,0.819328
Kimi-K2.7,0.820513,0.538462,0.911017,0.252137,0.607759,0.763713,0.868644,0.868852,0.877637,0.808511,0.932203,0.886076,0.916667,1,0.827731
GPT-5,0.80543,0.578199,0.811966,0.254717,0.655502,0.769231,0.823789,0.794979,0.801724,0.784753,0.802521,0.810345,0.819328,0.827731,1
