model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,0,33.6,15.6,59.2,28,16.8,17.2,20,18.4,15.6,18,20.4,18,19.2,18
GPT-3.5,33.6,0,41.2,49.6,24.8,33.6,38.8,44,38.4,34.8,42,38.8,42.8,44.8,34.8
O4-mini,15.6,41.2,0,64.4,33.2,20.4,13.6,12.4,14,17.6,10.4,13.6,11.2,10.8,19.2
Gemini,59.2,49.6,64.4,0,47.2,59.2,60.4,62.4,61.6,57.2,64.4,62.8,66,68,56.4
Llama-70B,28,24.8,33.2,47.2,0,27.2,34.8,36,33.6,29.2,32.4,34.8,34,36,28.4
Mistral,16.8,33.6,20.4,59.2,27.2,0,22.8,26.4,23.2,18.8,21.2,20.4,23.6,25.6,19.6
DeepSeek-V3.1,17.2,38.8,13.6,60.4,34.8,22.8,0,15.6,10.8,19.2,16.8,16,13.6,15.6,17.6
DeepSeek-R1,20,44,12.4,62.4,36,26.4,15.6,0,14.4,23.6,12.4,16.4,12.4,11.2,24.4
DeepSeek-V4-Pro,18.4,38.4,14,61.6,33.6,23.2,10.8,14.4,0,18,17.2,15.6,11.6,13.6,20.4
QwenCoder,15.6,34.8,17.6,57.2,29.2,18.8,19.2,23.6,18,0,18.4,21.6,21.6,20.4,19.2
Qwen3.7,18,42,10.4,64.4,32.4,21.2,16.8,12.4,17.2,18.4,0,13.6,10.4,11.6,19.2
Claude-5,20.4,38.8,13.6,62.8,34.8,20.4,16,16.4,15.6,21.6,13.6,0,13.6,16.4,24.8
GLM-5,18,42.8,11.2,66,34,23.6,13.6,12.4,11.6,21.6,10.4,13.6,0,7.6,17.6
Kimi-K2.7,19.2,44.8,10.8,68,36,25.6,15.6,11.2,13.6,20.4,11.6,16.4,7.6,0,20.4
GPT-5,18,34.8,19.2,56.4,28.4,19.6,17.6,24.4,20.4,19.2,19.2,24.8,17.6,20.4,0
