model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,0,32.4,46,42.8,29.6,24.8,36.4,45.6,34,23.6,40,41.2,47.6,46,22.4
GPT-3.5,32.4,0,68,24.8,11.6,18,49.6,65.2,51.2,24,63.6,56,76,70.4,23.6
O4-mini,46,68,0,60,63.6,56.4,34.4,22,29.6,49.6,18.8,28,16,16,51.6
Gemini,42.8,24.8,60,0,26,31.6,51.2,59.6,49.6,39.2,59.6,52.8,68,60.8,35.6
Llama-70B,29.6,11.6,63.6,26,0,16.8,47.6,61.6,47.6,23.6,59.2,52.4,70.8,66.8,22.4
Mistral,24.8,18,56.4,31.6,16.8,0,38.8,51.2,39.6,18,52,46.8,62,58,17.6
DeepSeek-V3.1,36.4,49.6,34.4,51.2,47.6,38.8,0,24.4,26.4,35.2,29.2,26.4,32,29.6,34.8
DeepSeek-R1,45.6,65.2,22,59.6,61.6,51.2,24.4,0,25.2,46,23.2,29.2,17.2,18.8,49.6
DeepSeek-V4-Pro,34,51.2,29.6,49.6,47.6,39.6,26.4,25.2,0,36.8,29.2,32.8,32,29.6,33.2
QwenCoder,23.6,24,49.6,39.2,23.6,18,35.2,46,36.8,0,44.4,40.8,54.4,52.8,22
Qwen3.7,40,63.6,18.8,59.6,59.2,52,29.2,23.2,29.2,44.4,0,28.4,18,18.8,49.6
Claude-5,41.2,56,28,52.8,52.4,46.8,26.4,29.2,32.8,40.8,28.4,0,28,30.4,46.8
GLM-5,47.6,76,16,68,70.8,62,32,17.2,32,54.4,18,28,0,13.6,58
Kimi-K2.7,46,70.4,16,60.8,66.8,58,29.6,18.8,29.6,52.8,18.8,30.4,13.6,0,52.4
GPT-5,22.4,23.6,51.6,35.6,22.4,17.6,34.8,49.6,33.2,22,49.6,46.8,58,52.4,0
