model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,69.6,72.4,89.6,71.2,72,77.6,86.4,90.4,85.2,79.2,91.6,89.2,93.6,93.2,80.8
GPT-3.5,72.4,38,85.6,45.2,48,62,83.6,88,82,71.6,88.4,85.2,91.6,92.4,72.4
O4-mini,89.6,85.6,84.8,86,85.6,87.2,90.8,91.6,92.4,87.6,95.2,92.4,94,94.4,89.2
Gemini,71.2,45.2,86,12.4,43.2,58.8,82.8,86.4,80.4,70,88,84.4,91.6,91.2,66.4
Llama-70B,72,48,85.6,43.2,37.2,62.4,84.4,87.6,82,72,88.8,86,92.4,92,71.6
Mistral,77.6,62,87.2,58.8,62.4,54.4,86,88.4,86,76.8,90.8,87.2,91.2,92,76
DeepSeek-V3.1,86.4,83.6,90.8,82.8,84.4,86,81.6,92.4,88,87.2,95.2,90.4,94.8,94,86.4
DeepSeek-R1,90.4,88,91.6,86.4,87.6,88.4,92.4,84.8,90,89.6,93.2,94,95.2,94.8,89.2
DeepSeek-V4-Pro,85.2,82,92.4,80.4,82,86,88,90,78.8,84.8,92.4,90.8,94.8,94.4,85.6
QwenCoder,79.2,71.6,87.6,70,72,76.8,87.2,89.6,84.8,68,91.6,90.8,93.2,93.2,81.6
Qwen3.7,91.6,88.4,95.2,88,88.8,90.8,95.2,93.2,92.4,91.6,86.4,95.2,96.8,95.6,93.2
Claude-5,89.2,85.2,92.4,84.4,86,87.2,90.4,94,90.8,90.8,95.2,84,94.8,94.8,90
GLM-5,93.6,91.6,94,91.6,92.4,91.2,94.8,95.2,94.8,93.2,96.8,94.8,90.8,95.6,94.4
Kimi-K2.7,93.2,92.4,94.4,91.2,92,92,94,94.8,94.4,93.2,95.6,94.8,95.6,90.4,93.6
GPT-5,80.8,72.4,89.2,66.4,71.6,76,86.4,89.2,85.6,81.6,93.2,90,94.4,93.6,64
