model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,51.2,51.6,86.4,58,52.4,57.2,73.6,86.8,77.6,56.8,85.2,82.4,90,89.6,58
GPT-3.5,51.6,20,82.8,32,27.6,40.4,70,84,72.8,42.8,82,78,89.2,88.8,41.6
O4-mini,86.4,82.8,82,84,84,85.2,88.4,90.4,87.6,84.8,92,90.4,93.6,93.2,84
Gemini,58,32,84,15.6,31.2,47.2,72,84.4,74.4,50,82.8,78,90.8,89.2,46.8
Llama-70B,52.4,27.6,84,31.2,20.4,41.6,70,83.6,73.6,43.2,82,78,89.2,88.8,43.2
Mistral,57.2,40.4,85.2,47.2,41.6,37.2,72.8,85.2,74.8,51.2,83.6,80.4,89.6,90,52.4
DeepSeek-V3.1,73.6,70,88.4,72,70,72.8,68.8,89.6,82.8,72,88.8,86,91.6,92,74
DeepSeek-R1,86.8,84,90.4,84.4,83.6,85.2,89.6,82.4,88,86.4,89.2,89.2,94,92.8,84.8
DeepSeek-V4-Pro,77.6,72.8,87.6,74.4,73.6,74.8,82.8,88,71.6,76,88.4,82.8,92.8,91.6,75.6
QwenCoder,56.8,42.8,84.8,50,43.2,51.2,72,86.4,76,41.2,84.8,80.8,89.6,89.6,51.6
Qwen3.7,85.2,82,92,82.8,82,83.6,88.8,89.2,88.4,84.8,82,88.8,94.8,92,84
Claude-5,82.4,78,90.4,78,78,80.4,86,89.2,82.8,80.8,88.8,76.4,92.4,91.6,78.8
GLM-5,90,89.2,93.6,90.8,89.2,89.6,91.6,94,92.8,89.6,94.8,92.4,89.2,94,89.6
Kimi-K2.7,89.6,88.8,93.2,89.2,88.8,90,92,92.8,91.6,89.6,92,91.6,94,88.4,89.2
GPT-5,58,41.6,84,46.8,43.2,52.4,74,84.8,75.6,51.6,84,78.8,89.6,89.2,36.4
