model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,1,0.588235,0.828947,0.288462,0.661836,0.799043,0.808036,0.784483,0.798246,0.816038,0.806034,0.778261,0.809322,0.797468,0.792627
GPT-3.5,0.588235,1,0.544248,0.234568,0.633136,0.571429,0.552995,0.517544,0.561644,0.569307,0.539474,0.557078,0.540773,0.523404,0.573529
O4-mini,0.828947,0.544248,1,0.290749,0.632743,0.774336,0.853448,0.868085,0.851064,0.806167,0.889362,0.854701,0.883333,0.887029,0.792208
Gemini,0.288462,0.234568,0.290749,1,0.301775,0.26,0.300926,0.300448,0.3,0.292079,0.29386,0.289593,0.294872,0.279661,0.305419
Llama-70B,0.661836,0.633136,0.632743,0.301775,1,0.656566,0.608108,0.605263,0.623318,0.643902,0.641593,0.611607,0.633621,0.615385,0.65534
Mistral,0.799043,0.571429,0.774336,0.26,0.656566,1,0.744395,0.715517,0.743363,0.774038,0.767544,0.77027,0.748936,0.729958,0.767773
DeepSeek-V3.1,0.808036,0.552995,0.853448,0.300926,0.608108,0.744395,1,0.832618,0.88,0.784753,0.822785,0.82684,0.85654,0.83682,0.802691
DeepSeek-R1,0.784483,0.517544,0.868085,0.300448,0.605263,0.715517,0.832618,1,0.846154,0.746781,0.868644,0.826271,0.870833,0.882353,0.741525
DeepSeek-V4-Pro,0.798246,0.561644,0.851064,0.3,0.623318,0.743363,0.88,0.846154,1,0.799107,0.820833,0.832618,0.877637,0.857741,0.777293
QwenCoder,0.816038,0.569307,0.806167,0.292079,0.643902,0.774038,0.784753,0.746781,0.799107,1,0.799127,0.763158,0.772152,0.782979,0.776744
Qwen3.7,0.806034,0.539474,0.889362,0.29386,0.641593,0.767544,0.822785,0.868644,0.820833,0.799127,1,0.855319,0.891667,0.879668,0.793103
Claude-5,0.778261,0.557078,0.854701,0.289593,0.611607,0.77027,0.82684,0.826271,0.832618,0.763158,0.855319,1,0.857741,0.830579,0.735043
GLM-5,0.809322,0.540773,0.883333,0.294872,0.633621,0.748936,0.85654,0.870833,0.877637,0.772152,0.891667,0.857741,1,0.920833,0.811966
Kimi-K2.7,0.797468,0.523404,0.887029,0.279661,0.615385,0.729958,0.83682,0.882353,0.857741,0.782979,0.879668,0.830579,0.920833,1,0.78481
GPT-5,0.792627,0.573529,0.792208,0.305419,0.65534,0.767773,0.802691,0.741525,0.777293,0.776744,0.793103,0.735043,0.811966,0.78481,1
