model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,1,0.486188,0.723214,0.151685,0.483333,0.597938,0.75,0.707965,0.741784,0.737374,0.703057,0.721973,0.713675,0.716738,0.653465
GPT-3.5,0.486188,1,0.434579,0.115044,0.566667,0.490323,0.430622,0.395455,0.42439,0.480447,0.40724,0.431925,0.406114,0.38961,0.40884
O4-mini,0.723214,0.434579,1,0.130233,0.425234,0.59633,0.832599,0.851528,0.770563,0.744292,0.798319,0.82684,0.868085,0.855932,0.668161
Gemini,0.151685,0.115044,0.130233,1,0.148148,0.136054,0.135266,0.125,0.134328,0.148571,0.122727,0.14218,0.126638,0.127193,0.150602
Llama-70B,0.483333,0.566667,0.425234,0.148148,1,0.467949,0.407583,0.392694,0.414634,0.461111,0.391892,0.409302,0.385281,0.386957,0.413408
Mistral,0.597938,0.490323,0.59633,0.136054,0.467949,1,0.581395,0.574661,0.548837,0.59375,0.550661,0.587156,0.592105,0.573913,0.557895
DeepSeek-V3.1,0.75,0.430622,0.832599,0.135266,0.407583,0.581395,1,0.800866,0.822727,0.715596,0.764706,0.831858,0.818565,0.829787,0.685185
DeepSeek-R1,0.707965,0.395455,0.851528,0.125,0.392694,0.574661,0.800866,1,0.817778,0.705357,0.83691,0.795745,0.844538,0.848101,0.668161
DeepSeek-V4-Pro,0.741784,0.42439,0.770563,0.134328,0.414634,0.548837,0.822727,0.817778,1,0.731132,0.787879,0.792952,0.78903,0.792373,0.668224
QwenCoder,0.737374,0.480447,0.744292,0.148571,0.461111,0.59375,0.715596,0.705357,0.731132,1,0.68559,0.674009,0.703863,0.699571,0.617647
Qwen3.7,0.703057,0.40724,0.798319,0.122727,0.391892,0.550661,0.764706,0.83691,0.787879,0.68559,1,0.789916,0.830579,0.849372,0.613734
Claude-5,0.721973,0.431925,0.82684,0.14218,0.409302,0.587156,0.831858,0.795745,0.792952,0.674009,0.789916,1,0.843882,0.839662,0.644444
GLM-5,0.713675,0.406114,0.868085,0.126638,0.385281,0.592105,0.818565,0.844538,0.78903,0.703863,0.830579,0.843882,1,0.895397,0.639831
Kimi-K2.7,0.716738,0.38961,0.855932,0.127193,0.386957,0.573913,0.829787,0.848101,0.792373,0.699571,0.849372,0.839662,0.895397,1,0.649573
GPT-5,0.653465,0.40884,0.668161,0.150602,0.413408,0.557895,0.685185,0.668161,0.668224,0.617647,0.613734,0.644444,0.639831,0.649573,1
