pair_id,dataset,model,problem_id,cascade_category,annotator_A_failure_type,annotator_B_failure_type,agree,expert_consensus_failure_type,llm_predicted_failure_type,llm_expert_agreement,annotator_A_reason,annotator_B_reason
java250|java250|claude_sonnet_5|p02917|Semantic_Frontier,java250,claude_sonnet_5,p02917,Semantic_Frontier,Obfuscation Narrative,Obfuscation Narrative,yes,Obfuscation Narrative,Obfuscation Narrative,yes,"DESCRIPTION 2 focuses heavily on cataloging the obfuscation techniques (string lengths, bitwise XOR, static arrays, dead encryption/utility",
java250|java250|deepseek_r1|p02401|Semantic_Frontier,java250,deepseek_r1,p02401,Semantic_Frontier,Obfuscation Narrative,Obfuscation Narrative,yes,Obfuscation Narrative,Obfuscation Narrative,yes,"The model incorporated the program's obfuscation artifacts and dummy decryption routines (Blowfish, XOR, DES) into its explanation as if they were actual functional requirements and features of the underlying calculator.","The model focuses heavily on the obfuscation layer—narrating string decryption mechanisms and specific encryption algorithms (Blowfish, XOR, DES)—rather than describing the clean underlying functionality of the program."
java250|java250|deepseek_r1|p03835|Semantic_Frontier,java250,deepseek_r1,p03835,Semantic_Frontier,Functional Inaccuracy,Functional Inaccuracy,yes,Functional Inaccuracy,Functional Inaccuracy,yes,Description 2 incorrectly describes the program as counting pairs of,
java250|java250|deepseek_v31|p02627|Semantic_Frontier,java250,deepseek_v31,p02627,Semantic_Frontier,Obfuscation Narrative,Obfuscation Narrative,yes,Obfuscation Narrative,Obfuscation Narrative,yes,"The model focuses entirely on the string-decryption boilerplate and obfuscation mechanics (XOR/Blowfish/DES wrappers and identifier mangling) as the main purpose of the code, completely failing to identify the program's actual functionality.",
java250|java250|gemini|p00002|Semantic_Frontier,java250,gemini,p00002,Semantic_Frontier,Hallucination,Hallucination,yes,Hallucination,Hallucination,yes,Description 2 invents non-existent cryptographic functionality (claiming runtime decryption using DES or Blowfish algorithms) that does not exist in the underlying code.,Description 2 falsely claims the program decrypts output messages at runtime using DES or Blowfish encryption algorithms.
java250|java250|gemini|p03289|Semantic_Frontier,java250,gemini,p03289,Semantic_Frontier,Obfuscation Narrative,Obfuscation Narrative,yes,Obfuscation Narrative,Obfuscation Narrative,yes,"The model was misled by heavy obfuscation into inventing a reverse-engineering/security narrative (""CrackMe challenge"", DES/Blowfish decryption, XOR ciphers) rather than recognizing the underlying competitive programming string validation logic.",
java250|java250|gpt35|p02711|Semantic_Frontier,java250,gpt35,p02711,Semantic_Frontier,Hallucination,Hallucination,yes,Hallucination,Hallucination,yes,"The description invents non-existent functionality, claiming the code includes Base64 decoding methods and bitwise operations.","The summary invents non-existent features and capabilities, such as Base64 decoding methods and bitwise operations, which were not part of the original program's functionality."
java250|java250|gpt35|p02847|Semantic_Frontier,java250,gpt35,p02847,Semantic_Frontier,Hallucination,Hallucination,yes,Hallucination,Hallucination,yes,The model completely fabricates non-existent program functionality (MD5 and Blowfish encryption/decryption operations) that has no relation,
java250|java250|gpt35|p04012|Semantic_Frontier,java250,gpt35,p04012,Semantic_Frontier,Hallucination,Hallucination,yes,Hallucination,Hallucination,yes,The model invents completely fictitious concepts and non-existent functionality (encryption and decryption methods using MD5 and Blowfish algorithms) that are not present in the code.,
java250|java250|gpt4o|p02381|Semantic_Frontier,java250,gpt4o,p02381,Semantic_Frontier,Obfuscation Narrative,Obfuscation Narrative,yes,Obfuscation Narrative,Obfuscation Narrative,yes,The summary incorporates obfuscation mechanics (string decryption methods and dummy arrays `l`/`I`) into the core operational narrative of the program rather than focusing cleanly on the underlying domain logic.,
