Sub_Directory,Description_Type,LLM_GPT4.5_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p03493,Description_Detailed,0.0,0.1,0.05,False,0.3817901015281677,0.33179010152816774,True,False,False,False,True
p03493,Description_Fewshot,0.0,0.3,0.15,False,0.37592974305152893,0.22592974305152894,True,False,False,False,True
p03493,Description_Reason,0.1,0.0,0.05,False,0.3482072055339813,0.29820720553398133,True,False,False,False,True
p03493,Description_Simple,0.0,0.0,0.0,False,0.3207336366176605,0.3207336366176605,True,False,False,False,True
p03493,Description_Vague,0.0,0.0,0.0,False,0.20275357365608215,0.20275357365608215,True,False,False,False,True
p03136,Description_Detailed,0.0,0.0,0.0,False,0.2586425542831421,0.2586425542831421,True,False,False,False,True
p03136,Description_Fewshot,0.4,0.0,0.2,False,0.4109838306903839,0.2109838306903839,True,False,False,False,True
p03136,Description_Reason,0.0,0.0,0.0,False,0.3002391755580902,0.3002391755580902,True,False,False,False,True
p03136,Description_Simple,0.0,0.0,0.0,False,0.1463356763124466,0.1463356763124466,True,False,False,False,True
p03136,Description_Vague,0.3,0.4,0.35,False,0.11912915855646133,0.23087084144353864,True,False,False,False,True
p00007,Description_Detailed,0.8,0.0,0.4,False,0.434949666261673,0.03494966626167295,True,False,False,False,True
p00007,Description_Fewshot,0.0,0.1,0.05,False,0.23540517687797546,0.18540517687797547,True,False,False,False,True
p00007,Description_Reason,0.0,0.0,0.0,False,0.37260591983795166,0.37260591983795166,True,False,False,False,True
p00007,Description_Simple,0.1,0.9,0.5,True,0.12763047218322754,0.37236952781677246,False,True,False,False,False
p00007,Description_Vague,0.0,0.0,0.0,False,0.25068193674087524,0.25068193674087524,True,False,False,False,True
p02951,Description_Detailed,0.0,0.0,0.0,False,0.05970240384340286,0.05970240384340286,True,False,False,False,True
p02951,Description_Fewshot,0.0,0.0,0.0,False,0.08690689504146576,0.08690689504146576,True,False,False,False,True
p02951,Description_Reason,0.0,0.0,0.0,False,0.07740239799022675,0.07740239799022675,True,False,False,False,True
p02951,Description_Simple,0.0,0.0,0.0,False,0.06731989234685898,0.06731989234685898,True,False,False,False,True
p02951,Description_Vague,0.0,0.0,0.0,False,0.0629911795258522,0.0629911795258522,True,False,False,False,True
p02829,Description_Detailed,0.0,0.0,0.0,False,0.186592698097229,0.186592698097229,True,False,False,False,True
p02829,Description_Fewshot,0.0,0.0,0.0,False,0.4307163953781128,0.4307163953781128,True,False,False,False,True
p02829,Description_Reason,0.0,0.0,0.0,False,0.24498772621154785,0.24498772621154785,True,False,False,False,True
p02829,Description_Simple,0.0,0.0,0.0,False,0.38153693079948425,0.38153693079948425,True,False,False,False,True
p02829,Description_Vague,1.0,0.0,0.5,True,0.2956099808216095,0.2043900191783905,False,True,False,False,False
p02687,Description_Detailed,0.0,1.0,0.5,True,0.12183128297328949,0.3781687170267105,False,True,False,False,False
p02687,Description_Fewshot,0.0,0.0,0.0,False,0.09596378356218338,0.09596378356218338,True,False,False,False,True
p02687,Description_Reason,0.0,0.0,0.0,False,0.14008009433746338,0.14008009433746338,True,False,False,False,True
p02687,Description_Simple,0.0,0.0,0.0,False,0.02688448689877987,0.02688448689877987,True,False,False,False,True
p02687,Description_Vague,0.0,0.0,0.0,False,0.12085966020822525,0.12085966020822525,True,False,False,False,True
p02911,Description_Detailed,0.0,0.0,0.0,False,0.4780554473400116,0.4780554473400116,True,False,False,False,True
p02911,Description_Fewshot,0.0,0.0,0.0,False,0.22211341559886932,0.22211341559886932,True,False,False,False,True
p02911,Description_Reason,0.0,0.0,0.0,False,0.2571023106575012,0.2571023106575012,True,False,False,False,True
p02911,Description_Simple,0.0,0.0,0.0,False,0.2601064145565033,0.2601064145565033,True,False,False,False,True
p02911,Description_Vague,0.0,0.0,0.0,False,0.3990027606487274,0.3990027606487274,True,False,False,False,True
p02755,Description_Detailed,0.1,0.0,0.05,False,0.3979913592338562,0.3479913592338562,True,False,False,False,True
p02755,Description_Fewshot,0.0,0.0,0.0,False,0.39903002977371216,0.39903002977371216,True,False,False,False,True
p02755,Description_Reason,0.0,0.0,0.0,False,0.4233477711677551,0.4233477711677551,True,False,False,False,True
p02755,Description_Simple,0.3,0.0,0.15,False,0.15716040134429932,0.007160401344299322,True,False,False,False,True
p02755,Description_Vague,0.0,0.0,0.0,False,0.43136918544769287,0.43136918544769287,True,False,False,False,True
p03281,Description_Detailed,0.3,0.3,0.3,False,0.4478200078010559,0.14782000780105592,True,False,False,False,True
p03281,Description_Fewshot,0.3,0.3,0.3,False,0.5023511052131653,0.2023511052131653,False,False,True,False,False
p03281,Description_Reason,0.4,0.1,0.25,False,0.5208330154418945,0.27083301544189453,False,False,True,False,False
p03281,Description_Simple,0.0,0.4,0.2,False,0.4578823447227478,0.2578823447227478,True,False,False,False,True
p03281,Description_Vague,0.1,0.3,0.2,False,0.21419110894203186,0.01419110894203185,True,False,False,False,True
p02547,Description_Detailed,0.0,0.0,0.0,False,0.3365107476711273,0.3365107476711273,True,False,False,False,True
p02547,Description_Fewshot,0.0,0.0,0.0,False,0.06915879994630814,0.06915879994630814,True,False,False,False,True
p02547,Description_Reason,0.0,0.0,0.0,False,0.07419902831315994,0.07419902831315994,True,False,False,False,True
p02547,Description_Simple,0.0,0.0,0.0,False,0.07350361347198486,0.07350361347198486,True,False,False,False,True
p02547,Description_Vague,0.0,0.0,0.0,False,0.07304342091083527,0.07304342091083527,True,False,False,False,True
p03011,Description_Detailed,0.0,0.0,0.0,False,0.2172258347272873,0.2172258347272873,True,False,False,False,True
p03011,Description_Fewshot,0.0,0.0,0.0,False,0.24605439603328705,0.24605439603328705,True,False,False,False,True
p03011,Description_Reason,0.0,0.0,0.0,False,0.2449726164340973,0.2449726164340973,True,False,False,False,True
p03011,Description_Simple,0.0,0.4,0.2,False,0.4800390303134918,0.2800390303134918,True,False,False,False,True
p03011,Description_Vague,0.0,0.3,0.15,False,0.14660191535949707,0.003398084640502924,True,False,False,False,True
p02988,Description_Detailed,0.1,0.4,0.25,False,0.481822669506073,0.231822669506073,True,False,False,False,True
p02988,Description_Fewshot,0.7,0.9,0.8,True,0.4659680426120758,0.33403195738792424,False,True,False,False,False
p02988,Description_Reason,0.3,0.0,0.15,False,0.4752982556819916,0.32529825568199155,True,False,False,False,True
p02988,Description_Simple,0.4,0.0,0.2,False,0.49697569012641907,0.29697569012641906,True,False,False,False,True
p02988,Description_Vague,0.8,0.1,0.45,False,0.410727322101593,0.039272677898406994,True,False,False,False,True
p03261,Description_Detailed,0.0,0.3,0.15,False,0.4394887685775757,0.28948876857757566,True,False,False,False,True
p03261,Description_Fewshot,0.0,0.0,0.0,False,0.2865906059741974,0.2865906059741974,True,False,False,False,True
p03261,Description_Reason,0.1,0.1,0.1,False,0.39830282330513,0.29830282330513,True,False,False,False,True
p03261,Description_Simple,0.0,0.0,0.0,False,0.4494399130344391,0.4494399130344391,True,False,False,False,True
p03261,Description_Vague,0.3,0.0,0.15,False,0.2746550440788269,0.12465504407882691,True,False,False,False,True
p02707,Description_Detailed,0.0,0.0,0.0,False,0.10027357935905457,0.10027357935905457,True,False,False,False,True
p02707,Description_Fewshot,0.0,0.0,0.0,False,0.12396850436925888,0.12396850436925888,True,False,False,False,True
