model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,78.1938,83.9207,83.4802,82.8194,85.4626,82.5991,83.7004,83.4802,82.8194,84.3612,83.9207,85.022,85.022,84.8018,83.9207
GPT-3.5,83.9207,76.4317,85.022,81.9383,84.5815,83.0396,84.141,84.5815,83.4802,85.2423,85.022,86.5639,85.9031,85.9031,85.2423
O4-mini,83.4802,85.022,78.4141,82.5991,85.9031,81.4978,83.2599,81.9383,83.2599,85.4626,83.4802,83.9207,83.4802,83.0396,83.0396
Gemini,82.8194,81.9383,82.5991,46.696,83.0396,80.6167,82.8194,79.9559,81.7181,85.4626,82.1586,83.9207,83.4802,82.5991,82.3789
Llama-70B,85.4626,84.5815,85.9031,83.0396,75.9912,82.3789,84.5815,85.2423,85.4626,85.022,85.022,86.5639,87.2247,86.1233,84.8018
Mistral,82.5991,83.0396,81.4978,80.6167,82.3789,73.5683,81.0573,81.0573,81.4978,83.2599,81.4978,83.0396,83.0396,82.1586,81.9383
DeepSeek-V3.1,83.7004,84.141,83.2599,82.8194,84.5815,81.0573,77.0925,82.8194,82.8194,84.3612,82.8194,84.8018,83.7004,83.9207,83.2599
DeepSeek-R1,83.4802,84.5815,81.9383,79.9559,85.2423,81.0573,82.8194,74.0088,80.837,85.2423,81.4978,83.0396,82.8194,82.1586,82.5991
DeepSeek-V4-Pro,82.8194,83.4802,83.2599,81.7181,85.4626,81.4978,82.8194,80.837,76.2115,85.022,81.4978,83.2599,84.141,82.8194,83.4802
QwenCoder,84.3612,85.2423,85.4626,85.4626,85.022,83.2599,84.3612,85.2423,85.022,79.7357,85.6828,86.3436,86.5639,86.5639,85.2423
Qwen3.7,83.9207,85.022,83.4802,82.1586,85.022,81.4978,82.8194,81.4978,81.4978,85.6828,75.5507,83.0396,82.8194,82.5991,83.2599
Claude-5,85.022,86.5639,83.9207,83.9207,86.5639,83.0396,84.8018,83.0396,83.2599,86.3436,83.0396,79.0749,84.141,83.4802,83.9207
GLM-5,85.022,85.9031,83.4802,83.4802,87.2247,83.0396,83.7004,82.8194,84.141,86.5639,82.8194,84.141,78.4141,84.3612,83.9207
Kimi-K2.7,84.8018,85.9031,83.0396,82.5991,86.1233,82.1586,83.9207,82.1586,82.8194,86.5639,82.5991,83.4802,84.3612,78.1938,83.2599
GPT-5,83.9207,85.2423,83.0396,82.3789,84.8018,81.9383,83.2599,82.5991,83.4802,85.2423,83.2599,83.9207,83.9207,83.2599,76.8722
