model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,0,12.5551,11.4537,40.9692,16.0793,12.3348,9.91189,13.8767,10.5727,11.4537,12.9956,11.674,12.3348,10.793,15.1982
GPT-3.5,12.5551,0,19.163,40.3084,15.4185,16.9604,14.0969,22.0264,15.1982,14.3172,18.0617,17.1806,16.5198,16.7401,18.9427
O4-mini,11.4537,19.163,0,40.0881,20.4846,12.7753,12.5551,14.3172,11.0132,11.8943,14.3172,13.8767,11.0132,9.03084,12.1145
Gemini,40.9692,40.3084,40.0881,0,40.7489,38.326,38.5463,40.7489,39.6476,41.4097,39.8678,39.8678,37.8855,39.4273,39.4273
Llama-70B,16.0793,15.4185,20.4846,40.7489,0,17.8414,15.859,21.5859,17.8414,14.7577,17.6211,17.6211,17.8414,17.6211,18.5022
Mistral,12.3348,16.9604,12.7753,38.326,17.8414,0,13.8767,15.6388,13.2159,11.8943,13.4361,14.3172,14.978,12.9956,14.3172
DeepSeek-V3.1,9.91189,14.0969,12.5551,38.5463,15.859,13.8767,0,14.5374,9.03084,11.2335,11.0132,10.5727,11.674,9.69163,14.0969
DeepSeek-R1,13.8767,22.0264,14.3172,40.7489,21.5859,15.6388,14.5374,0,14.7577,15.6388,13.2159,12.7753,11.2335,11.0132,15.4185
DeepSeek-V4-Pro,10.5727,15.1982,11.0132,39.6476,17.8414,13.2159,9.03084,14.7577,0,11.0132,13.4361,11.2335,11.4537,9.91189,14.7577
QwenCoder,11.4537,14.3172,11.8943,41.4097,14.7577,11.8943,11.2335,15.6388,11.0132,0,14.7577,12.5551,13.2159,12.9956,12.5551
Qwen3.7,12.9956,18.0617,14.3172,39.8678,17.6211,13.4361,11.0132,13.2159,13.4361,14.7577,0,10.5727,12.1145,11.0132,14.5374
Claude-5,11.674,17.1806,13.8767,39.8678,17.6211,14.3172,10.5727,12.7753,11.2335,12.5551,10.5727,0,9.91189,8.81057,11.4537
GLM-5,12.3348,16.5198,11.0132,37.8855,17.8414,14.978,11.674,11.2335,11.4537,13.2159,12.1145,9.91189,0,9.03084,13.8767
Kimi-K2.7,10.793,16.7401,9.03084,39.4273,17.6211,12.9956,9.69163,11.0132,9.91189,12.9956,11.0132,8.81057,9.03084,0,11.0132
GPT-5,15.1982,18.9427,12.1145,39.4273,18.5022,14.3172,14.0969,15.4185,14.7577,12.5551,14.5374,11.4537,13.8767,11.0132,0
