model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,0,18.7225,13.8767,47.5771,18.5022,20.4846,14.5374,15.1982,14.3172,20.7048,15.1982,15.4185,14.0969,16.2996,18.7225
GPT-3.5,18.7225,0,23.348,48.2379,14.3172,21.1454,19.6035,25.5507,20.7048,23.5683,23.348,23.1278,21.8062,22.6872,22.0264
O4-mini,13.8767,23.348,0,46.4758,21.8062,19.3833,13.8767,14.5374,14.0969,20.9251,12.7753,14.3172,11.674,13.8767,17.1806
Gemini,47.5771,48.2379,46.4758,0,46.696,46.9163,48.0176,50.4405,48.2379,45.815,46.9163,49.3392,48.4581,45.815,44.7137
Llama-70B,18.5022,14.3172,21.8062,46.696,0,19.163,19.8238,22.2467,20.4846,21.1454,21.3656,20.2643,20.2643,20.7048,20.0441
Mistral,20.4846,21.1454,19.3833,46.9163,19.163,0,18.7225,20.7048,17.1806,21.8062,18.5022,17.8414,20.0441,19.6035,19.3833
DeepSeek-V3.1,14.5374,19.6035,13.8767,48.0176,19.8238,18.7225,0,14.3172,15.1982,20.2643,13.8767,14.978,12.7753,14.0969,19.163
DeepSeek-R1,15.1982,25.5507,14.5374,50.4405,22.2467,20.7048,14.3172,0,14.978,24.8899,14.978,12.1145,14.7577,15.6388,18.5022
DeepSeek-V4-Pro,14.3172,20.7048,14.0969,48.2379,20.4846,17.1806,15.1982,14.978,0,20.9251,14.5374,14.7577,15.1982,15.6388,20.7048
QwenCoder,20.7048,23.5683,20.9251,45.815,21.1454,21.8062,20.2643,24.8899,20.9251,0,21.8062,22.9075,22.467,22.467,21.8062
Qwen3.7,15.1982,23.348,12.7753,46.9163,21.3656,18.5022,13.8767,14.978,14.5374,21.8062,0,12.9956,11.2335,12.9956,18.0617
Claude-5,15.4185,23.1278,14.3172,49.3392,20.2643,17.8414,14.978,12.1145,14.7577,22.9075,12.9956,0,13.2159,14.0969,19.163
GLM-5,14.0969,21.8062,11.674,48.4581,20.2643,20.0441,12.7753,14.7577,15.1982,22.467,11.2335,13.2159,0,11.4537,18.2819
Kimi-K2.7,16.2996,22.6872,13.8767,45.815,20.7048,19.6035,14.0969,15.6388,15.6388,22.467,12.9956,14.0969,11.4537,0,18.7225
GPT-5,18.7225,22.0264,17.1806,44.7137,20.0441,19.3833,19.163,18.5022,20.7048,21.8062,18.0617,19.163,18.2819,18.7225,0
