model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,0,37.0787,20.2247,59.5506,53.9326,29.2135,22.4719,28.0899,20.2247,28.0899,28.0899,19.1011,22.4719,22.4719,40.4494
GPT-3.5,37.0787,0,34.8315,38.2022,21.3483,23.5955,41.573,44.9438,41.573,31.4607,44.9438,42.6966,43.8202,41.573,25.8427
O4-mini,20.2247,34.8315,0,55.0562,51.6854,29.2135,15.7303,14.6067,20.2247,34.8315,21.3483,23.5955,15.7303,13.4831,38.2022
Gemini,59.5506,38.2022,55.0562,0,21.3483,43.8202,59.5506,58.427,61.7978,47.191,60.6742,62.9213,61.7978,64.0449,30.3371
Llama-70B,53.9326,21.3483,51.6854,21.3483,0,31.4607,56.1798,55.0562,58.427,41.573,59.5506,57.3034,60.6742,58.427,20.2247
Mistral,29.2135,23.5955,29.2135,43.8202,31.4607,0,35.9551,32.5843,38.2022,28.0899,43.8202,32.5843,40.4494,29.2135,22.4719
DeepSeek-V3.1,22.4719,41.573,15.7303,59.5506,56.1798,35.9551,0,14.6067,13.4831,37.0787,14.6067,16.8539,11.236,15.7303,42.6966
DeepSeek-R1,28.0899,44.9438,14.6067,58.427,55.0562,32.5843,14.6067,0,21.3483,38.2022,20.2247,17.9775,14.6067,16.8539,39.3258
DeepSeek-V4-Pro,20.2247,41.573,20.2247,61.7978,58.427,38.2022,13.4831,21.3483,0,37.0787,16.8539,19.1011,17.9775,22.4719,44.9438
QwenCoder,28.0899,31.4607,34.8315,47.191,41.573,28.0899,37.0787,38.2022,37.0787,0,38.2022,35.9551,39.3258,37.0787,30.3371
Qwen3.7,28.0899,44.9438,21.3483,60.6742,59.5506,43.8202,14.6067,20.2247,16.8539,38.2022,0,17.9775,10.1124,16.8539,46.0674
Claude-5,19.1011,42.6966,23.5955,62.9213,57.3034,32.5843,16.8539,17.9775,19.1011,35.9551,17.9775,0,14.6067,16.8539,43.8202
GLM-5,22.4719,43.8202,15.7303,61.7978,60.6742,40.4494,11.236,14.6067,17.9775,39.3258,10.1124,14.6067,0,15.7303,44.9438
Kimi-K2.7,22.4719,41.573,13.4831,64.0449,58.427,29.2135,15.7303,16.8539,22.4719,37.0787,16.8539,16.8539,15.7303,0,44.9438
GPT-5,40.4494,25.8427,38.2022,30.3371,20.2247,22.4719,42.6966,39.3258,44.9438,30.3371,46.0674,43.8202,44.9438,44.9438,0
