model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,79.0749,83.9207,83.2599,84.8018,85.2423,82.1586,83.4802,85.022,83.2599,84.5815,84.3612,83.9207,84.8018,83.7004,84.5815
GPT-3.5,83.9207,76.2115,85.6828,83.0396,83.4802,83.0396,84.141,87.6652,84.141,84.5815,85.4626,85.2423,85.4626,85.2423,85.022
O4-mini,83.2599,85.6828,75.9912,82.8194,85.9031,80.837,83.2599,83.7004,81.9383,83.2599,83.4802,83.4802,82.5991,81.2775,81.4978
Gemini,84.8018,83.0396,82.8194,49.5595,82.8194,80.3965,83.0396,83.7004,83.0396,84.8018,83.0396,83.2599,82.8194,83.2599,81.9383
Llama-70B,85.2423,83.4802,85.9031,82.8194,75.3304,83.0396,84.5815,87.0044,85.022,84.3612,84.8018,85.022,85.6828,85.2423,84.3612
Mistral,82.1586,83.0396,80.837,80.3965,83.0396,72.9075,82.3789,82.8194,81.4978,81.7181,81.4978,82.1586,83.0396,81.7181,81.0573
DeepSeek-V3.1,83.4802,84.141,83.2599,83.0396,84.5815,82.3789,77.9736,84.8018,81.9383,83.9207,82.8194,82.8194,83.9207,82.5991,83.4802
DeepSeek-R1,85.022,87.6652,83.7004,83.7004,87.0044,82.8194,84.8018,77.0925,84.3612,85.6828,83.4802,83.4802,83.2599,82.8194,83.7004
DeepSeek-V4-Pro,83.2599,84.141,81.9383,83.0396,85.022,81.4978,81.9383,84.3612,76.8722,83.2599,83.4802,82.5991,83.2599,82.1586,83.2599
QwenCoder,84.5815,84.5815,83.2599,84.8018,84.3612,81.7181,83.9207,85.6828,83.2599,78.6344,85.022,84.141,85.022,84.5815,83.0396
Qwen3.7,84.3612,85.4626,83.4802,83.0396,84.8018,81.4978,82.8194,83.4802,83.4802,85.022,76.652,82.1586,83.4802,82.5991,83.0396
Claude-5,83.9207,85.2423,83.4802,83.2599,85.022,82.1586,82.8194,83.4802,82.5991,84.141,82.1586,77.0925,82.5991,81.7181,81.7181
GLM-5,84.8018,85.4626,82.5991,82.8194,85.6828,83.0396,83.9207,83.2599,83.2599,85.022,83.4802,82.5991,78.1938,82.3789,83.4802
Kimi-K2.7,83.7004,85.2423,81.2775,83.2599,85.2423,81.7181,82.5991,82.8194,82.1586,84.5815,82.5991,81.7181,82.3789,77.533,81.7181
GPT-5,84.5815,85.022,81.4978,81.9383,84.3612,81.0573,83.4802,83.7004,83.2599,83.0396,83.0396,81.7181,83.4802,81.7181,74.8899
