rank,model1,model2,model1_key,model2_key,n_valid,union_pct,both_pct,only1_pct,only2_pct,single1_pct,single2_pct,both,only1,only2
1,GPT-3.5,DeepSeek-R1,gpt35,deepseek_r1,454,86.5639,61.0132,10.5727,14.9780,71.5859,75.9912,277,48,68
2,GPT-3.5,Claude-5,gpt35,claude_sonnet_5,454,86.3436,63.2159,8.3700,14.7577,71.5859,77.9736,287,38,67
3,GPT-3.5,O4-mini,gpt35,o4mini,454,85.9031,62.5551,9.0308,14.3172,71.5859,76.8722,284,41,65
4,GPT-3.5,Qwen3.7,gpt35,qwen37_plus,454,85.6828,62.3348,9.2511,14.0969,71.5859,76.4317,283,42,64
5,GPT-3.5,GLM-5,gpt35,glm5,454,85.2423,63.4361,8.1498,13.6564,71.5859,77.0925,288,37,62
6,O4-mini,Llama-70B,o4mini,llama70b,454,85.0220,63.2159,13.6564,8.1498,76.8722,71.3656,287,62,37
7,Llama-70B,DeepSeek-R1,llama70b,deepseek_r1,454,84.8018,62.5551,8.8106,13.4361,71.3656,75.9912,284,40,61
8,Llama-70B,Claude-5,llama70b,claude_sonnet_5,454,84.8018,64.5374,6.8282,13.4361,71.3656,77.9736,293,31,61
9,O4-mini,Claude-5,o4mini,claude_sonnet_5,454,84.5815,70.2643,6.6079,7.7093,76.8722,77.9736,319,30,35
10,Llama-70B,Qwen3.7,llama70b,qwen37_plus,454,84.5815,63.2159,8.1498,13.2159,71.3656,76.4317,287,37,60
11,DeepSeek-V4-Pro,Claude-5,deepseek_v4_pro,claude_sonnet_5,454,84.5815,69.8238,6.6079,8.1498,76.4317,77.9736,317,30,37
12,GPT-3.5,DeepSeek-V4-Pro,gpt35,deepseek_v4_pro,454,84.3612,63.6564,7.9295,12.7753,71.5859,76.4317,289,36,58
13,Llama-70B,GLM-5,llama70b,glm5,454,84.3612,64.0969,7.2687,12.9956,71.3656,77.0925,291,33,59
