model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,74.4493,82.3789,82.5991,80.6167,82.1586,82.3789,81.9383,82.8194,82.5991,81.4978,83.0396,83.9207,82.8194,82.1586,80.6167
GPT-3.5,82.3789,71.5859,85.9031,79.5154,78.6344,81.2775,83.0396,86.5639,84.3612,81.4978,85.6828,86.3436,85.2423,83.9207,80.837
O4-mini,82.5991,85.9031,76.8722,81.2775,85.022,83.0396,82.8194,83.7004,83.7004,82.8194,83.0396,84.5815,82.8194,82.1586,81.0573
Gemini,80.6167,79.5154,81.2775,39.207,78.6344,77.9736,81.0573,82.8194,81.9383,76.4317,81.2775,83.2599,82.3789,79.2952,75.9912
Llama-70B,82.1586,78.6344,85.022,78.6344,71.3656,80.1762,83.0396,84.8018,84.141,80.1762,84.5815,84.8018,84.3612,82.8194,79.7357
Mistral,82.3789,81.2775,83.0396,77.9736,80.1762,69.8238,81.7181,83.2599,81.7181,79.7357,82.3789,82.8194,83.4802,81.4978,78.6344
DeepSeek-V3.1,81.9383,83.0396,82.8194,81.0573,83.0396,81.7181,74.8899,82.5991,83.2599,81.4978,82.5991,83.9207,82.3789,81.2775,81.0573
DeepSeek-R1,82.8194,86.5639,83.7004,82.8194,84.8018,83.2599,82.5991,75.9912,83.7004,84.3612,83.7004,83.0396,83.9207,82.5991,81.2775
DeepSeek-V4-Pro,82.5991,84.3612,83.7004,81.9383,84.141,81.7181,83.2599,83.7004,76.4317,82.5991,83.7004,84.5815,84.3612,82.8194,82.5991
QwenCoder,81.4978,81.4978,82.8194,76.4317,80.1762,79.7357,81.4978,84.3612,82.5991,67.8414,83.0396,84.3612,83.7004,81.9383,78.8546
Qwen3.7,83.0396,85.6828,83.0396,81.2775,84.5815,82.3789,82.5991,83.7004,83.7004,83.0396,76.4317,83.7004,82.3789,81.4978,81.2775
Claude-5,83.9207,86.3436,84.5815,83.2599,84.8018,82.8194,83.9207,83.0396,84.5815,84.3612,83.7004,77.9736,84.141,82.8194,82.5991
GLM-5,82.8194,85.2423,82.8194,82.3789,84.3612,83.4802,82.3789,83.9207,84.3612,83.7004,82.3789,84.141,77.0925,81.0573,81.7181
Kimi-K2.7,82.1586,83.9207,82.1586,79.2952,82.8194,81.4978,81.2775,82.5991,82.8194,81.9383,81.4978,82.8194,81.0573,73.5683,80.1762
GPT-5,80.6167,80.837,81.0573,75.9912,79.7357,78.6344,81.0573,81.2775,82.5991,78.8546,81.2775,82.5991,81.7181,80.1762,68.0617
