rank,model1,model2,model1_key,model2_key,n_valid,union_pct,both_pct,only1_pct,only2_pct,single1_pct,single2_pct,both,only1,only2
1,Llama-70B,GLM-5,llama70b,glm5,454,87.2247,67.1806,8.8106,11.2335,75.9912,78.4141,305,40,51
2,GPT-3.5,Claude-5,gpt35,claude_sonnet_5,454,86.5639,68.9427,7.4890,10.1322,76.4317,79.0749,313,34,46
3,Llama-70B,Claude-5,llama70b,claude_sonnet_5,454,86.5639,68.5022,7.4890,10.5727,75.9912,79.0749,311,34,48
4,QwenCoder,GLM-5,qwencoder32b,glm5,454,86.5639,71.5859,8.1498,6.8282,79.7357,78.4141,325,37,31
5,QwenCoder,Kimi-K2.7,qwencoder32b,kimi_k25,454,86.5639,71.3656,8.3700,6.8282,79.7357,78.1938,324,38,31
6,QwenCoder,Claude-5,qwencoder32b,claude_sonnet_5,454,86.3436,72.4670,7.2687,6.6079,79.7357,79.0749,329,33,30
7,Llama-70B,Kimi-K2.7,llama70b,kimi_k25,454,86.1233,68.0617,7.9295,10.1322,75.9912,78.1938,309,36,46
8,GPT-3.5,GLM-5,gpt35,glm5,454,85.9031,68.9427,7.4890,9.4714,76.4317,78.4141,313,34,43
9,GPT-3.5,Kimi-K2.7,gpt35,kimi_k25,454,85.9031,68.7225,7.7093,9.4714,76.4317,78.1938,312,35,43
10,O4-mini,Llama-70B,o4mini,llama70b,454,85.9031,68.5022,9.9119,7.4890,78.4141,75.9912,311,45,34
11,QwenCoder,Qwen3.7,qwencoder32b,qwen37_plus,454,85.6828,69.6035,10.1322,5.9471,79.7357,75.5507,316,46,27
12,GPT-4o,Llama-70B,gpt4o,llama70b,454,85.4626,68.7225,9.4714,7.2687,78.1938,75.9912,312,43,33
13,O4-mini,QwenCoder,o4mini,qwencoder32b,454,85.4626,72.6872,5.7269,7.0485,78.4141,79.7357,330,26,32
