model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,1,0.484375,0.742857,0.184615,0.238095,0.606061,0.72973,0.666667,0.75,0.637681,0.675325,0.767123,0.733333,0.733333,0.446154
GPT-3.5,0.484375,1,0.491803,0.15,0.424242,0.5625,0.447761,0.402985,0.439394,0.490909,0.42029,0.441176,0.434783,0.455882,0.465116
O4-mini,0.742857,0.491803,1,0.196721,0.233333,0.59375,0.797101,0.80597,0.742857,0.557143,0.736111,0.712329,0.8,0.826087,0.451613
Gemini,0.184615,0.15,0.196721,1,0.208333,0.1875,0.19697,0.1875,0.166667,0.207547,0.19403,0.176471,0.191176,0.173913,0.25
Llama-70B,0.238095,0.424242,0.233333,0.208333,1,0.348837,0.230769,0.222222,0.2,0.27451,0.208955,0.227273,0.205882,0.223881,0.4375
Mistral,0.606061,0.5625,0.59375,0.1875,0.348837,1,0.542857,0.567164,0.514286,0.576271,0.472973,0.57971,0.506849,0.617647,0.574468
DeepSeek-V3.1,0.72973,0.447761,0.797101,0.19697,0.230769,0.542857,1,0.814286,0.828571,0.554054,0.819444,0.794521,0.859155,0.808219,0.432836
DeepSeek-R1,0.666667,0.402985,0.80597,0.1875,0.222222,0.567164,0.814286,1,0.736111,0.534247,0.753425,0.777778,0.816901,0.791667,0.453125
DeepSeek-V4-Pro,0.75,0.439394,0.742857,0.166667,0.2,0.514286,0.828571,0.736111,1,0.547945,0.791667,0.767123,0.780822,0.733333,0.402985
QwenCoder,0.637681,0.490909,0.557143,0.207547,0.27451,0.576271,0.554054,0.534247,0.547945,1,0.546667,0.567568,0.539474,0.56,0.5
Qwen3.7,0.675325,0.42029,0.736111,0.19403,0.208955,0.472973,0.819444,0.753425,0.791667,0.546667,1,0.783784,0.873239,0.797297,0.405797
Claude-5,0.767123,0.441176,0.712329,0.176471,0.227273,0.57971,0.794521,0.777778,0.767123,0.567568,0.783784,1,0.821918,0.797297,0.426471
GLM-5,0.733333,0.434783,0.8,0.191176,0.205882,0.506849,0.859155,0.816901,0.780822,0.539474,0.873239,0.821918,1,0.810811,0.42029
Kimi-K2.7,0.733333,0.455882,0.826087,0.173913,0.223881,0.617647,0.808219,0.791667,0.733333,0.56,0.797297,0.797297,0.810811,1,0.42029
GPT-5,0.446154,0.465116,0.451613,0.25,0.4375,0.574468,0.432836,0.453125,0.402985,0.5,0.405797,0.426471,0.42029,0.42029,1
