model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,1,0.726542,0.804688,0.255556,0.568733,0.772358,0.81137,0.815104,0.805195,0.736559,0.768262,0.814721,0.780612,0.775773,0.755319
GPT-3.5,0.726542,1,0.720745,0.264798,0.624242,0.703081,0.710183,0.682171,0.681347,0.680672,0.690722,0.706633,0.693506,0.678851,0.696133
O4-mini,0.804688,0.720745,1,0.263889,0.564171,0.742706,0.847769,0.842105,0.836842,0.698953,0.835938,0.841026,0.835079,0.835544,0.74934
Gemini,0.255556,0.264798,0.263889,1,0.274074,0.256798,0.254743,0.257534,0.252055,0.247706,0.26087,0.251969,0.246612,0.242424,0.255952
Llama-70B,0.568733,0.624242,0.564171,0.274074,1,0.605882,0.572944,0.558201,0.577957,0.596439,0.567282,0.564433,0.544503,0.549333,0.6
Mistral,0.772358,0.703081,0.742706,0.256798,0.605882,1,0.768617,0.739474,0.757333,0.708683,0.716495,0.759067,0.710594,0.700521,0.728532
DeepSeek-V3.1,0.81137,0.710183,0.847769,0.254743,0.572944,0.768617,1,0.873016,0.872679,0.697674,0.823529,0.856777,0.841558,0.822917,0.765789
DeepSeek-R1,0.815104,0.682171,0.842105,0.257534,0.558201,0.739474,0.873016,1,0.837696,0.687339,0.851175,0.851282,0.860158,0.826772,0.759894
DeepSeek-V4-Pro,0.805195,0.681347,0.836842,0.252055,0.577957,0.757333,0.872679,0.837696,1,0.695312,0.798982,0.836735,0.830729,0.816754,0.745407
QwenCoder,0.736559,0.680672,0.698953,0.247706,0.596439,0.708683,0.697674,0.687339,0.695312,1,0.6743,0.681704,0.694301,0.675325,0.687671
Qwen3.7,0.768262,0.690722,0.835938,0.26087,0.567282,0.716495,0.823529,0.851175,0.798982,0.6743,1,0.840506,0.848958,0.830287,0.736434
Claude-5,0.814721,0.706633,0.841026,0.251969,0.564433,0.759067,0.856777,0.851282,0.836735,0.681704,0.840506,1,0.849105,0.835476,0.75641
GLM-5,0.780612,0.693506,0.835079,0.246612,0.544503,0.710594,0.841558,0.860158,0.830729,0.694301,0.848958,0.849105,1,0.829396,0.739583
Kimi-K2.7,0.775773,0.678851,0.835544,0.242424,0.549333,0.700521,0.822917,0.826772,0.816754,0.675325,0.830287,0.835476,0.829396,1,0.729659
GPT-5,0.755319,0.696133,0.74934,0.255952,0.6,0.728532,0.765789,0.759894,0.745407,0.687671,0.736434,0.75641,0.739583,0.729659,1
